MSID_Hp_5	PV + 5
MSID_H_Hp_5	Otorga PV máx. + 5.
MSID_Hp_7	PV + 7
MSID_H_Hp_7	Otorga PV máx. + 7.
MSID_Hp_10	PV + 10
MSID_H_Hp_10	Otorga PV máx. + 10.
MSID_Hp_12	PV + 12
MSID_H_Hp_12	Otorga PV máx. + 12.
MSID_Hp_15	PV + 15
MSID_H_Hp_15	Otorga PV máx. + 15.
MSID_Str_1	Fuerza + 1
MSID_H_Str_1	Otorga Fue + 1.
MSID_Str_2	Fuerza + 2
MSID_H_Str_2	Otorga Fue + 2.
MSID_Str_3	Fuerza + 3
MSID_H_Str_3	Otorga Fue + 3.
MSID_Str_4	Fuerza + 4
MSID_H_Str_4	Otorga Fue + 4.
MSID_Str_5	Fuerza + 5
MSID_H_Str_5	Otorga Fue + 5.
MSID_Str_6	Fuerza + 6
MSID_H_Str_6	Otorga Fue + 6.
MSID_Tec_1	Habilidad + 1
MSID_H_Tec_1	Otorga Hab + 1.
MSID_Tec_2	Habilidad + 2
MSID_H_Tec_2	Otorga Hab + 2.
MSID_Tec_3	Habilidad + 3
MSID_H_Tec_3	Otorga Hab + 3.
MSID_Tec_4	Habilidad + 4
MSID_H_Tec_4	Otorga Hab + 4.
MSID_Tec_5	Habilidad + 5
MSID_H_Tec_5	Otorga Hab + 5.
MSID_Spd_1	Velocidad + 1
MSID_H_Spd_1	Otorga Vel + 1.
MSID_Spd_2	Velocidad + 2
MSID_H_Spd_2	Otorga Vel + 2.
MSID_Spd_3	Velocidad + 3
MSID_H_Spd_3	Otorga Vel + 3.
MSID_Spd_4	Velocidad + 4
MSID_H_Spd_4	Otorga Vel + 4.
MSID_Spd_5	Velocidad + 5
MSID_H_Spd_5	Otorga Vel + 5.
MSID_Lck_2	Suerte + 2
MSID_H_Lck_2	Otorga Sue + 2.
MSID_Lck_4	Suerte + 4
MSID_H_Lck_4	Otorga Sue + 4.
MSID_Lck_6	Suerte + 6
MSID_H_Lck_6	Otorga Sue + 6.
MSID_Lck_8	Suerte + 8
MSID_H_Lck_8	Otorga Sue + 8.
MSID_Lck_10	Suerte + 10
MSID_H_Lck_10	Otorga Sue + 10.
MSID_Lck_12	Suerte + 12
MSID_H_Lck_12	Otorga Sue + 12.
MSID_Def_1	Defensa + 1
MSID_H_Def_1	Otorga Def + 1.
MSID_Def_2	Defensa + 2
MSID_H_Def_2	Otorga Def + 2.
MSID_Def_3	Defensa + 3
MSID_H_Def_3	Otorga Def + 3.
MSID_Def_4	Defensa + 4
MSID_H_Def_4	Otorga Def + 4.
MSID_Def_5	Defensa + 5
MSID_H_Def_5	Otorga Def + 5.
MSID_Mag_2	Magia + 2
MSID_H_Mag_2	Otorga Mag + 2.
MSID_Mag_3	Magia + 3
MSID_H_Mag_3	Otorga Mag + 3.
MSID_Mag_4	Magia + 4
MSID_H_Mag_4	Otorga Mag + 4.
MSID_Mag_5	Magia + 5
MSID_H_Mag_5	Otorga Mag + 5.
MSID_Res_2	Resistencia + 2
MSID_H_Res_2	Otorga Res + 2.
MSID_Res_3	Resistencia + 3
