MID_WU_C_1_IN_#001	Hoolaa. Aquí estoy.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Oh, vaya, ¡estáis despiert\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	¡Oh, seguro que sentisteis mi presencia!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Estáis roque, ¿eh?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Conozco muy bien esa cara somnolienta.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Pero será mejor que despertéis pronto o...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	¡Os haré cosquillas!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	¡El Dragón Divino ha despertadooo!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	¿No os recuerda esto a algo?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Pues, ¡buenos días!\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	¡Hola, Divinidad! Uy, estáis durmiendo.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Ooh, habéis despertado.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Es que parecéis tan relajad\x0E\x0A\x00\x08\x02o\x02a mientras dormís.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Debéis estar cansad\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Ojalá pudiera dejaros dormir.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Pero no puede ser.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	¡Divinidad!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	¡Despertad, oh, Divinidad!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Es broma. No se me dan bien las formalidades.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	¡Qué porte tan solemne tiene!\n¡Uy! Rebaja el entusiasmo, Framme.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	¡Lo siento! Pensaba venir en silencio.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Como vuestra fan número uno,\nprometo comportarme a partir de ahora.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Siento haber armado jaleo mientras entrenabais.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	No pretendía distraeros.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Os admiro tanto que no puedo contenerme.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	¡¿Cómo?! ¡¿Estáis despiert\x0E\x0A\x00\x08\x02o\x02a?!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Ejem. ¡Buenos días!\nNo estoy haciendo ruido.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Uf... Hablar bajo no es nada fácil.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	¡No imagináis la de cosas que he limpiado hoy!\n¡Uy! El Dragón Divino está durmiendo...\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	¡Aah! ¡Os habéis despertado! Lo siento.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Solo quería que supierais\nque el Somniel está limpio y reluciente.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Debería esperar a que despertéis...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	O podría limpiar también esta habitación.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Tirar la basura, pasar el polvo...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	¡Ah! ¡El jarrón!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	¡Lo siento!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Lo arreglaré. Lo juro.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Mmm, al menos el resto del Somniel\nestá como una patena...\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	¡No temáis! ¡La copresidenta del Club de Fans\ndel Dragón Divino ya está aquí!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	¡Estáis despiert\x0E\x0A\x00\x08\x02o\x02a! ¡Buenos días!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	¡Se os da tan bien despertaros!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	¡Sois \x0E\x0A\x00\x0C\x04el\x04la que mejor se despierta de todo Elyos!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Me alegra tanto que queráis\nque vuelva a animaros.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	A partir de ahora, voy a entregarme a ello\nen cuerpo y alma.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	¡Yo digo "arriba"! ¡Vos decís "ya"! ¡Arriba ya!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	¡Eh! ¡Buen despertar!\x0E\x04\x00\x00
