MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Me ayudarás a devolver la paz\na este mundo lo antes posible?\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06セリカ\nDesde luego. No descansaré\nhasta que lo logremos.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Qué haces, Celica?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06セリカ\nRezar a Mila. Puedes unirte\na mi plegaria si lo deseas.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nLa Marca que tengo en la mano derecha es\nel símbolo del linaje de la familia real de Zofia.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nEl diseño es sencillo, pero bonito.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06セリカ\nMe provoca sentimientos encontrados, pero\nconfío en ti lo suficiente como para mostrártela.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nGracias. Haré todo lo posible\npor ser merecedo\x0E\x0A\x00\x0A\x02r\x04ra de tu confianza.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nAdmito que nunca habría imaginado que\nacabaría luchando junto a los Emblemas.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06セリカ\nEs interesante cómo la vida acaba\ntomando rumbos inesperados.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nAlgún día me gustaría llevar flores a la tumba\nde Lumera. ¿Me ayudarías a hacerlo posible?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nDesde luego. Estoy seguro de que\nla reina Lumera apreciaría mucho ese gesto.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\n¿Qué estás haciendo, Vander?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nMe has pillado con las manos en la masa,\no en la lana, mejor dicho. Estoy haciendo punto.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x08\x06セリカ\nEs fascinante lo hábil que eres con las manos.\n¿Te importa que mire?\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nNo, para nada. Quédate tanto como gustes.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nClanne, ¿por qué te apartas?\nAcércate a hablar conmigo.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\n¿Yo? ¿Hablar contigo, Celica? ¿Los dos solos?\nCreo que voy a desmayarme...\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nClanne, ¿qué tienes en ese tarro\nque llevas a todas partes?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\n¡Encurtidos! Los tomo para desayunar,\nasí empiezo el día con mucha energía.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06クラン\nEres amable, dulce y valiente,\ncomo una hermana mayor.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06セリカ\n¿Una hermana mayor?\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nAy, ¿lo he dicho en voz alta? Oh, no...\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06セリカ\nCálmate, me gusta tener un hermano pequeño.\nAsí será más divertido trabajar juntos.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06フラン\nTengo tantas preguntas... ¿Cuál es tu comida\nfavorita? ¿Y tu color? ¿Cuál es tu...?\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06セリカ\nPara el carro, Framme. Te responderé a todo\nsi me haces las preguntas de una en una.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06フラン\n¿Sabes qué, Celica?\n¡Hoy he podido entrenar con su Divinidad!\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06セリカ\nSe nota que l\x0E\x0A\x00\x08\x02o\x02a adoras.\nVerte así de contenta me hace muy feliz.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06フラン\nCelica... ¿Qué tendría que hacer\npara ser tan elegante como tú?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06セリカ\nGracias por el cumplido, Framme, pero creo\nque eres encantadora tal y como eres.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\n¡No lo soy! Todo el mundo se enfada conmigo\nporque soy torpe y un poco basta.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06セリカ\nNo, todos te adoramos por tener tanta energía,\nsigue siendo así de maravillosa.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nEstá claro que nuestro reino custodiaba\nun Emblema muy capaz. Es un placer conocerte.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06セリカ\nLo mismo digo, Alfred. Debemos unir nuestras\nfuerzas para devolver la paz a este mundo.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nAlfred, aún no ha amanecido.\n¿Qué haces despierto tan temprano?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nHoy me toca estar de guardia y luego saldré\na correr. ¿Quieres acompañarme?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\n¿Alfred? ¿No deberías estar\nen la asamblea de guerra?\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nSí, pero estamos en un punto muerto.\nMe ejercito un poco para aclarar la mente.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nPensaremos en algo que te haga sentir\norgullosa; eres nuestro Emblema nacional.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x08\x06セリカ\nQué bonito, Alfred. Creo que hoy\nte acompañaré cuando salgas a correr.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nVaya... ¿Has estado llorando?\n¿Ha ocurrido algo malo?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nNo, es que este libro me ha emocionado.\nGracias por preocuparte de todos modos.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nブシュロン\n¿Sabes qué me gustaría hacer?\nIr a tu mundo a leer todas sus historias.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x08\x06セリカ\nNo sé si eso sería posible,\npero puedo contarte alguna si quieres.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nブシュロン\nNo es habitual que me pidas favores.\n¿Hay algo que te preocupa?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06セリカ\nMe han hablado de un bosque precioso\ny me gustaría verlo, pero no puedo ir sola.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nMe pondré tu anillo y te llevaré. Yo también\nquería verlo, pero siempre me pierdo...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x08\x06セリカ\nEn ese caso, yo te indicaré el camino,\ntú solo tendrás que andar. ¡Será divertido!\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\n¡Qué flor tan hermosa!\n¿Dónde la has encontrado?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nEn ese campo de flores de allí.\nLa recogí cuando salí a correr.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nEres tan delicada, Celica. Deberías entrenar\nun poco más los músculos, eres de la realeza...\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x08\x06セリカ\nNo entiendo la relación. Puede que, al servir\na Alfred, te hayas hecho una idea equivocada.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nEn el caso de que quisieras ganar músculo,\n¿podrías hacerlo como Emblema?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06セリカ\nNunca lo he intentado, así que no lo sé\ncon certeza.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nSi fuera posible, podrías entrenar conmigo.\n¡Deberías intentarlo!\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x08\x06セリカ\n¿Por qué no? Aunque no dé resultado,\npor lo menos nos divertiremos juntas.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nTenía tanto que comentarte y, ahora\nque estás aquí, me faltan las palabras.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x08\x06セリカ\nSé a qué te refieres. Tranquila, tenemos\ntiempo de sobra para conocernos.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nEl aroma del té de hoy es embriagador.\n¿De dónde proviene?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nDe una aldea famosa por su té.\nEs mi favorito, me alegra que te guste.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nPoder hablar contigo todos los días\nes una alegría, Celica.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06セリカ\nEres muy amable. Yo siento lo mismo.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nAunque a veces me preocupa no volver\na ser nunca más tan feliz como lo soy ahora.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06セリカ\nTranquila, estoy segura de que nos esperan\ndías mucho más felices en el futuro.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nYa empiezo a acostumbrarme a tu forma\nde combatir. Hacemos un buen equipo.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04ルイ\nCiertamente. Estoy impaciente\npor presentarte a todos mis amigos.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04ルイ\nNo hay nada más conmovedor que ver a dos\namigos bien avenidos. ¿Estás de acuerdo?\x0E\x04\x00\x00
