MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nQué extraño... Esto se parece muchísimo\nal castillo de Altea...\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\n¿Altea? ¿Un lugar de tu mundo?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x08\x06マルス\nAsí es. Me crie allí. Cuando cayó en manos\ndel enemigo, lo recuperé junto a mis aliados.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\n¿Perdiste tu hogar?\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06マルス\nEl Imperio de Doluna, liderado por el Dragón\nde las Sombras Medeus, tomó nuestro castillo.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06マルス\nLos guardias me protegieron para ayudarme\na escapar... Muchos murieron.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06マルス\nAquel día aprendí qué significa\nsentirse impotente.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06マルス\nAliados como la princesa Shiida y Ogma,\nel mercenario, me ayudaron a liberar mi país.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06マルス\nMe llaman "Rey Heroico", pero los verdaderos\nhéroes son quienes lucharon a mi lado.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06マルス\nLucho por aquellos que creyeron en mí.\nQuiero devolverles la confianza.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08リュール\nEntiendo lo que dices...\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nDeseo un futuro de paz con mis amigos\ny aliados. Eso es lo que me motiva a darlo todo.\x0E\x04\x00\x00
