MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nLady Nel, ¿puedo ofreceros algo de beber?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nNo será necesario.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\n¿Quizá prefiráis algo de comer?\nHe traído una hogaza de pan.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\nNo tengo apetito.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nEn ese caso, me la comeré yo más tarde.\n¿Queréis reposaros un momento?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nZelestia.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\n¿Sí?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04エル\nÚltimamente me llenas de atenciones.\n¿A qué se debe?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nPues... Es por aquella batalla\nen la que fui incapaz de protegeros.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	No quiero que se repita, así que he decidido\npermanecer junto a vos y manteneros a salvo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nAgradezco tu preocupación, pero...\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Ya no existe jerarquía alguna entre nosotras:\nambas servimos al Dragón Divino como iguales.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Tu apoyo fue inestimable en nuestro mundo,\ny juzgo que has cumplido tu deber con creces.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cセレスティア\nSiendo así, supongo que en adelante\npuedo hacer lo que me plazca.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nEso es. Ahora, si me disculpas...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04エル\nMe estás siguiendo.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nEspero que no os importe... Es justamente\nlo que deseo hacer: quedarme a vuestro lado.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04エル\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x06\x04エル\nZelestia, me preguntaba si no preferirías\nentablar nuevas amistades.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\n¿Nuevas amistades? ¿A qué os referís?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nA estrechar lazos con otras personas.\nEso te ayudaría a expandir tus horizontes.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, si es vuestro deseo, haré cuanto esté\nen mi mano para cumplirlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04エル\nNo te lo estaba ordenando.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nPor vos, lady Nel, ¡me haré cientos de amigos!\n¡Lo que sea por haceros feliz!\x0E\x04\x02\x00
MID_RELIANCE_B_#007	(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04エル\nEstás llorando...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nLo siento mucho. He intentado hacer amigos,\npero he fracasado estrepitosamente.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04エル\nCuéntame lo sucedido.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nPues es que... He intentado hablar\ncon distintas personas...\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Pero la mayoría salieron corriendo\nnada más verme.\x0E\x04\x02\x00
MID_RELIANCE_B_#013	Y el resto no paraban de hablar de Zephia\ny los Cuatro Mastines. Apenas entiendo nada.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Las conversaciones se volvieron incómodas\ny no pude decirles que quería ser amiga suya.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04エル\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cセレスティア\n¿Se deberá a que soy una dragona maga?\nQuizá esta gente no sea capaz de aceptarnos.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nNo. Los dragones podemos establecer\nvínculos sólidos con las hormiguitas.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	El Dragón Divino es prueba de ello.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Y no existe razón alguna de que tú no puedas\nhacer lo mismo.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nEs verdad, pero...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04エル\nSi te da vergüenza, quizá podría acompañarte.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cセレスティア\n¡¿De veras?! Me encantaría contar\ncon vuestra compañía.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04エル\nJa, ja. Pues que así sea.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cセレスティア\n¡Sí!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n¡Lady Nel! ¡Hoy he ido a la ciudad\ny he vuelto a hablar con todo el mundo!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nY me da que has hecho nuevas amistades,\npor lo que veo.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\n¡Así es! Y todo gracias a vos.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nYo meramente me limité a hacerte ver\nel coraje que ya poseías.\x0E\x04\x02\x00
