MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0C\nブシュロン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リンデン\nVaya, ¿qué desgracia habrá ocurrido\npara ponerte así?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nブシュロン\nEs que... he encontrado un libro.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nHe empezado a leerlo... Y me parece tan\nemotivo que no consigo frenar las lágrimas.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\n¿Es un drama?\nCuéntame más.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nブシュロン\nEs la historia de un gran sabio\nconocido simplemente como "L".\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nAh. Y, ¿qué más puedes\ndecirme de ese tal "L"?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nEmpieza de niño, siendo el alumno más\naventajado de una Academia de Elusia.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nブシュロン\nEntonces se convierte en un guardia real\ny acaba siendo el vasallo del príncipe.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nAjá, interesante.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nブシュロン\nSe suponía que el príncipe iba a heredar\nel trono, pero acabó en manos de otro.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nFrustrado, decidió abandonar el castillo.\nY L solo pudo asistir estupefacto a su exilio.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nブシュロン\nMe parecía todo tan triste\nque no he podido seguir leyendo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nPobre hombre. Ten, sécate las lágrimas.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nブシュロン\nGracias, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nブシュロン\nMe emociono con muchos libros, pero,\nno sé por qué, este me ha llegado al corazón.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nブシュロン\nCuando pienso cómo se sintió L al ver marchar\na su príncipe de ese modo... Es una tragedia.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リンデン\nTengo mucha curiosidad por saber cómo\nacaba. Cuéntamelo si sigues leyendo.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nブシュロン\nClaro.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リンデン\nPuedes quedarte el pañuelo.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nBueno, ¿has seguido con el libro?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nAy, qué modales los míos.\nAntes de nada, toma. Te he traído una cosita.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nブシュロン\nEstas pastas tienen un aspecto delicioso.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nLas he hecho yo mismo.\nEstán rellenas de manzana.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nブシュロン\n¿Tú cocinas, Lindon?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リンデン\n¡Y tanto! La magia de trueno va de lujo\npara la repostería. Venga, prueba una pasta.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nブシュロン\nCon tu permiso.\x0E\x04\x00\x00
