MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\n¡Merrin! Llegas en el momento justo.\nPor favor, toma asiento.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\n¿Qué ocurre?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ボネ\nQuiero que seas la primera en degustar\nmi última creación.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\n¿Es para un libro de cocina?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nPara un mesón, en realidad. Quiero volver\na abrir el local de mis padres tras la guerra.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nHe estado diseñando nuevos platos\npara el menú en mis ratos libres.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\n¡Qué bien! ¿Qué hay hoy en el menú?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nGuiso de pollo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\n¡Guau! La presentación es genial.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nGracias. Encontré una variedad de pollo especial\ny lo he hervido a fuego lento durante días.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nEl caldo lleva varias especias, incluyendo\nalgunas que ayudan a mantener el calor.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nToma. Prueba.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nMuy bien, a ver qué tal...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\n¡Mmm!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nIncreíble... La carne es tan tierna\nque casi se deshace en la boca.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nAunque los aromas se mezclan en la lengua,\nse distingue cada ingrediente a la perfección.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06メリン\nLas especias no ocultan el sabor del pollo.\nTodo convive en perfecta armonía.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nNadie había descrito jamás mi cocina\ncon tan bellas palabras.\x0E\x04\x00\x00
