MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\n¡Hola, Rosado!\nEstás adorable, como siempre.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nMuchas gracias, príncipe Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nCada día soy más mono.\nSi sigo así, ¡seré hermoso para siempre!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nNo me cabe ninguna duda.\nTu belleza nunca se marchitará.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\n¿De verdad lo piensas?\nNo sé... No parece que lo digas en serio.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nNo siento que tus palabras salgan del corazón.\nSon palabras vacías.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nEso me ha dolido.\nQue sepas que siempre soy sincero.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\n¿Sí? Demuéstralo. Dime lo adorable que soy.\nDilo como si lo sintieras de verdad y te creeré.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nBien. Eres... ¿Cómo decirlo? Tan bello como\nuna delicada flor que brota en un oasis de Solm.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nEso está mejor. ¿Así que soy el chico\nmás adorable que has visto nunca?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nフォガート\nOh, no. Para nada.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\n¿¡Qué dices!?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nAcabo de recordar que tengo cosas que hacer...\nCosas de príncipes. ¡Hasta otra!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x01\x0C\nフォガート\n\x0E\x03\x02\x0A\x08ロサード\n¡Eh! ¡Espera un momento!\n¿Qué quieres decir con eso de "para nada"?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\n¿¡Cómo es posible que no sea el más\nadorable!? ¡Vuelve, príncipe Fogado!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08ロサード\nHola, príncipe Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nフォガート\n¡Hola, Rosado! Hoy brilla el sol\ny tú sigues igual de hermoso.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\n¡Sí! Yo siempre soy mono, ¿a que sí?\nIncluso más que la última vez, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nフォガート\nPor supuesto.\nY tu confianza lo corrobora.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ロサード\n¿Esta vez lo dices en serio?\nMe estás diciendo la verdad, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nフォガート\nTe juro por mi vida que te digo la verdad.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nEntonces... ¿podrías decir que soy\nel más adorable del mundo?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\nBueno... Es que no lo eres.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\n¡Qué cruel! Pensaba que la otra vez\nte había oído mal, ¡pero no!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\n¿Por qué me dices eso? Primero me adulas\ncon halagos y luego me quitas la ilusión.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nCálmate, cálmate.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ロサード\n¿¡Cómo quieres que me calme!?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ロサード\n¡El príncipe con mejor ojo para la belleza\nno cree que sea el chico más adorable!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nフォガート\nNo es eso, Rosado. Lo que pasa\nes que no creo en las comparaciones.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ロサード\n¿Qué quieres decir?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nフォガート\n¿Esto, eso o lo otro?\nComparar no es mi estilo.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nフォガート\nTú eres adorable. No necesitas convertirlo\nen una competición a escala mundial.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nフォガート\n¿Me entiendes?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ロサード\nYo...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ロサード\nSupongo que sí, pero...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ロサード\nNo sé, tendré que pensarlo.\x0E\x04\x00\x00
