MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nLa asamblea de guerra aún tardará en empezar.\nDebería buscar una distracción hasta entonces.\x0E\x04\x02\x00
MID_RELIANCE_C_#002	Hoy hace un tiempo espléndido y soleado.\nQuizá debería relajarme y disfrutar del día...\x0E\x04\x02\x00
MID_RELIANCE_C_#003	He debido de quedarme dormida.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	¿Mmm? ¿De dónde ha salido esta carne asada?\x0E\x04\x02\x00
MID_RELIANCE_C_#005	¿Se le habrá olvidado a alguien?\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Estas siestas fortuitas se están convirtiendo\nen un hábito.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Mmm... Otro trozo de carne asada abandonado.\nQué misterio...\x0E\x04\x02\x00
MID_RELIANCE_C_#008	A su dueño no se le puede haber pasado\npor alto su falta...\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Zzz...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nVale, ya ha caído redonda.\n¡Marchando una merendola sorpresa!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nQuieta.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\n¡Ah!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nLa princesa de Solm.\nAsí que eres tú quien me deja la carne.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\n¿Cómo? Ji, ji. No.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nPues explícame qué llevas ahí.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nOh, un mero complemento de moda.\x0E\x04\x02\x00
MID_RELIANCE_C_#017	Bueno, no quería molestarte. ¡Chao!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04エル\n¡Espera! Quería preguntarte...\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Es inútil; se ha marchado ya.\nQué actitud tan desconcertante...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪¡Ha llegado el momento tan esperado!\n¡Ven con mamá, mi querido chuletón asado!♪\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04エル\nSe te da bien esconderte, princesita.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\n¡Ah! ¡Lady Nel!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04エル\nQuería hablar contigo sobre los alimentos\nque has estado dejando junto a mí.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nSupongo que es inútil negarlo. Sí, fue cosa mía.\nEs que últimamente pareces tan cansada...\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Siempre te encuentro durmiendo en el suelo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04エル\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nAsí que pensé que un buen pedazo de carne\nte daría fuerzas.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04エル\nDiscúlpame; no pretendía que mis siestas al aire\nlibre fueran fuente de preocupación para ti.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Y aprecio el gesto, aunque no comprendo\nqué papel desempeña la carne en todo esto.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nLa comida es fuente de energía, ¿no?\nAsí que, cuanta más cantidad, ¡mejor!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04エル\nQuizá eso se aplique a los humanos,\npero a mí no me dará fuerzas, como crees.\x0E\x04\x02\x00
MID_RELIANCE_B_#013	Si ese es tu objetivo, te recomendaría\nque le dieras otro enfoque.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\n¡Hala, ni se me había ocurrido!\nSi tienes alguna idea, ¡soy toda oídos!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04エル\nLa canción que tarareabas antes me resultaba\nplacentera. Si te sabes alguna otra...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\n¡Pues claro! ¿Prefieres "Merendola a mi bola",\n"Cita con carne frita" o "Jamón de mi corazón"?\x0E\x04\x00\x00
