MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0A\x08ロサード\n¡Hola, Goldmary!\n¿Puedes enseñarme a cocinar?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPodría, pero ¿a qué viene ese interés repentino?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nEs que estaba pensando...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ロサード\nEn cuestión de encanto,\nes obvio que te doy mil vueltas...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Perdona?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nPero tú me ganas en muchas otras cosas,\ny cocinar es una de ellas.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nAsí que, si quiero estar a tu altura, tendré\nque aprender. No será tan complicado, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTodavía sigo dándole vueltas a lo de que me\nsuperas con creces en cuestión de encanto...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ロサード\n¿En serio? Mira, podemos hablar\nde eso otro día.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nLo importante es que me enseñes a cocinar.\nQuiero que seas mi profe. ¿Qué me dices?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQue se puede ser un poco más diplomático\npara pedir favores.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPero, como somos amigos...\nVale, te daré unas lecciones.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\n¡Bien! ¡Gracias, Goldmary!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\n¡Mi talento estará pronto\na la altura de mi monería!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nYa veremos...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0A\x08ロサード\n¡Maldición! Goldmary, ¿por qué me salen\nlas tortillas tan mal, comparadas con las tuyas?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\nHe seguido tus instrucciones al pie de la letra.\n¿Qué estoy haciendo mal?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTiene su técnica. Ya le irás pillando\nel truco con un poco de práctica.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\n¡Cocinar debería ser tan fácil como comer!\nCreo que esto no es lo mío...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Ya te vas a rendir? ¡Si acabas de empezar!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nNo es que me rinda... Es que no quiero\nestresarme con algo que se me da mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMira, Rosado...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLo cierto es que tienes muchas cualidades.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\n¡Hala, gracias! Pero... ¿a qué viene\nese cumplido así de repente?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs que eres la persona más mona\ny encantadora que conozco.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPero lo de rendirte porque algo no te sale bien\na las primeras de cambio...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nes la única manera de que alguien como tú\npueda parecer un perdedor.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ロサード\nVaya...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEn fin, supongo que no puedes evitarlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPara ti lo principal es no estresarte.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPues nada, se acabaron las clases de cocina.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ロサード\nEspera...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nNo. Quiero seguir.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿De verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ロサード\n¡Sí! ¡Yo me encargo del rancho hoy!\n¡Haré tortillas para todo el mundo!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEsa es justo la práctica que necesitas.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0A\x08ロサード\n¿Cuál es tu veredicto, Goldmary?\n¿Me ha salido bien la tortilla?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDeliciosa. Le has cogido el punto.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSabía que lo conseguirías.\nPor eso quería que perseveraras.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ロサード\nEs que tus palabras me hicieron pensar.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ロサード\nSeré la persona más encantadora que conoces,\npero si me rindo a la primera seré un perdedor.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMe alegra que lo recordases.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nYa había oído esas palabras antes.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nHortensia me decía prácticamente lo mismo\ncuando estábamos en la academia.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLo sé. Me contó cómo eras\ncuando empezaste a estudiar allí.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDijo que estabas tan obsesionado con gustarle\na todo el mundo que dejaste de lado el estudio.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nSí. Me soltó que era muy mono,\npero que suspender era de perdedores.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nLas apariencias no bastan: hay que esforzarse\npor mejorar. Me has ayudado a recordarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCuánto me alegro. No me gustaría nada ser\namiga de alguien que se rinde tan fácilmente.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAunque, claro, jamás nos habríamos llevado\nbien si de verdad fueras un perdedor.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLo que sigo sin entender es por qué\nte dio por aprender a cocinar.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nQuería... emularte, Goldmary.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nSiempre me proteges en las batallas.\nMe gustaría que confiases más en mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nY para eso tengo que...\nmadurar a nivel personal.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQué mono eres... Pero aclárame una cosa...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Qué tiene que ver cocinar con la confianza\nque yo deposite en ti en el campo de batalla?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ロサード\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDa igual. Aunque tus desvelos sean absurdos,\nsigo sintiéndome muy orgullosa de ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nVale, vale, no me lo restriegues más.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo tienes de qué preocuparte. Confiaría en ti\nsin dudarlo. En la cocina y en cualquier batalla.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ロサード\nPerfecto. No te decepcionaré, te lo prometo.\x0E\x04\x00\x00
