MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08ルミエル\nYa hemos llegado.\nTras estos muros estaremos a salvo.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nConque este es el castillo de Lythos...\nEs una maravilla.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08ルミエル\nMe alegra que pienses eso,\n\x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP1_#004	Quizá no recuerdes este lugar, pero yo\nhe esperado largo tiempo que volvieses aquí.\x0E\x04\x02\x00
MID_OP1_#005	Estás en tu casa, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x02\x00
MID_OP1_#007	¿Estoy en casa?...\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08ルミエル\nSí, así es.\x0E\x04\x02\x00
MID_OP1_#009	Ah, no quepo en mí de gozo.\nCreo que voy a llorar...\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x00\x0C\x06クラン\x024\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nReina Lumera...\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08ルミエル\nVander, Clanne, Framme. Gracias por todo.\nNo podría pedir mejores siervos.\x0E\x04\x02\x00
MID_OP1_#012	Vosotros y vuestros predecesores habéis velado\npor mi \x0E\x0A\x00\x14\x08hijo\x08hija durante tantos años... Gracias.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0C\nヴァンドレ\nSois demasiado amable.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06クラン\n¡Sí, es todo un detalle que digáis eso!\nCreo que me voy a desmayar...\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06フラン\n¡Sí! ¡Somos la repera!\n¡La mismísima reina Lumera lo ha dicho!\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x01\x08\x06クラン\n\x0E\x03\x01\x08\x06フラン\n\x0E\x03\x02\x0A\x08ルミエル\nCon todo, he de admitir que me ha impactado\nver aberraciones aquí, en Lythos...\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Aberraciones?\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08ルミエル\nSí, los monstruos a los que os\nhabéis enfrentado en la pradera.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0A\x08リュール\nOh... Ha sido horrible.\nMe entraron escalofríos solo de verlos...\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0A\x08ルミエル\nEs comprensible: son cadáveres reanimados\npor un poder maléfico.\x0E\x04\x02\x00
MID_OP1_#021	El Dragón Caído los usó como ejército\nen la guerra.\x0E\x04\x02\x00
MID_OP1_#022	Antes de aquel conflicto, en Elyos\nhabía reinado la paz durante eones.\x0E\x04\x02\x00
MID_OP1_#023	Pero entonces surgió una presencia oscura...\nSombron.\x0E\x04\x02\x00
MID_OP1_#024	\x0E\x04\x03\x04
MID_OP1_#025	Aunque hemos investigado incansablemente,\nno hemos averiguado de dónde procede.\x0E\x04\x02\x00
MID_OP1_#026	Aunque, viendo la desolación que causó,\nno hay duda de que sus intenciones son aviesas.\x0E\x04\x02\x00
MID_OP1_#027	Y ahora las aberraciones aparecen de nuevo...\nEso podría ser una señal de su retorno.\x0E\x04\x00\x00
MID_OP1_#028	\x0E\x03\x02\x0A\x08リュール\nNo...\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x0A\x08ルミエル\nMe pregunto si será casualidad que tu regreso\ncoincida con todos estos acontecimientos.\x0E\x04\x02\x00
MID_OP1_#030	En cualquier caso, si el Dragón Caído ha sido\nliberado, habrá que prepararse para la guerra.\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x0A\x08リュール\nNo creo que pueda vencer a alguien así.\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x02\x0A\x08ルミエル\nNo temas. Dudo mucho que ataque tan pronto.\x0E\x04\x02\x00
MID_OP1_#033	Aquí moran espíritus de Dragones Divinos.\nLas aberraciones no podrán entrar fácilmente...\x0E\x04\x02\x00
MID_OP1_#034	De modo que disponemos de tiempo\npara trazar un plan.\x0E\x04\x02\x00
MID_OP1_#035	Emblema Marth.\x0E\x04\x00\x00
MID_OP1_#036	\x0E\x03\x00\x0C\x06マルス\x024\n\x0E\x03\x02\x08\x06マルス\nCuánto tiempo, Lumera.\x0E\x04\x00\x00
MID_OP1_#037	\x0E\x03\x02\x0A\x08ルミエル\nSí. Muchas gracias por echarnos una mano\ncon las aberraciones.\x0E\x04\x00\x00
MID_OP1_#038	\x0E\x03\x02\x08\x06マルス\nNo hay de qué. Aunque no habría sido posible\nsi tu hij\x0E\x0A\x00\x08\x02o\x02a no me hubiese recordado.\x0E\x04\x02\x00
MID_OP1_#039	Es decir, quizá los demás hayan despertado\ntambién, al igual que yo.\x0E\x04\x00\x00
MID_OP1_#040	\x0E\x03\x02\x0A\x08ルミエル\nQuizá tengas razón.\x0E\x04\x00\x00
MID_OP1_#041	\x0E\x03\x02\x0A\x08リュール\nPerdonad... ¿De qué estáis hablando?\n¿Quiénes han despertado?\x0E\x04\x00\x00
MID_OP1_#042	\x0E\x03\x02\x0A\x08ルミエル\nTienes que ver una cosa. Sígueme.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Dónde estamos?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08ルミエル\nEsta es la cámara de los anillos,\ndonde se conservan los anillos Emblema.\x0E\x04\x02\x00
MID_OP2_#003	El Anillo del Caballero Sacro, el del Lord Sabio\ny el de los Mellizos Azures están aquí.\x0E\x04\x02\x00
MID_OP2_#004	También el Anillo de la Venerable\ny el Anillo del Instructor.\x0E\x04\x02\x00
MID_OP2_#005	Cada uno de ellos contiene un Emblema,\nal igual que Marth y el Anillo del Rey Heroico.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08リュール\nEntonces, contando el de Marth,\nhay seis anillos Emblema. Increíble...\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08ルミエル\nEn realidad hay doce en total: seis aquí\ny otros seis que custodian otros países.\x0E\x04\x02\x00
MID_OP2_#008	Es una medida de precaución.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\n¿A qué te refieres?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08ルミエル\nLos Emblemas le otorgan un poder inmenso\na quien llegue a reunir los doce anillos.\x0E\x04\x02\x00
MID_OP2_#011	Los Dragones Divinos han usado ese poder\ndurante siglos para traer prosperidad a Elyos.\x0E\x04\x02\x00
MID_OP2_#012	De hecho, así es como pudimos encerrar\nal Dragón Caído.\x0E\x04\x02\x00
MID_OP2_#013	Sin embargo, muchos han anhelado\nhacerse con los anillos con objetivos egoístas.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nPor eso están dispersos por todo el continente\nen vez de tenerlos todos aquí...\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0A\x08ルミエル\nExacto. Además, su poder tan solo\nse manifiesta una vez cada milenio.\x0E\x04\x02\x00
MID_OP2_#016	Entonces, el Dragón Divino viaja por todo Elyos\npara recibir los anillos de cada nación.\x0E\x04\x02\x00
MID_OP2_#017	Ya han pasado mil años desde la última vez,\nasí que me estaba preparando para el ritual.\x0E\x04\x02\x00
MID_OP2_#018	Mas, si el Dragón Caído ansía los anillos,\nlos Emblemas podrían ser invocados\nantes de que yo llegue.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\n¿"Invocados"?\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08ルミエル\nSí, invocar es materializar el Emblema de un\nanillo. Lo que hiciste tú antes, al llamar a Marth.\x0E\x04\x02\x00
MID_OP2_#021	Solo el noble linaje del dragón puede invocar\nEmblemas. Eso te incluye a ti, mi \x0E\x0A\x00\x14\x08hijo\x08hija.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x0A\x08リュール\nOh... Debes de referirte a las palabras\nque me vinieron de repente a la cabeza.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x0A\x08ルミエル\n¿Una invocación? ¿Fue eso?\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x0A\x08リュール\n"Brilla con fuerza, Emblema de los Orígenes."\x0E\x04\x02\x00
MID_OP2_#025	Lo hice sin pensar. Las palabras\nsimplemente... brotaron de mis labios.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x0A\x08ルミエル\nAsí es como invocaste a Marth...\x0E\x04\x02\x00
MID_OP2_#027	(...)\x0E\x04\x02\x00
MID_OP2_#028	¿En qué pensabas cuando pronunciaste\nesas palabras? ¿Qué querías hacer?\x0E\x04\x00\x00
MID_OP2_#029	\x0E\x03\x02\x0A\x08リュール\nAyudar a Clanne y Framme.\x0E\x04\x02\x00
MID_OP2_#030	No podía dejar que los matasen.\nSolo pretendía protegerlos.\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x0A\x08ルミエル\nDe modo que tu intención era auxiliar a otros.\nRecuérdalo cuando invoques Emblemas.\x0E\x04\x02\x00
MID_OP2_#032	No ansiabas apropiarte de ese poder,\n¿lo entiendes? Solo lo querías para ayudar.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x0A\x08リュール\nSí.\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x0A\x08ルミエル\n¿Qué te parecería un combate de prueba?\nTras tantos años, estarás un poco \x0E\x0A\x00 \x0Eoxidado\x0Eoxidada.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x022\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08ルミエル\n¿Y si entrenamos aquí? Tú serás quien luche;\nel Emblema te prestará su fuerza.\x0E\x04\x02\x00
MID_OP3_#002	Debes ejercitar tu cuerpo y tu mente\npara desatar todo su poder.\x0E\x04\x02\x00
MID_OP3_#003	Vander, Clanne, Framme, vosotros ayudaréis\na mi \x0E\x0A\x00\x14\x08hijo\x08hija durante su batalla contra mí.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x02\x0C\nヴァンドレ\nMajestad, aun tratándose de un simulacro,\nno puedo empuñar mi arma contra vos.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0A\x08ルミエル\nVander, por favor... Espero que luches\ncon toda tu fuerza, como haré yo.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x022\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08リュール\n¡¿Son aberraciones?!\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08ルミエル\nNo, cariño, claro que no. Los he creado\nmágicamente con leños y piedras.\x0E\x04\x02\x00
MID_OP4_#003	Con todo, poseen las mismas habilidades.\nSi te descuidas, podrían herirte.\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x0A\x08リュール\nResultan aterradoras. ¿No podemos entrenar\ncon otra cosa? Me ponen los pelos de punta.\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x02\x0A\x08ルミエル\nEscúchame bien. Debes dejar de lado el miedo\ny enfrentarte a cualquier tipo de enemigo.\x0E\x04\x02\x00
MID_OP4_#006	No huyas nunca. Como \x0E\x0A\x00$\x10hijo mío\x10hija mía, debes proteger\na todos... Eres el Dragón Divino \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x03\x02\x0A\x08リュール\nLo... Lo comprendo.\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x00\x0C\x06フラン\x023\n\x0E\x03\x02\x08\x06フラン\n¡No os preocupéis, Divinidad!\nEstamos aquí para echaros una mano.\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x01\x08\x06フラン\n\x0E\x03\x00\x0C\x06クラン\x023\n\x0E\x03\x02\x08\x06クラン\n¡Eso, lo que ha dicho Framme!\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x01\x08\x06クラン\n\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x02\x0C\nヴァンドレ\nMe disgusta enfrentarme a la reina,\npero las órdenes están para cumplirlas.\x0E\x04\x02\x00
MID_OP4_#011	Juro brindarnos la victoria.\x0E\x04\x00\x00
MID_OP4_#012	\x0E\x03\x02\x0A\x08リュール\nGracias a todos.\x0E\x04\x00\x00
MID_OP4_#013	\x0E\x03\x02\x0A\x08ルミエル\n¡Adelante!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x1A\nヴァンドレ\x0CNormal\n\x0E\x03\x02\x0C\nヴァンドレ\nTened precaución, Divinidad.\nAlgunos enemigos usan armas de largo alcance.\x0E\x04\x02\x00
MID_EV1_#002	Pueden atacarnos con flechas desde lejos.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x05\x01\x18\x08ルミエル\x0CStatus\n\x0E\x03\x02\x0A\x08ルミエル\n¿Ves a ese enemigo que empuña un hacha?\nLas hachas son vulnerables ante las espadas.\x0E\x04\x02\x00
MID_EV2_#002	La espada vence al hacha; el hacha, a la lanza;\ny la lanza, a la espada.\x0E\x04\x02\x00
MID_EV2_#003	Si tu arma tiene ventaja, podrás incapacitar\nal enemigo temporalmente.\x0E\x04\x02\x00
