MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\n¿Estás list\x0E\x0A\x00\x08\x02o\x02a para empezar, Divinidad?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nCreo que sí, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nAunque me gustaría cerciorarme\nde nuevo de una cosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nEste experimento ayudará a mejorar\nla vida de la gente, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nPor supuesto, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nSeguro que examinarte abrirá la puerta\na interesantes descubrimientos.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nAnticipo resultados muy prometedores\npor lo que respecta a la calidad del sueño.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\n¿Calidad del sueño?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nAl fin y al cabo, dormiste durante mil años.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nNadie ha dormido jamás tan profundamente\ncomo tú. Quizá descubramos el porqué.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\n¿Crees que es posible?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\n¡Desde luego! Puede ser una solución divina\npara quienes sufren de insomnio.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nNo se me había ocurrido.\nEstá bien, participaré en el experimento.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nTe lo agradezco enormemente, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リンデン\nPrimero te lanzaré un rayo unas cuantas veces\npara ver cómo reacciona tu cuerpo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nPronto dejarás de notar dolor, aunque puede\nque tu cabello no sobreviva al proceso.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\n¿Sabes qué? He cambiado de idea, lo siento.\nBúscate a otra persona para el experimento.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リュール\nNo dejo de pensar en tu investigación\nsobre el sueño, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nSaludos, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nSigo negándome a ese experimento,\npero me gustaría hablarlo contigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\n¿Seguro que quieres malgastar tu\nvalioso tiempo con un viejo como yo?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nConozco a un buen número de individuos\nmucho más competentes que yo.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\n¿Qué te ocurre?\n¿Vander ha venido a hablar contigo?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リンデン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nSe enteró de que intentaste quemarme\nel pelo y no le sentó nada bien...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nMmm... Bueno, yo siempre digo\nque lo pasado, pasado está.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nSé que no se repetirá, así que dejemos\nese tema y hablemos sobre el sueño.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nEs un alivio que no me guardes rencor.\nDicho lo cual... no sé cómo puedo servirte.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nHalla una forma más eficaz de emplear\ntu tiempo o a la larga lo lamentarás.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nEs cierto que no me gusta perder el tiempo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nYo mejor que nadie sé lo efímero que es.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nBien dicho. Entonces...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nPrecisamente por eso debemos sentarnos\ny mantener esta conversación, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nQuiero preguntarte muchas cosas. Seguir\ncon este rifirrafe sería poco práctico e ineficaz.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nSí, pero, por otro lado...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リンデン\nHum, ¡no puedo rebatírtelo!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リンデン\nMe rindo. Todos mis conocimientos\nquedan a tu entera disposición.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nAprendes muy rápido, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nTengo a un buen maestro.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nJa, ja. Los halagos no te servirán\nde nada conmigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nJamás pensé que llegaría a ver este día.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リンデン\nUn antiguo caballero de Elusia conversando\ncon el Dragón Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nSi pudiera volver atrás y contárselo\na mi yo más joven, no me lo habría creído.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\n¿En qué piensas?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nComo alguien que ha vivido mucho, tengo\nuna petición que hacerle al Dragón Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nSigue con vida. Por muchos sucesos\nhorribles que ocurran.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\n¿Lindon?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nHubo tiempos muy difíciles en los que\nme planteé rendirme y quitarme la vida.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nPero siempre ocurría algo que me devolvía\nla alegría de vivir.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nMi amistad contigo, Divinidad,\nes una de esas cosas.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nMe alegra que así sea.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nCuando más oscura sea la noche, aguarda\nhasta el alba, que traerá consigo la luz.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リンデン\nSi hay algo que me gustaría que los jóvenes\naprendierais de mí, es precisamente eso.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nGuardaré tus palabras en el corazón.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nSin embargo, Lindon...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nSiempre te jactas de lo mucho que has vivido,\npero ¿te das cuenta de que yo soy más viej\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\n¡Es verdad que lo eres!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リンデン\n¿Lo ves? Cada día es una sorpresa.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nAsí que este es el Anillo del Pacto.\nSiento que está ligado a un gran poder.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リンデン\nNo te importa que experimente con él, ¿no?\nProbaré cómo reacciona ante una descarga...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\n¡No, espera! Este anillo es muy importante.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リンデン\nTe estaba tomando el pelo, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リンデン\n¿Hay alguna razón para mostrarme\neste anillo ahora?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nEsperaba que te lo pusieras.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リンデン\nAh, supongo que podría, pero ¿por qué?\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nComo símbolo de nuestra unión.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リンデン\n¿Disculpa?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リンデン\n¡¿Hablas en serio?! ¿Por qué querrías\nunirte precisamente a alguien como yo?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リンデン\n¡Te tenía por una persona inteligente\ny ahora va a resultar que eres \x0E\x0A\x00&\x10un necio\x12una necia!\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リンデン\nSoy ya muy mayor para iniciar\nuna nueva relación.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nNo se trata de eso. Trabajamos bien juntos;\neste anillo simboliza la relación que ya tenemos.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nJuntos somos más fuertes. Sé que nuestro\nvínculo nos ayudará a salvar el mundo.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リンデン\n¿Y tengo que ser yo? ¿No hay nadie más joven?\nNo me quedan muchos años de vida.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リンデン\nSi haces esto, algún día te sentirás como yo\ncuando perdí a mi querida esposa.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リンデン\nSeguir por este camino solo te traerá pesares.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nEl presente es más importante para mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nAhora estás vivo, y puedes transmitirme\ntu fuerza y tu sabiduría.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nAdemás, aunque eligiera a alguien más joven,\nsoy un dragón. Viviré más años que cualquiera.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リンデン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\n¿De verdad piensas que soy \x0E\x0A\x00&\x10un necio\x12una necia\npor pedirte esto?\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リンデン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リンデン\nNo, no lo eres. El único que se está\ncomportando como un bobo soy yo.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リンデン\nAcudiste a mí en busca de ayuda y yo\nte rechacé sin ningún miramiento.\x0E\x04\x00\x00
