MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nTú eres... Gregory.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nグレゴリー\nSí.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nTenemos trabajo que hacer.\nEstas armas no se van a limpiar solas.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nグレゴリー\nVale, vale...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nEres tan negligente como tu contraparte\nde este mundo.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Te desenvuelves bien en combate, pero aún\nqueda por ver si eres digno de confianza.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	¿Quizá mi presencia te incomoda?\nEn tal caso, eres libre de irte. Yo solo me basto.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nグレゴリー\nN-no. No pienso irme a ningún lado\ny dejarte aquí trabajando solo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nUh, lo s-siento. Quiero decir que... me quedo.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nEsto no va a ningún lado.\nTus motivaciones son todo un misterio.\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Si queremos avanzar, debemos iniciar\nun diálogo.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nグレゴリー\n¿Un diálogo?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nEso es: un intercambio de información,\npara que ambos dispongamos de ella.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nグレゴリー\nUn momento... Mauvier, ¿insinúas que quieres\nhablar conmigo?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06モーヴ\n¿Algún problema?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nグレゴリー\n(...)\x0E\x04\x02\x00
MID_RELIANCE_C_#020	(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06モーヴ\nPareces consternado.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nグレゴリー\n¿Eh? No. Yo también quería hablar contigo,\n¡pero temía que no me hubieras perdonado!\x0E\x04\x02\x00
MID_RELIANCE_C_#023	Como te abandoné, no me veía con fuerzas\npara presentarme ante ti. Lo siento tanto...\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06モーヴ\nNo termino de comprender lo que dices,\npero esto es un comienzo.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0C\nグレゴリー\nMauvier... Jamás volveré a abandonarte, lo juro.\n¡Permaneceré a tu lado para siempre!\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x08\x06モーヴ\nAy, la que me espera...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nDime, Mauvier...\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Aunque ahora nos hablamos, tengo la impresión\nde que sigues sin confiar en mí.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nPues te aseguro que es sin querer.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nAh, bien. Pues creo que deberías saber que,\nen mi mundo, tomé tu relevo, Mauvier.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Hasta ese punto confiabas en mí.\nBueno, no tú, sino tu otro yo.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nTe creo, y quizá seas alguien a quien\npodría llegar a confiarle mi vida.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nグレゴリー\n¿Cómo era mi homólogo de este mundo?\nEstabais juntos en los Cuatro Mastines, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\n¿Seguro que quieres saberlo?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nPues sí. Es injusto no saber nada sobre él.\nYo te he hablado un poco de mi Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nCierto, y fue muy emotivo.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Muy bien, ya que insistes... Pero te advierto\nque no será una historia agradable. Prepárate.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nグレゴリー\nSi lo que pretendes es asustarme...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\nLo que te voy a contar nunca fue confirmado\npor él, pero es la verdad tal y como la conozco.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Tu otro yo fue abandonado por sus padres\ny acogido por adoradores del Dragón Caído.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nグレゴリー\nVale, hasta ahí, compartimos un origen...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\nPero, al contrario que tú, él descubrió de joven\nque disfrutaba infligiendo y sufriendo dolor.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Se dice que consideraba su propio dolor como\nalgo espiritual: una ofrenda al Dragón Caído.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Ese fanatismo llamó la atención de Zephia\ny le ganó un puesto entre los Cuatro Mastines.\x0E\x04\x02\x00
