MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\n¿Necesitas alguna cosa de mí,\npríncipe Alcryst?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nAh, comprendo. Finges ignorarme.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nJamás te lo perdonaré.\nSabes muy bien a qué me refiero.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\n¿Cómo esperas que me comporte delante\nde alguien que ayudó a asesinar a mi padre?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アイビー\nLamento mi participación en tan funesto suceso.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\n¿¡D-de verdad!?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nSé que una disculpa no basta para expiar\nmi grave error ni sirve de mucho...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アイビー\nPero ahora somos aliados.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nEs importante que ambos cedamos\npara encontrar puntos en común.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アイビー\nPor eso voy a dar el primer paso...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nSiento profundamente lo que le sucedió\na tu padre.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nPrincesa Ivy...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nSiempre he temido a tu familia y a tu país.\nJamás creí que acabaríamos en el mismo bando.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nスタルーク\nQué impredecible es la vida...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nNos obliga a seguir adelante, queramos o no.\nAferrarse a prejuicios solo supone un obstáculo.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nスタルーク\nDe ahora en adelante, procuraré poner\nde mi parte para que lleguemos a entendernos.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08アイビー\nGracias, pero que sepas que mirar tan fijamente\na tu interlocutor es una grosería.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0C\nスタルーク\n¡Aaah, es verdad! ¡Perdón! Qué falta de tacto\npor mi parte. ¡No volverá a suceder!\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0A\x08アイビー\nMe alegro de que al menos tengamos una visión\ncomún del futuro. Quizá las cosas mejoren así...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nスタルーク\n¿Por qué me observas... tan fijamente, Ivy?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nNo es mi intención incomodarte, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nPero no soy capaz de apartar la mirada\nde tu armadura.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アイビー\nEn Elusia nos enseñan, desde nuestra infancia,\na no perder de vista las armaduras brodianas.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nAaah, creo que ya entiendo...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nSí, Brodia ha atacado Elusia en demasiadas\nocasiones. Mi país ha cometido muchos errores.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nSi te sirve de algo... lo siento.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アイビー\n¿Oh? ¿Qué quieres decir exactamente?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\n¿Cómo? Eh... pues...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\n¿Es una disculpa formal del Reino de Brodia\npor invadir nuestra nación una vez tras otra?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\n¿Admites vuestra culpa y te comprometes\na que tu país suavice su política exterior?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nLas relaciones internacionales\nno son un asunto baladí.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\nB-bueno, yo no pretendía...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nLo que quería decir es que sí, me disculpo\nsi Brodia es la culpable de esos incidentes...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nPero ¡no me corresponde a mí pedir perdón!\nEl rey y la nobleza deben dar su visto bueno...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nスタルーク\nAl decir que lo sentía, me refería a mí mismo,\ncomo individuo, y no como representante de...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\nYa lo sé. Lo siento, es muy fácil\nquedarse contigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nAy, princesa Ivy... Me he puesto nervioso.\x0E\x04\x00\x00
