MID_WU_C_1_IN_#001	Dormís con tanta paz...\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Buenos días, Divinidad.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	¿Necesitáis descansar más?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	¿Os ahueco la almohada?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Apenas puedo creer...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	que durmierais así durante mil años.\nParecéis tan joven e inocente...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Hace que sienta la necesidad de protegeros.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	¿Qué tal os encontráis hoy?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Avisadme...\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	si necesitáis cualquier cosa, ¿vale?\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Cielos, ¡vaya vista! Parece una imagen\nsalida de un sueño...\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Este lugar resulta completamente cautivador.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	Es como si durmierais dentro de un cuadro.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	He venido a despertaros y ni siquiera os he\ntraído el desayuno. ¡Qué desconsiderada!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Quizá lleve algún dulce encima.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	A ver... Mmm, tendréis que conformaros\ncon esta comida callejera.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Eh, Divinidad, ¿os apetece un desayuno\ninteresante?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Hay cabezas de pescado fritas, vísceras y...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	¿No? ¿Seguro?\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	¡Puedo despertar al Dragón Divino!\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	¡Qué emoción!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Ah, ya estáis \x0E\x0A\x00(\x12despierto\x12despierta.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Me hacía ilusión venir a despertaros,\npero ha sido tan rápido...\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	Esperad un poco la próxima vez.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Es como en los cuentos.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Un sueño mágico...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	que solo termina...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	cuando llega la persona adecuada y...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#005	Bueno, que yo sea la persona adecuada\nresulta improbable...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Buenos días, Divinidad.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Parece que hoy va a ser otro bonito día.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	¡Así que aprovechadlo al máximo!\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	La solemnidad me envuelve al acercarme a este\nlugar. El Dragón Divino es tan especial...\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Ah, ¿me habéis oído?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Siento si os he incomodado.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Si os hace sentir mejor, os despertáis\nigual que cualquier persona normal.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Me siento mal por lo de antes.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Como no quisisteis aquel pescado encurtido\nque os ofrecí...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	He decidido traeros otro aperitivo especial.\n¡Espero que este os guste!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Os he traído una oruga glaseada a la miel.\n¡Dulce, crujiente y deliciosa!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	No os asustéis, Divinidad. ¡No os va a pasar\nnada! Venga, probadla.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	¡Siento llegar tarde! Me he distraído comprando\nestos aperitivos...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Un aroma impactante, ¿no?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Esta carne asada es un manjar insólito.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	No, no os voy a decir de qué es. ¡Ja, ja!\nProbadla primero.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Mmm, huele genial.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	Llevo años queriendo probar la serpiente asada.\nJamás pensé que lo conseguiría.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Podría darle un bocadito...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	No, debería esperar al Dragón Divino...\nAy, no sé si seré capaz...\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Ah, esto... ¡Divinidad! ¡Buenos días!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Disculpadme.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	Buenos días, Divinidad.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	No, no estaba comiendo nada.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Si vuestra historia fuera un cuento de hadas...\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	empezaría en esta habitación.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	En el libro que contara vuestra historia habría\nuna imagen de vos durmiendo.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Y la persona que vendría a despertaros\ncada mañana...\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	No sería yo, seguramente.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Algún día se contarán historias de esta guerra.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Cuando ese día llegue...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	seréis una leyenda, Divinidad.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	Ese es un futuro que espero con anhelo.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Buenos días. Os prometo que no os estaba\nobservando.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Pensaba en un futuro en el que todos conozcan\nvuestra historia.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Hagamos que sea uno increíble.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	¿Estáis list\x0E\x0A\x00\x08\x02o\x02a para una nueva página\nen nuestra historia?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	¡Ya os habéis levantado!\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Me alegra ver que tenéis tantas ganas como yo\nde empezar el día.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Pero no tengáis prisa.\n¿Por qué no conversamos un poco?\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Aún dormís tranquilamente.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Si fuera un cuento de hadas, tendría que romper\nun hechizo para despertaros.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Aunque me alegro de que no sea así,\npues no sabría ni por dónde empezar.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Pero, aunque nuestras vidas\nno formen parte de un libro,\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	me alegra vivir la mía a vuestro lado.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Y, como en las mejores historias, creo\nque viviremos felices para siempre.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Buenos días. ¿Por qué no pasamos un rato\njunt\x0E\x0A\x00\x08\x02o\x02as antes de partir?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Podemos olvidarnos de toda esta guerra...\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	y relajarnos y ser felices por un instante.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Vuestro rostro dormido es cautivador.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	¿Que os despierte se ha convertido en algo\ncorriente en vuestra vida?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	No importa cuán ordinarios sean los días...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	para mí, cada momento a vuestro lado\nes extraordinario.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Cuando me convertí en caballera...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	no creí que mi vida pudiera volverse\nmás emocionante.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Pero nuestros caminos se cruzaron y\nme encontré envuelta en esta increíble historia.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Una historia de la que formaré parte cuando\nse cuente a generaciones futuras.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Es por eso que estaré con vos hasta el final.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	Para que, aunque desaparezca, siempre podáis\nverme en algún libro.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Mantengamos estas escenas fuera de los libros.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Quiero que estos momentos de calma...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	queden solo entre nosotr\x0E\x0A\x00\x08\x02o\x02as.\x0E\x04\x00\x00
