MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x022\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06セピア\nYa estoy aquí.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06マロン\n¡Eh, Zephia!\n¿Qué tal te ha ido con lord Sombron?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x06\x04グリ\nSeguro que se ha cabreado\npor lo de los anillos, ¿eh?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06セピア\nPues sí.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x06\x04グリ\n¡Lo sabía! Va a castigarnos, ¿no?\n¡Por fin!\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06セピア\nNada de eso. Solo me ha echado la bronca\ny ha recalcado la importancia de nuestro grupo.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06マロン\n¿Y ya está? ¡Debemos de ser su ojito derecho!\x0E\x04\x02\x00
MID_OP1_#008	Sienta bien que te aprecien.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06セピア\n¿Ha despertado ya lady Veyle?\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06モーヴ\nNo. Lanzarle tantas veces ese hechizo\ntuyo me parece temerario.\x0E\x04\x02\x00
MID_OP1_#011	Creo que estaría bien dejar la magia un tiempo\ny permitir que vuelva a la normalidad.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06セピア\nEl hechizo pronto será más estable. Lord\nSombron me ha otorgado un yelmo mágico.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06モーヴ\n¿Qué?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06セピア\nUn yelmo imbuido de su poder que potenciará\nmi hechizo cuando lo lleve Veyle.\x0E\x04\x02\x00
MID_OP1_#015	Por fin podré eliminar su tara de una vez\npor todas. Voy a usarlo ahora mismo.\x0E\x04\x02\x00
MID_OP1_#016	Me gustaría poder llevar buenas noticias\nla próxima vez que me reúna con lord Sombron.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x06\x04グリ\nHablando de noticias... Nuestra armada\nse topó con el ejército del Dragón Divino.\x0E\x04\x02\x00
MID_OP1_#018	No hubo modo de detenerlos.\nParece que ahora mismo se dirigen a Elusia.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x08\x06セピア\nMmm... Se mueven más rápido\nde lo que esperaba.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x06\x04グリ\nSí. No tardarán en presentarse\nen nuestra puerta.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x08\x06マロン\n¿Necesitas que alguien les pare los pies?\n¡Yo! ¡Yo! ¡Lo haré yo!\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x08\x06セピア\nClaro, querida. Gracias por ofrecerte,\npero no puedo permitir que vayas sola.\x0E\x04\x02\x00
MID_OP1_#023	Mauvier, ¿harás el favor de acompañarla?\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06モーヴ\nDe acuerdo.\x0E\x04\x00\x00
MID_OP1_#025	\x0E\x03\x02\x08\x06マロン\n¿Cómo? ¿Por qué? ¡Puedo apañármelas sola!\x0E\x04\x00\x00
MID_OP1_#026	\x0E\x03\x02\x08\x06セピア\nEres una buena chica, pero tendrás más\nposibilidades de ganar si Mauvier te acompaña.\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x02\x08\x06マロン\n¡Bueno, vale! Pero más te vale dorarme\nla píldora a base de bien, ¿eh?\x0E\x04\x00\x00
MID_OP1_#028	\x0E\x03\x02\x08\x06モーヴ\nZephia, solo te pido una cosa: espera a que\nvolvamos antes de someter a Veyle a tu magia.\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x08\x06セピア\nDe acuerdo, Mauvier.\x0E\x04\x00\x00
MID_OP1_#030	\x0E\x03\x02\x08\x06モーヴ\nEn marcha.\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x08\x06マロン\n¡No tardaremos en volver!\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x01\x08\x06マロン\n\x0E\x03\x02\x08\x06セピア\nMmm...\x0E\x04\x00\x00
MID_OP1_#033	\x0E\x03\x02\x06\x04グリ\nMauvier... Se ha encariñado demasiado\ncon la otra Veyle.\x0E\x04\x00\x00
MID_OP1_#034	\x0E\x03\x02\x08\x06セピア\nSí. Pero haré la vista gorda\nmientras no nos suponga un estorbo.\x0E\x04\x02\x00
MID_OP1_#035	Los Mastines sois mi familia. Siempre querré\na Mauvier... mientras me obedezca, claro.\x0E\x04\x02\x00
MID_OP1_#036	Además, hay otro asunto más importante.\nLo que lady Veyle dijo de su herman\x0E\x0A\x00\x08\x02o\x02a...\x0E\x04\x00\x00
