MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nAmber, ¿puedo hacerte una pregunta personal?\nNecesito material para mi próxima novela.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\n¿Vas a escribir sobre mí? ¡Qué honor!\nPregunta lo que quieras.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ジェーデ\nEmpezaré por una fácil:\n¿Qué es lo que más te gusta?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\n¿Acaso no lo sabes? ¡Anda ya! ¡Las alpacas,\ncómo no! Son lo mejor del mundo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nDe hecho, antes me dedicaba a pastorearlas.\nSoy un domador de alpacas, ¿sabes?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\n"Domador de alpacas"...\nTremendo currículum.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\n¡Va en serio! Si hubiera una alpaca por aquí,\nte haría una demostración en directo.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nLástima que la granja de alpacas más cercana\nesté a varios kilómetros...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ジェーデ\nEspera, ¿qué es ese sonido?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\n¡Es el sonido de una alpaca galopando\na toda mecha!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\n¡Es verdad! Ya la veo, ¡y viene hacia aquí!\x0E\x04\x00\x00
