MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08ヴェイル\n¡Por aquí! ¡La lasca del Dragón Caído\nestá cerca!\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nMe alegra que puedas sentir dónde están, Veyle.\nYo no soy capaz.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08ヴェイル\nEspera, hay alguien ahí. Parecen...\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nSí. Zephia y Griss.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08ヴェイル\n(...)\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nDeben de estar custodiando la lasca.\n¿Estás segura de que podrás?\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08ヴェイル\nSi quiero detener a papá, no puedo evitar esto.\x0E\x04\x02\x00
MID_OP1_#008	Tarde o temprano, tendré que enfrentarme\na ellos. Vamos.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nVale.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nZephia. Griss.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x08\x06セピア\n¡Mi señora! Estábamos esperándoos.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08ヴェイル\n(...)\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06セピア\nOh, ya veo... Vos otra vez.\x0E\x04\x02\x00
MID_OP2_#005	Parece que la otra lady Veyle ya no se\nencuentra entre nosotros. ¿Se ha ido?\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08ヴェイル\nCorrecto.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x06\x04グリ\nConque os habéis arrastrado hasta aquí, ¿eh?\nJamás pensé que triunfaríais, lady Tarada.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nDeja de llamarla así. Nadie volverá a hablarle\na Veyle de esa manera, nunca más.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x08\x06セピア\n¡¿Tú?!\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x06\x04グリ\n¡Eh! Pero ¿cómo es posible?\n¿No estabas muert\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nEl poder de los anillos me ha convertido\nen Emblema para que salve este mundo.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08ヴェイル\nHemos venido a detener a papá.\nApartaos de nuestro camino, por favor.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x08\x06セピア\n¿Y dejaros pasar? No lo creo. Lord Sombron\nestá abriendo el portal a otros mundos...\x0E\x04\x02\x00
MID_OP2_#014	Debemos proteger la lasca. No nos apartaríamos\nni aunque nos lo ordenase nuestra lady Veyle.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0A\x08ヴェイル\nEntonces estáis listos para morir.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x08\x06セピア\n¿Pretendéis matarnos, lady Veyle?\nOh, qué triste que hayamos llegado a esto.\x0E\x04\x02\x00
MID_OP2_#017	Después de haberos tratado\ncomo si fuerais de mi familia...\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08ヴェイル\nOírte decir esas cosas me hacía feliz...\naunque ahora sé que eran mentira.\x0E\x04\x02\x00
MID_OP2_#019	No sois más que dos seguidores de papá.\nEnemigos a los que debo derrotar, eso es todo.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x06\x04グリ\n¿Por qué nos separas del resto?\nÉramos cuatro.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x0A\x08ヴェイル\nMauvier era mi caballero. Y Marni también...\x0E\x04\x02\x00
MID_OP2_#022	He oído que... murió intentando salvarme.\x0E\x04\x02\x00
MID_OP2_#023	¿Por qué la mataste?\nNi siquiera pude despedirme de ella.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x08\x06セピア\nAcogí a Marni en la familia. Cuidé de ella.\n¿Y qué obtuve a cambio? Una traición.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x0A\x08ヴェイル\n¿Cómo puedes llamar "familia" a los Cuatro\nMastines? Con la forma en la que los tratabas...\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x08\x06セピア\nYo los amaba, pero, cuando un hijo se desvía\ndel camino, hay que castigarlo... o algo peor.\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x0A\x08リュール\nEso no es verdadero amor...\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x08\x06セピア\nAh, ¿no? Entonces, puede que jamás\nhaya sentido "verdadero amor".\x0E\x04\x02\x00
MID_OP2_#029	Conozco mi corazón y mis pensamientos.\nEso es todo cuanto me importa.\x0E\x04\x02\x00
MID_OP2_#030	Pero nunca nos pondremos de acuerdo.\nNi en un millón de años.\x0E\x04\x02\x00
MID_OP2_#031	Sirvo a lord Sombron.\x0E\x04\x02\x00
MID_OP2_#032	Le sirvo desde hace mucho tiempo,\nsiempre dispuesta a cumplir sus deseos.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x06\x04グリ\nYo no planeo cambiar de bando.\nNi aunque perdamos. ¿Entendido?\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x0A\x08ヴェイル\nYa veo. Entonces, supongo que esto\nes una despedida.\x0E\x04\x02\x00
MID_OP2_#035	Siento decir que no tenemos más opción\nque enfrentarnos a ellos.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x0A\x08リュール\n¿Estás segura?\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x0A\x08ヴェイル\nNo nos escuchan. Ojalá se hicieran a un lado,\npor su propio bien, pero quieren luchar.\x0E\x04\x02\x00
MID_OP2_#038	Debemos detener a papá, y eso implica olvidar\nnuestros lazos... de una vez por todas.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x02t\n\x0E\x05\x01\x16\x08ヴェイル\nAngry\n\x0E\x03\x02\x0A\x08ヴェイル\nDebemos derrotar a Zephia y a Griss.\nEntonces podremos romper la lasca.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\n¡¿Qué ha sido eso?!\x0E\x04\x00\x00
MID_EV2_#002	\x0E\x03\x00\x0E\x08ヴェイル\x02b\n\x0E\x05\x01\x16\x08ヴェイル\nAngry\n\x0E\x03\x02\x0A\x08ヴェイル\nEsos dos... Debe de haber sido obra suya.\x0E\x04\x02\x00
MID_EV2_#003	Pueden usar la lasca para atacar.\nY estoy segura de que volverán a hacerlo...\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M023_セピア\x02b\n\x0E\x05\x01\x1E\x10M023_セピア\nAngry\n\x0E\x03\x02\x12\x10M023_セピア\nRetirarme no es una opción.\nSi es preciso, moriré para proteger la lasca.\x0E\x04\x00\x00
MID_EV3_#002	\x0E\x03\x00\x14\x0EM023_グリ\x02t\n\x0E\x05\x01"\x0EM023_グリ\x10Surprise\n\x0E\x03\x02\x10\x0EM023_グリ\n¿Tú? No digas locuras. Si alguien tiene\nque morir hoy, el primero seré yo. Además...\x0E\x04\x02\x00
MID_EV3_#003	\x0E\x05\x01\x1E\x0EM023_グリ\x0CStatus\n¡los bombardearemos con esto hasta que\nno queden más que huesos calcinados!\x0E\x04\x00\x00
MID_EV3_2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M023_セピア\x02b\n\x0E\x05\x01\x1E\x10M023_セピア\nAngry\n\x0E\x03\x02\x12\x10M023_セピア\nRetirarme no es una opción.\nSi es preciso, moriré para proteger la lasca.\x0E\x04\x02\x00
MID_EV3_2_#002	Pero primero, en nombre de Griss,\n¡os reduciré a cenizas!\x0E\x04\x00\x00
MID_EV3_3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM023_グリ\x02b\n\x0E\x05\x01\x1C\x0EM023_グリ\nAngry\n\x0E\x03\x02\x10\x0EM023_グリ\nZephia ha caído. Todo depende de mí, ¿eh?\nBueno, no me vencerán fácilmente.\x0E\x04\x02\x00
MID_EV3_3_#002	\x0E\x05\x01\x1E\x0EM023_グリ\x0CStrike\n¡Los bombardearé con esto hasta que\nno queden más que huesos calcinados!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nSmile\n\x0E\x03\x02\x0A\x08リュール\nLo conseguimos... ¡Hemos roto\nla lasca del Dragón Caído!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M023_セピア\x02b\n\x0E\x05\x01"\x10M023_セピア\x0EStandBy\n\x0E\x03\x02\x12\x10M023_セピア\n¿Quién de nosotros perderá la vida aquí?\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M023_セピア\x02b\n\x0E\x05\x01\x1E\x10M023_セピア\nSmile\n\x0E\x03\x02\x12\x10M023_セピア\nAh, lady Veyle. Pretendéis matarme, ¿no?\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0E\x08ヴェイル\x02t\n\x0E\x05\x01\x18\x08ヴェイル\x0CStrike\n\x0E\x03\x02\x0A\x08ヴェイル\nAsí es.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x03\x02\x12\x10M023_セピア\nEsos ojos... se parecen tanto\na los de vuestro padre.\x0E\x04\x02\x00
MID_BT2_#004	Os parecéis mucho más a vuestro padre\nque la otra lady Veyle.\x0E\x04\x00\x00
MID_BT2_#005	\x0E\x03\x02\x0A\x08ヴェイル\nTú no me ves, ¿verdad, Zephia?\x0E\x04\x02\x00
MID_BT2_#006	\x0E\x05\x01\x12\x08ヴェイル\x06Sad\nCuando me miras, ves a papá\no a esa otra versión de mí.\x0E\x04\x02\x00
MID_BT2_#007	Cuando te conocí, parecías tan amable.\nMe gustabas de verdad.\x0E\x04\x00\x00
MID_BT2_#008	\x0E\x05\x01"\x10M023_セピア\x0EStandBy\n\x0E\x03\x02\x12\x10M023_セピア\n¿En serio? Yo os odiaba. No, no es cierto...\nMe erais indiferente.\x0E\x04\x00\x00
MID_BT2_#009	\x0E\x03\x02\x0A\x08ヴェイル\n(...)\x0E\x04\x00\x00
MID_BT2_#010	\x0E\x05\x01\x1A\x10M023_セピア\x06Die\n\x0E\x03\x02\x12\x10M023_セピア\nSiempre fuisteis la marioneta de lord Sombron,\nun instrumento de usar y tirar.\x0E\x04\x02\x00
MID_BT2_#011	\x0E\x05\x01 \x10M023_セピア\x0CNormal\nAun así... sabía que llegaría este día.\x0E\x04\x00\x00
MID_BT2_#012	\x0E\x05\x01\x18\x08ヴェイル\x0CStrike\n\x0E\x03\x02\x0A\x08ヴェイル\n¿El día en el que te mataría?\nNo es de extrañar que no me tuvieras aprecio.\x0E\x04\x00\x00
MID_BT2_#013	\x0E\x05\x01\x1E\x10M023_セピア\nSmile\n\x0E\x03\x02\x12\x10M023_セピア\nBueno... Ahora tenéis toda mi atención.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M023_セピア\x02b\n\x0E\x05\x01\x1E\x10M023_セピア\nSmile\n\x0E\x03\x02\x12\x10M023_セピア\nMi dulce y querido Dragón Divino.\nHemos pasado por tanto junt\x0E\x0A\x00\x08\x02o\x02as, ¿no crees?\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nZephia... Sabías quién era hace mil años...\x0E\x04\x00\x00
MID_BT3_#003	\x0E\x05\x01\x1E\x10M023_セピア\nRelax\n\x0E\x03\x02\x12\x10M023_セピア\nSí, creo que nos encontramos.\nPero los detalles son algo difusos.\x0E\x04\x02\x00
MID_BT3_#004	\x0E\x05\x01\x1A\x10M023_セピア\x06Die\nLord Sombron tenía tantos hijos, ¿sabes?\x0E\x04\x02\x00
MID_BT3_#005	\x0E\x05\x01\x1E\x10M023_セピア\nSmile\nUn insecto habría llamado más mi atención.\x0E\x04\x00\x00
MID_BT3_#006	\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\n¿Oh? ¿Tan poco memorable soy?\x0E\x04\x00\x00
MID_BT3_#007	\x0E\x05\x01\x1E\x10M023_セピア\nAngry\n\x0E\x03\x02\x12\x10M023_セピア\nPara nada. Eres el poderoso Dragón Divino.\nUn día serás como yo...\x0E\x04\x02\x00
MID_BT3_#008	\x0E\x05\x01\x1A\x10M023_セピア\x06Shy\nTiendes a perder la cuenta de las vidas\nque ves pasar. Algún día lo entenderás.\x0E\x04\x00\x00
MID_BT3_#009	\x0E\x03\x02\x0A\x08リュール\nNunca seré como tú.\x0E\x04\x00\x00
MID_BT3_#010	\x0E\x05\x01\x1E\x10M023_セピア\nSmile\n\x0E\x03\x02\x12\x10M023_セピア\nJa, ja. Bueno, tampoco importa mucho.\nNo saldrás de aquí.\x0E\x04\x02\x00
MID_BT3_#011	\x0E\x05\x01 \x10M023_セピア\x0CStrike\nVas a morir ahora mismo.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M023_セピア\x02b\n\x0E\x05\x01\x1E\x10M023_セピア\nAngry\n\x0E\x03\x02\x12\x10M023_セピア\n¿Vas a matarme, Mauvier? ¿Después de todo...?\x0E\x04\x00\x00
MID_BT4_#002	\x0E\x03\x00\x0C\x06モーヴ\x02t\n\x0E\x05\x01\x18\x06モーヴ\x0EStandBy\n\x0E\x03\x02\x08\x06モーヴ\nTiempo atrás, ni yo lo habría imaginado.\nCreía que el camino que seguíamos era justo.\x0E\x04\x02\x00
MID_BT4_#003	\x0E\x05\x01\x10\x06モーヴ\x06Sad\nQue éramos una familia.\x0E\x04\x00\x00
MID_BT4_#004	\x0E\x05\x01$\x10M023_セピア\x10Surprise\n\x0E\x03\x02\x12\x10M023_セピア\n¿Una familia? Me sorprende que digas eso.\x0E\x04\x00\x00
MID_BT4_#005	\x0E\x05\x01\x16\x06モーヴ\x0CNormal\n\x0E\x03\x02\x08\x06モーヴ\nAdmito que soy un solitario por naturaleza.\nPero sentía un vínculo real con los Mastines.\x0E\x04\x02\x00
MID_BT4_#006	\x0E\x05\x01\x14\x06モーヴ\nAngry\nMe dejé distraer por nuestra "familia" demasiado\ntiempo. Hasta que te llevaste a Marni.\x0E\x04\x00\x00
MID_BT4_#007	\x0E\x05\x01\x1E\x10M023_セピア\nSmile\n\x0E\x03\x02\x12\x10M023_セピア\nMauvier... puedes olvidarte\nde todo esto y marcharte.\x0E\x04\x00\x00
MID_BT4_#008	\x0E\x05\x01\x1E\x10M023_セピア\nAngry\n\x0E\x05\x01\x18\x06モーヴ\x0EStandBy\n\x0E\x03\x02\x08\x06モーヴ\nTe dejé cuando destrozaste los Mastines,\nZephia.\x0E\x04\x02\x00
MID_BT4_#009	\x0E\x05\x01\x16\x06モーヴ\x0CStrike\nYa no siento nada por ti.\nFíjate... Al final me has enseñado algo.\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M023_セピア\x02b\n\x0E\x05\x01\x1C\x10M023_セピア\x08Pain\n\x0E\x03\x02\x12\x10M023_セピア\nLord Sombron... No...\x0E\x04\x00\x00
