MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nPor fin hemos llegado...\n\x0E\x0A\x00,\x14Bienvenido\x14Bienvenida al Reino de Firene.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nQué lugar tan idílico.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Verdad? Y no hay ni rastro de aberraciones,\nlo cual es buena señal.\x0E\x04\x02\x00
MID_OP1_#004	Espero que no estéis \x0E\x0A\x00 \x0Ecansado\x0Ecansada. El viaje desde\nLythos ha sido largo; hemos atravesado el mar...\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nMe encuentro bien.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nBien, me alegro. Disculpadme si insistí\ndemasiado en que vinierais.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08リュール\nNo te preocupes. Quería hacerlo.\x0E\x04\x02\x00
MID_OP1_#008	¿Qué tal si me cuentas más cosas sobre tu reino\nantes de que lleguemos al castillo?\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Me encantaría! Veamos...\x0E\x04\x02\x00
MID_OP1_#010	El Reino de Firene es una de las cuatro naciones\nde Elyos, ubicada al suroeste del continente.\x0E\x04\x02\x00
MID_OP1_#011	Gobierna el país la reina Ève, mi madre.\nNuestra tierra es conocida... por su fertilidad.\x0E\x04\x02\x00
MID_OP1_#012	Mi pueblo valora la paz por encima de todo.\nHace siglos que no vivimos una guerra.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nEs obvio que procedes de un largo linaje\nde dirigentes muy capaces.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Gracias! Sois muy amable.\nMantener la paz no es siempre tarea fácil.\x0E\x04\x02\x00
MID_OP1_#015	Para afianzarla, mi madre firmó un pacto\nde no agresión con las naciones vecinas.\x0E\x04\x02\x00
MID_OP1_#016	Así, nos aseguramos de que no habría conflictos\ncon el Reginato de Solm y el Reino de Brodia.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\nAh, sí... Solm, el reginato de la libertad,\ny Brodia, reino de guerreros.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nExacto. Solm es una nación abierta que siempre\nha mantenido buenas relaciones con Firene.\x0E\x04\x02\x00
MID_OP1_#019	La alianza con Brodia, en cambio, requirió\nmás diplomacia. Su rey es muy ambicioso.\x0E\x04\x02\x00
MID_OP1_#020	Todavía hoy siguen atacando al Reino de Elusia\npara conquistar sus dominios.\x0E\x04\x00\x00
