MID_WU_C_1_IN_#001	Disculpad.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Os habéis despertado rápido.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Es muy conveniente si nos atacan.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	Os dejaré en paz.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	No me gusta entrar así...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Pero es mi deber.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Divinidad... Divinidad...\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Hoy solo estoy yo.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	¿Quizá he sido demasiado formal?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	Os pido disculpas.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	"La caballera se aproximó al altar..."\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	"Y el sonido de sus pasos\ndespertó enseguida al Dragón Divino."\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Buenos días, Divinidad.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	"En la profundidad de su letargo, la figura\ndel altar parecía congelada en el tiempo".\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	"De súbito, la caballera causó un gran\nestrépito que puso fin a la serenidad..."\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	No, no lo haré.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	"La caballera habló...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	e invitó al Dragón Divino a despertar."\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Buenos días. ¿Cómo os sentís hoy?\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Qué tranquilidad... Es un buen lugar\npara la paz mental.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Lamento interrumpir el silencio.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Ya casi es la hora. Preparaos para partir.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Tengo un poco de tiempo libre... Meditaré.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Trascender los pensamientos materiales...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Ah, una idea para mi próxima comedia...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Habéis despertado.\x0E\x04\x00\x00
