MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04エル\nTu compostura es admirable, Lyn. Resulta\nobvio que has vivido muchas experiencias.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04リン\nLo único que hago es dejarme llevar por lo que\nme dice el viento. Pero gracias por tus palabras.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nLo confieso, Nel: me asusta la cantidad\nde comida picante que ingieres al día.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nLamento haberte alarmado... Es que no disfruto\nen absoluto de la comida sosa.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04エル\nGracias por ayudarme en la última batalla.\nTu habilidad con el arco es insólita...\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04リン\nTodos tenemos nuestras virtudes. Pondré\nlas mías a tu servicio siempre que las necesites.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nDebo decir que tu asombroso talento me hace\nreparar en mis defectos más de lo habitual.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04リン\nYo también tengo los míos, como cualquiera.\nPor eso debemos apoyarnos mutuamente.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nラファール\nTu habilidad con el arco es impresionante.\nMe alegro de no contarme entre tus enemigos...\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x06\x04リン\nGracias. Tú también has luchado de maravilla.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nラファール\nMe pregunto cuál es el origen de tu poder...\n¿Dónde te enseñaron a luchar?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x06\x04リン\nAprendí sola en las llanuras, donde tenía\nque enfrentarme a bandidos y animales.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nラファール\nCualquiera puede mejorar con la práctica, pero\nparece imposible lograr tu destreza con el arco.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nEs como si tu espíritu infundiera potencia a las\nflechas, convertidas en extensión de ti misma.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x06\x04リン\nLo pintas muy complejo, pero creo que tienes\nrazón. Cuando estoy enfadada, no disparo bien.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x06\x04リン\nDiría que soy mejor arquera si estoy rodeada\nde amigos. Por eso me alegra tenerte cerca.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMe da que tú y yo nos vamos a llevar de lujo.\nY suelo acertar con mis corazonadas...\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x06\x04リン\nMe has quitado las palabras de la boca, Zelestia.\nHabla bien de ti que valores tanto la amistad.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n¡Eres la mejor arquera del mundo, Lyn! Alucino\ncon tu facilidad para dar en la diana, en serio...\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x06\x04リン\nGracias. Procuraré esforzarme para seguir\nacribillando al enemigo en batallas venideras.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nQué alegría luchar a tu lado. Puede que seamos\ndistintas, pero te considero una gran amiga.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x06\x04リン\nGracias. Amistades como la tuya son las que\nme dan fuerzas frente a la adversidad.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x06\x04リン\nA ti te pasa igual, ¿no? Es obvio que te desvives\npor el Dragón Divino y los Cuatro Vientos.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\n¡Otra cosa más que nos une! Y quiero que sepas\nque también haría cualquier cosa por ti, Lyn.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nグレゴリー\nMe gusta tu modo de luchar. Desde tan atrás,\nhuir resulta fácil. Haremos buenas migas fijo.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x06\x04リン\nNo aprendí a usar el arco por ese motivo, pero\nme alegra que creas que vamos a llevarnos bien.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nグレゴリー\nNi teniéndote a mi lado consigo librarme del\nmiedo que me atenaza. Perdón, soy un cobarde.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x06\x04リン\nDe ningún modo. Ya he visto la valentía con\nla que te desenvuelves en el campo de batalla.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nGregory, voy a contarte por qué no te considero\nun cobarde en modo alguno.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x06\x04リン\nEres prudente, pero sé que no temes la batalla,\nsino poner a tus aliados en peligro.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nG-gracias... Por observarme con tanta atención,\ndigo... No sé cómo compensártelo...\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nIntentaré darte la razón con hechos. Si te\nparezco un valiente, me comportaré como tal.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nマデリーン\n¡Ahí va, un insecto! Tranquilidad; ya me ocupo\nyo de él. Pero, antes, necesito tomar aire...\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x06\x04リン\nNo tienes por qué hacerlo si te disgusta. A mí\nno me dan repelús, pero a mucha gente sí.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nマデリーン\n¿Es verdad que eres una nómada de las\nllanuras? Por eso no te dan miedo los insectos...\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x06\x04リン\nClaro... Al verlos a diario, aprendes a diferenciar\ncuáles son peligrosos. Es cuestión de práctica.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nマデリーン\nLyn, sé que una caballero no debe perder\njamás la compostura, pero...\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x06\x04リン\n¿Otra vez el tema de los insectos? Ya te he\ndicho que no merece la pena darle vueltas.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x06\x04リン\nTodos tenemos debilidades. Lo importante es\nsaber cómo enfrentarte a ellas y doblegarlas.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\n¡Cuánto me alivia que digas eso! En cuestión\nde voluntad, no me supera nadie.\x0E\x04\x00\x00
