MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nHum... Hum...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アイビー\n¿Puedo ayudarte, Panette?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パネトネ\nAh, no. ¿Por qué lo preguntas?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アイビー\nLlevas un buen rato mirándome.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nEs que, para ser una princesa, eres muy...\n¿Cómo lo diría? Sosegada.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アイビー\n¿De verdad? No considero que muestre\nmás sosiego de lo normal.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パネトネ\nPero no te he visto empezar a cantar\nde repente ni a bailar por todas partes.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nCorrecto. Yo no hago esas cosas.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nTampoco corres por ahí como un lobo salvaje\nni engulles costillas asadas.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nSimplemente, te quedas quieta. Me ha parecido\ntan extraño que no he podido evitar observarte.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nQuizá no estés habituada al comportamiento\nque se puede esperar de la realeza.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nOh... Te he ofendido, ¿verdad?\nMis más sinceras disculpas.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nNo hace falta. No tiene nada de ofensivo\nque en otros países haya otras costumbres.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アイビー\nEn realidad, es agradable charlar contigo.\nMis vasallos son muy poco femeninos.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\n¿En serio? Debo admitir que yo también\ndisfruto de tu compañía.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nGenial. Si te parece bien, me encantaría\nque fuéramos amigas.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パネトネ\n¡Por supuesto, alteza! Sería un honor.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08アイビー\nPanette, haz el favor de explicarte.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nTe prometí que iríamos a un lugar especial.\nPues, ya hemos llegado.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アイビー\nTe dije que me gustaría que fuéramos amigas...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\n¿Y por eso me has arrastrado\na este lugar ruinoso y decadente?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\n¡Exactamente! ¿No notas cómo se acelera\ntu corazón?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アイビー\nSí, me temo que alarmantemente.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nTengo la impresión de que podría aparecer\nun fantasma en cualquier momento.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\n¡Eso es! A mí me resulta encantador.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nAsí que... encantador.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アイビー\nTe parece que los fantasmas son encantadores.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パネトネ\n¡Por supuesto! ¡Son fascinantes!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nEn ese caso, debo darte las gracias.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nMe has traído a un lugar especial para ti.\nGracias por hacerme partícipe.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nPor desgracia, cada cual tiene sus gustos.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nOh... No me digas que...\n¿Acaso los fantasmas te dan pavor?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nMe dan tanto miedo, que me está costando\nno perder los nervios.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nEsa mancha con forma humana de la pared,\nlas huellas en las ventanas, el aire viciado...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アイビー\nEstoy haciendo un esfuerzo enorme\npor seguir aquí sin gritar ni desmayarme.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\nPero no puedo perder la compostura\nni mi dignidad como princesa.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\nAunque estoy al límite de mis fuerzas...\nNo creo que aguante mucho más.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nLas princesas también somos humanas,\nal fin y al cabo.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nPor eso...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アイビー\n¡Quiero volver a casaaaa!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x02\x0A\x08パネトネ\nMadre mía, princesa Ivy...\n¡No corras tanto!\x0E\x04\x00\x00
