MID_TUT_BMAP_SilverCard_TITLE	Tarjeta de plata
MID_TUT_BMAP_SilverCard_0	Permite obtener descuentos del 30 %\nen los artículos de la armería y el bazar.
MID_TUT_GMAP_GOD_TITLE	Mapa (Desvíos Divinos)
MID_TUT_GMAP_GOD_0	Mediante el menú del mapa, puedes volver\nal Somniel o al mapa de la historia principal.
MID_TUT_GMAP_GOD_1	Es posible que aparezcan escaramuzas\nen los mapas que ya hayas completado.
MID_TUT_GMAP_RECOLLECTION_BATTLE_TITLE	Rememorar las batallas
MID_TUT_GMAP_RECOLLECTION_BATTLE_0	Al completar un mapa del pase de expansión,\npuedes jugar de nuevo rememorando la batalla.
MID_TUT_GMAP_RECOLLECTION_BATTLE_1	Es posible rememorar las batallas tantas veces\ncomo quieras y elegir los aliados a tu antojo.
MID_TUT_GMAP_RECOLLECTION_BATTLE_2	En este tipo de combates no obtendrás objetos\nni experiencia. Además, los artículos gastados\ny los aliados caídos se restablecerán al concluir.
MID_TUT_HUB_GOD_START_TITLE	Desvíos Divinos
MID_TUT_HUB_GOD_START_0	Desde el mapa puedes trasladarte\na las islas de los brazaletes Emblema.
MID_TUT_HUB_GOD_START_1	Tienes la opción de volver a la historia\nprincipal en cualquier momento.
MID_TUT_HUB_GOD_START_NOTICE	Ha aparecido algo en el mirador.
MID_TUT_GOD_TIKI_TITLE	Emblema Tiki
MID_TUT_GOD_TIKI_0	El Emblema Tiki lanza potentes ataques\ndragontinos y brinda protección divina\na los aliados.
MID_TUT_GOD_TIKI_1	La habilidad de sincronización Esfera estelar\nfacilita que las unidades reciban mayores\nmejoras de atributos al subir de nivel.
MID_TUT_GOD_TIKI_2	El arma de fusión Aliento inflige daño de área\na los enemigos. Además, su rendimiento varía\nsegún el tipo de unidad.
MID_TUT_GOD_TIKI_3	La habilidad de fusión Forma dragontina\nhace que la unidad se transforme en dragón\ny que sus atributos mejoren considerablemente.
MID_TUT_GOD_TIKI_4	El ataque de fusión Bendición divina otorga\nuna piedra resurrectora a un aliado, que puede\nconsumirla para recuperar PV si llegan a cero.
MID_TUT_GOD_EDELGARD_TITLE	Emblema Edelgard
MID_TUT_GOD_EDELGARD_0	El Emblema Edelgard se alterna aleatoriamente\ncon Dimitri y Claude, lo cual ofrece un amplio\nrepertorio de habilidades.
MID_TUT_GOD_EDELGARD_1	La habilidad de sincronización Táctica varía\nsegún cuál de los tres personajes esté operativo\nen ese momento.
MID_TUT_GOD_EDELGARD_2	El arma de fusión Aymr permite asestar golpes\nrotundos e infligir daño extra a los dragones.
MID_TUT_GOD_EDELGARD_3	La habilidad de fusión Técnicas permite recurrir\na uno de los tres ataques disponibles, aunque\na costa de algunos turnos de fusión restantes.
MID_TUT_GOD_EDELGARD_4	El ataque de fusión Casas unidas permite atacar\ncon hacha, lanza y arco, y facilita causar ruptura\nal enemigo. Eficaz contra unidades voladoras.
MID_TUT_TIPS_Tiki	Emblema Tiki
MID_TUT_TIPS_Edelgard	Emblema Edelgard
MID_TUT_TIPS_Dimitri	Emblema Dimitri
MID_TUT_TIPS_Claude	Emblema Claude
MID_TIPS_SKILL_30	Al inicio del turno del jugador, el Emblema de los Rivales cambiará al azar\na cualquiera de sus tres Emblemas.
MID_TIPS_SKILL_31	Si la unidad inicia el combate con el mismo tipo de arma que el Emblema con el que\nse sincroniza, otorga Ata + 5. Si están fusionadas, Ata + 5 con independencia del arma.
MID_TIPS_SKILL_32	Hacha del Emblema Edelgard. Asesta golpes rotundos. No golpea primero.\nEficacia: Dragones.
MID_TIPS_SKILL_33	Permite usar las Técnicas de Edelgard, Dimitri o Claude.\nAgota turnos de fusión con el Emblema.
MID_TIPS_SKILL_39	La habilidad de fusión Técnicas no pone fin a la propia fusión al usarla,\nni siquiera en el caso de que reduzca los turnos de fusión restantes a cero.
MID_TIPS_GOD_24	Dragón Divino que habita en Akaneia, continente de otro mundo,\ndesde tiempos inmemoriales.
MID_TIPS_GOD_25	Manakete que adoptó forma humana. Llama cariñosamente "Mar-Mar" a Marth.
MID_TIPS_GOD_26	Heredera al trono del Imperio de Adrestia, en Fódlan, una tierra de otro mundo.\nUna joven distinguida y hábil con el hacha.
MID_TIPS_GOD_27	Príncipe heredero del Sacro Reino de Faerghus, en Fódlan, una tierra de otro mundo.\nUn muchacho sagaz con un gran dominio de la lanza.
MID_TIPS_GOD_28	Heredero de la Alianza de Leicester, en Fódlan, una tierra de otro mundo.\nUn joven misterioso y muy rápido con el arco.
