MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0C\nフォガート\nEste pescado a la brasa está de muerte.\nTiene una consistencia perfecta.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nLe he añadido una pizca de sal para quitarle\nhumedad y que quede más tierno.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nPuede que esta sea tu mejor creación\nhasta la fecha, Bunet. Y el listón está muy alto...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nAl fin y al cabo, no solo soy vuestro vasallo,\nsino también vuestro chef personal.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nEs mi deber conocer vuestros gustos\ny preparar platos de manera acorde.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\n¡Ya te digo! Soy un tipo con suerte.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nPero has olvidado un detalle.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\n¡¿Qué?! ¿No he puesto suficiente limón?\n¿No os agrada la presentación?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nNo, olvida el plato. Los títulos: vasallo\ny chef personal. Te has dejado uno.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nMejor amigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nAh... Cierto, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nHemos compartido tantas comidas\ncasi a diario en el mesón de mis padres.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ボネ\nMás que la comida, disfrutaba charlando\ndurante horas cuando los otros clientes se iban.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nSiempre recordaré esos días. No como cierta\npersona que había olvidado nuestra amistad...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nNo es así. Mi memoria retiene con exactitud\ntanto los sabores como a los amigos.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nEs tan solo que ahora sois para mí\nmás un salvador que un amigo.\x0E\x04\x00\x00
