MID_WU_C_1_IN_#001	¡Hola!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	¿Habéis descansado, Divinidad?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Me alegro.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Hoy hace un día genial...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	¡así que no os lo paséis durmiendo!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	¡Venga! ¡A mover el cuerpo!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	¡Buenos días!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Venga, abrid los ojos.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Daos prisa, Divinidad.\nTengo mucho que hacer.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Fantástico. Estáis despiert\x0E\x0A\x00\x08\x02o\x02a.\n¿Esto es todo?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Si no necesitáis nada más, voy a salir a correr.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Puesto que, de todos modos, tengo que esperar,\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	empezaré mi entrenamiento.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	¡Jiaa! ¡Ugh! ¡Jia! ¡Ugh!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Ah... ¡Oh, hola!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	No os he visto despertaros.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Hace buen día, ¿eh?\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	He venido a poneros en pie.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Os habéis despertado de inmediato.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	¿Tenéis el sueño ligero, Divinidad?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	¿Cuál es la mejor forma de hacerlo?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Os daría un empujoncito, pero...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Sería una grosería. Mejor le doy\nun empujón al altar en el que dormís.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	¡No! ¡Qué mal!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	¿Por qué pesa tanto el altar, Divinidad?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Tendré que entrenar con más ahínco\npara la próxima vez.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	¡Uf! ¡Cien vueltas alrededor del Somniel!\x0E\x04\x00\x00
