MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAmber, tengo una duda.\n¿Cómo os entrenáis los caballeros de Brodia?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\n¿Qué quieres saber exactamente?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nSiempre he admirado a los caballeros\nde tu reino y siento curiosidad...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nLo llaman "reino de los guerreros"; debéis tener\nunos métodos de entrenamiento extraordinarios.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nEs cierto que nuestros guerreros son muy\nfuertes, pero creo que se debe al terreno...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nCasi todo Brodia son peñascos y barrancos.\nLa tierra no resulta propicia para la agricultura.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nBuena parte de la gente se dedica a tareas\ncomo la minería. Por eso es tan fuerte.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\n¡Ya veo! Entonces, ¿las actividades cotidianas\nya son en sí una forma de entrenar la fuerza?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nPara la mayoría, sí. Yo nací en una granja\nde alpacas, así que mis tareas eran distintas.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\n¿¡Alpacas!? ¿Esos animales\ntan raros y famosos?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\n¡Es fantástico! Adoro a los animales por\nencima de todo, especialmente a los más raros.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nSi trabajaste en una granja, lo sabrás todo\nde ellas. ¡Cuéntamelo, por favor!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nPara empezar, las alpacas son\ntan peluditas como adorables.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nAunque escupen mucho.\nHay que tener cuidado con eso.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\n¿¡Escupen!? ¡Increíble! No me importaría\nrecibir un escupitajo de alpaca.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nTe digo yo que sí. Tardas la vida en quitarte\nel olor de la ropa, y ya no te cuento del pelo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nSin ánimo de alardear, soy todo un experto\nen esquivar escupitajos de alpaca.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\n¡Ja! ¡Yaaah! Estos solo son un par\nde movimientos evasivos básicos.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アンバー\nAh... ¡Uaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\n¿Por qué siempre hay una roca dispuesta\na sabotear mis pavoneos?\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06メリン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06メリン\n¡Bravo! ¡No esperaba menos de un caballero\nbrodiano! Ha sido impresionante.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08アンバー\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06メリン\nNo solo sois fuertes; también tenéis la habilidad\nde simular traspiés como si nada. ¡Bien hecho!\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06メリン\nEspero que algún día me reveles\nel secreto de tu fuerza.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0A\x08アンバー\n¿Te ha gustado? Esto... Lo tenía planeado,\nclaro. No hay nadie más fuerte y ágil que yo.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\n¡Amber! Me preguntaba si podrías revelarme\nhoy el secreto de tu fuerza brodiana.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nNo hay ningún secreto. Como te dije,\nse lo debo al trabajo físico en la granja.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nMmm... ¿Quieres decir que mejorar\nla resistencia es importante?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nPor supuesto. Cuanta más resistencia tengas,\nmás tiempo podrás entrenar.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nEntiendo. Bueno es saberlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nY pensar que se puede desarrollar la resistencia\ncuidando alpacas... ¡Parece un sueño!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nOjalá hubiera alpacas en mi tierra...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nNo te apures, Merrin. Si quieres ser más fuerte,\nyo puedo enseñarte todo lo que sé.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\n¿Sí? ¿Lo harías?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\n¡Claro! ¿Por dónde empezamos?\n¿Corremos o prefieres trabajar el abdomen?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\n¿Por qué no disputamos un duelo? Quiero\nsaber cuánta resistencia tengo ahora mismo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\n¡Ah, buena idea! No está mal tener otra\ncompañera de lucha para variar.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nNo soy rival para ti, pero lo haré lo mejor\nque pueda e intentaré no quedar en ridículo.\x0E\x04\x00\x00
