MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nミスティラ\n¡Vaya, vaya! Pero si es Fogado,\n¡mi hermanito favorito!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\nPues sí, el mismo que viste y calza.\n¿Por qué estás de tan buen humor?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nOh, por nada en particular.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\n¿De verdad? Me extraña que no haya\nuna canción o una parrillada de por medio.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nフォガート\nAunque me alegra verte tan contenta.\nEso siempre me dibuja una sonrisa.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\n¡Bien! Porque no podría estar más feliz.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nVenga, dime a qué viene todo esto,\nque soy tu hermanito.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nBueno, si tanto insistes en saberlo...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\n¡Es porque estás aquí!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\n¿Eso es todo? Si siempre estoy aquí.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\nLamento informarte de que eso no es verdad.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nDebo admitir que, en Solm, yo no paraba\nmucho por el castillo. Pero ¿tú qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\n¡A ti no se te veía el pelo por allí!\nNunca podía pasar tiempo contigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nBueno, no te falta razón.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nAunque no sea en las mejores circunstancias,\nme alegro de poder verte todos los días.\x0E\x04\x00\x00
