MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\n¿Deseas aferrarte a tu inocencia,\na los principios que te han guiado siempre?\x0E\x04\x02\x00
MID_OP1_#002	¿O pugnarás por la victoria aunque tus manos\nse manchen con la sangre de viejas amistades?\x0E\x04\x02\x00
MID_OP1_#003	El más insoportable de los dolores es hoy\nun bello recuerdo, un sueño desesperado.\x0E\x04\x02\x00
MID_OP1_#004	Pero yo conozco la verdad:\x0E\x04\x02\x00
MID_OP1_#005	en este mundo, no hay lugar para la eternidad.\nEs hora de despertar.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE006_エル\x021\n\x0E\x03\x00\x18\x12E005_Boss\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1C\x16E006_セレスティア\x024\n\x0E\x03\x02\x14\x12E005_Boss\nRecuerdo cuando éramos jóvenes.\x0E\x04\x02\x00
MID_OP2_#002	Tu sueño era más profundo que el mío.\nSiempre tenía que esperar a que despertaras.\x0E\x04\x02\x00
MID_OP2_#003	Porque fuera acechaba el peligro,\ny sin ti no era capaz de hacer nada.\x0E\x04\x02\x00
MID_OP2_#004	No podía transformarme, por más que quisiera.\nEra un cachorro enclenque. Un inútil.\x0E\x04\x02\x00
MID_OP2_#005	Estaba seguro de que mi vida sería corta.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x10\x0EE006_エル\nEstabas tan... desesperado.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x14\x12E005_Boss\nAh, al fin despiertas. Ni se te ocurra intentar\ntransformarte y huir, te lo advierto.\x0E\x04\x02\x00
MID_OP2_#008	Si te mueves lo más mínimo, te desmembraré.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x10\x0EE006_エル\nPor favor, Nil, ya basta.\x0E\x04\x02\x00
MID_OP2_#010	Es absurdo que anheles el poder:\nno se puede gobernar un mundo vacío.\x0E\x04\x02\x00
MID_OP2_#011	Solo quedamos tú y yo.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x14\x12E005_Boss\nEl poder es lo único que importa.\x0E\x04\x02\x00
MID_OP2_#013	Este mundo no significa nada para mí. Si debo\ndestruirlo para alcanzar mi meta, que así sea.\x0E\x04\x02\x00
MID_OP2_#014	Pero tú no lo entenderías. No sabes lo que se\nsiente cuando eres débil. Cuando te humillan.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x10\x0EE006_エル\nPero eso forma parte ya del pasado.\nAdemás, todo el mundo te quería...\x0E\x04\x02\x00
MID_OP2_#016	Piensa en la época del castillo de Lythos.\nTodos vivíamos juntos, como una familia.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x14\x12E005_Boss\nAquellos tiempos no evocan en mí\nmás que resentimiento.\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x10\x0EE006_エル\nSé que no lo dices en serio...\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x14\x12E005_Boss\nMe hace gracia que nos vieras como una familia.\nLa ironía es tal que me veo obligado a confesar.\x0E\x04\x02\x00
MID_OP2_#020	No soy tu hermano mellizo.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x10\x0EE006_エル\n(...)\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x14\x12E005_Boss\nOcupé el lugar de Nil cuando ambos éramos\naún niños.\x0E\x04\x02\x00
MID_OP2_#023	Tu hermanito, al que ansiabas proteger tanto\nque huiste de tu padre, arriesgándolo todo...\x0E\x04\x02\x00
MID_OP2_#024	lleva muerto una larga temporada.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x10\x0EE006_エル\n(...)\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x14\x12E005_Boss\n¿Lo comprendes ahora? Estás sola.\x0E\x04\x02\x00
MID_OP2_#027	Tu Dragón Divino del alma, tus Cuatro Vientos,\ntu hermano mellizo... ¡Todos han caído!\x0E\x04\x02\x00
MID_OP2_#028	¡Ja, ja! ¿¡Verdad que resulta maravilloso!?\x0E\x04\x02\x00
MID_OP2_#029	¡Por fin nos enfrentaremos de igual a igual!\nY cuando nuestro duelo concluya...\x0E\x04\x02\x00
MID_OP2_#030	permitiré que acabes conmigo.\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE006_エル\n¿Qué?\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x14\x12E005_Boss\nSiempre he sido un niño solitario y triste...\nNi siquiera recuerdo el rostro de mi melliza.\x0E\x04\x02\x00
MID_OP2_#033	Sabía que no perdonarías mi traición, pero,\ndurante un tiempo... disfruté de ser tu Nil.\x0E\x04\x02\x00
MID_OP2_#034	Eras tan amable y generosa conmigo...\nEmpecé a considerarte mi auténtica hermana.\x0E\x04\x02\x00
MID_OP2_#035	Los recuerdos de aquellos días en el castillo\nde Lythos... son un tesoro para mí.\x0E\x04\x02\x00
MID_OP2_#036	Pero un tesoro robado. Y el dolor se me antoja\ninsoportable. Así que te lo ruego...\x0E\x04\x02\x00
MID_OP2_#037	Ponle punto final a mi miserable vida.\x0E\x04\x00\x00
MID_OP2_#038	\x0E\x03\x02\x10\x0EE006_エル\n¿A qué viene todo esto, Nil?\nDime qué está ocurriendo.\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x02\x14\x12E005_Boss\nNo... ¡Arg, no! ¿"Ponle punto final\na mi miserable vida"? ¡Patético! ¡Ridículo!\x0E\x04\x02\x00
MID_OP2_#040	¡Mi padre puso su mano sobre mi pecho\ny me nombró su heredero!\x0E\x04\x02\x00
MID_OP2_#041	¡No cejaré hasta ver cumplidas sus ambiciones!\x0E\x04\x02\x00
MID_OP2_#042	Sin duda es lo que espera de mí. De otro modo,\nno me habría designado como su sucesor.\x0E\x04\x02\x00
MID_OP2_#043	Aunque quizá fuera un truco, o le daba lástima.\nNo lo sé... ¡Odio este dolor! Nunca se acaba.\x0E\x04\x00\x00
