MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n¡Hola, Jade! ¿Tienes un momento?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nClaro, princesa Timerra.\n¿Qué puedo hacer por vos?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nMe han dicho que eres de un pueblo minero,\nasí que seguro que entiendes de minerales.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nCorrecto. Mi padre era gemólogo,\nasí que aprendí bastantes cosas de él.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\n¡Perfecto! Ya que eres una experta,\n¿me acompañarías a buscar gemas?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\n¿Vais a salir a buscar gemas?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\n¡Sí!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nEstoy buscando una grande y fabulosa\npara transformarla en una joya.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nSé dónde buscar, pero no cómo hacerlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nAhora entiendo por qué habéis recurrido a mí...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nSerá un placer ir con vos, aunque, si son joyas\nlo que queréis, ¿por qué no vais a una joyería?\x0E\x04\x00\x00
