MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\n¡Princesa Hortensia! No estás ocupada, ¿no?\nTe invito a una taza de té.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nPríncipe Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nSé que soy irresistible, pero, como princesa,\nno es apropiado que intentes ligar conmigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nTe prometo que no van por ahí los tiros.\nSolo quería conversar tranquilamente contigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nAunque vayas de inocente, incluso en Elusia\nse conoce tu fama de mujeriego.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\n¿Los rumores sobre mí llegan hasta Elusia?\nMe siento halagado.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo te sentirías así si supieras\nlo que se cuenta de ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\n¿Qué más dan los rumores? Tan solo quiero\ntomar té y hablar de nuestros países.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo, gracias. Tengo que ayudar a mi hermana.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nTú también eres un príncipe. ¿No deberías\ntener un montón de trabajo que hacer?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nSolm es un reginato, así que mi hermana\nes la heredera al trono, no yo.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Entonces te pasas el día flirteando\ny perdiendo el tiempo por ahí?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nNada de flirteo. Estoy patrullando.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh, pues vale. Eso no me lo esperaba.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Por qué no ayudas a la princesa Timerra?\n¡Deja de holgazanear y aligera su carga!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nAy, no seas tan cruel.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nフォガート\nEn fin... Si cambias de opinión y te apetece té,\ny solo té, andaré por aquí.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nDisculpad, señorita. ¿Estáis sola?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nAhí está el príncipe Fogado...\nHablando con una dama...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nDiría que está tonteando con ella...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nMenudo príncipe está hecho...\nEsto se va a acabar.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x04\x03\x04
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿La estabas ayudando a cargar sus cosas?\n¿Eso es todo?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nPues claro. ¿Por qué te has puesto así?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nLo siento. No creí que realmente\nte dedicases a ayudar a la gente...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nフォガート\nYa te dije que patrullo por la ciudad.\nEso es lo que hago, ayudar a la gente.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nSiento haber dudado de ti.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nNo pasa nada, estoy acostumbrado.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nEn ese caso, te haré compañía.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\n¿Sí? ¡Genial! Dime entonces, ¿a qué hora\nte espero para el té?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nMe refería a ayudar a la gente, tonto.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nフォガート\nAh, de eso se trataba.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nフォガート\nDe acuerdo, por mí encantado.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nVaya.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nDebo admitir que eres más asombroso\nde lo que pensaba.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\n¿Ya te has enamorado de mí?\nPues tendré que rechazar tu joven corazón...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo seas grosero. No me refería a eso.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nフォガート\nVale, perdona. No lo puedo evitar.\n¿Qué decías?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nTe preocupas por los problemas de tu gente.\nLa princesa Timerra es afortunada de tenerte.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nYo también ayudo a mi hermana,\npero solo con los asuntos de palacio.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nAl pasear contigo por la ciudad\nhe podido ver cómo es el resto del mundo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo sé si lo que hago le sirve de ayuda a Ivy\no si me estoy engañando a mí misma.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nAh, entiendo cómo te sientes.\nEs el síndrome del cubo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿El cubo? ¿Qué dices?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nMi hermana tiene muchísimas obligaciones...\nYo solo puedo ayudar en cosas pequeñas.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nEs como si intentara mover una duna\ny yo solo tuviera un cubo, ¿sabes?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nMmm, ya te entiendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe, je.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nEres bastante formidable.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nMe alegra que te hayas dado cuenta.\nEntonces, ¿te apuntas a esa taza de té?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nEse es otro tema.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nPero te ayudaré encantada a patrullar\nla ciudad tantas veces como quieras.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nMenos da una piedra... ¡En marcha!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Adelante, brigada del cubo!\x0E\x04\x00\x00
