MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x0A\x08リュール\nYa hemos llegado... Las islas al sur de Firene.\nPercibo la presencia de un Emblema.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0C\nヴァンドレ\nAquello de allí parece un altar.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nY sobre él hay un brazalete.\nLo que siento debe de ser su Emblema.\x0E\x04\x02\x00
MID_OP1_#004	Sí. Ahora noto su presencia.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0C\nヴァンドレ\n¿Qué sucede, Divinidad?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nCreo que acaba de venirme a la mente\nuna invocación.\x0E\x04\x02\x00
MID_OP1_#007	Intentaré invocar al Emblema.\x0E\x04\x02\x00
MID_OP1_#008	¡Dulces sueños, Emblema de los Dragones!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x06\x04チキ\n¿Mar-Mar? No... Perdona, ¿quién eres?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nSoy el Dragón Divino \x0E\x06\x03\x00.\nHemos venido porque advertí tu presencia.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x06\x04チキ\n¿Dragón Divino? ¡Anda, igual que yo!\nSoy el Emblema Tiki.\x0E\x04\x02\x00
MID_OP2_#004	Gracias por despertarme. Me siento\ncomo si hubiese dormido muchísimo tiempo.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nConozco esa sensación, Tiki.\n¿Recuerdas alguna cosa de antes de tu letargo?\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x06\x04チキ\nMmm... Mis amigos de brazalete y yo\nestábamos en un lugar muy lejano.\x0E\x04\x02\x00
MID_OP2_#007	Luchamos en muchas batallas,\npero he olvidado cómo acabaron.\x0E\x04\x02\x00
MID_OP2_#008	Lo que sí recuerdo es que alguien muy amable\nme ayudó a dormir. ¿Quién sería?...\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nAlguien muy amable... Mmm.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x06\x04チキ\nEn mi mundo también me hicieron dormir.\nFue para protegerme, pero pasé mucho miedo.\x0E\x04\x02\x00
MID_OP2_#011	¡Y entonces Mar-Mar consiguió\nque ya no tuviese que dormir más!\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08リュール\n¿Te refieres a Marth?\n¿Estás hablando de la historia del Rey Heroico?\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x06\x04チキ\n¿Lo conoces?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nAsí es. El Emblema Marth ha custodiado Elyos\ndurante mucho tiempo.\x0E\x04\x02\x00
MID_OP2_#015	Si te aliases a él para luchar por la salvación\nde este mundo, te estaríamos agradecidos.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x06\x04チキ\nMe encantaría unirme a vuestro grupo.\n¡Viajar con nuevos amigos será divertido!\x0E\x04\x02\x00
MID_OP2_#017	Pero antes quiero saber qué te impulsa a luchar.\n¿Me dejas que vea tu esencia?\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08リュール\nFaltaría más. ¿Qué debo hacer?\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x06\x04チキ\n¡Es muy fácil! Enfréntate a mí.\nAsí podré apreciar tu verdadera naturaleza.\x0E\x04\x02\x00
MID_OP2_#020	¡Y ni se te ocurra contenerte!\n¡Soy muy fuerte!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nSmile\n\x0E\x03\x02\x06\x04チキ\n¡Adelante, muéstrame tu fuerza!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nRelax\n\x0E\x03\x02\x06\x04チキ\nLas puertas están protegidas\npor una poderosa fuerza.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nRelax\n\x0E\x03\x02\x06\x04チキ\nEsos sellos son el único modo de abrir\nlas puertas. ¡A ver si puedes llegar hasta mí!\x0E\x04\x00\x00
