MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nMmm... Quizá lo esté enfocando mal.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\n¿En qué estás pensando, Anna?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06アンナ\n¡Llámame lady Anna! Y, respondiendo\na tu pregunta, pienso en nuevos productos.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nAh, más cosas que vender.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nSí. ¿Conoces el Día de los Enamorados?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nSí, me suena. Es un día en el que las parejas\nse hacen regalos mutuamente, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\nExactamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nCasi siempre son flores, pero regalar\nlo mismo todos los años no es nada original.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06アンナ\nVoy a inventar un producto revolucionario\nque devolverá la ilusión a ese día tan señalado.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nVaya, te has puesto metas muy altas.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\nDeja de tratarme como a una niña\ny échame una mano, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nNo se me ha ocurrido nada que valga\nla pena, me vendría bien otro punto de vista.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nMmm, veamos... Algo novedoso\npara el Día de los Enamorados...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\n¿Qué tal unos collares?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nEse es el segundo regalo más manido\ndel Día de los Enamorados.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\nLos collares son casi tan típicos como las flores.\nNo es el producto revolucionario que busco.\x0E\x04\x00\x00
