MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\n¡Divinidad, cuidado! ¡Un lobo!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\n¿Qué? ¡¿Dónde?!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\n¡Lobo, te pido que te marches!\nDeja en paz al Dragón Divino... ¡Te lo ruego!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\nMe ignora... No me queda otra opción.\nTendré que ponerme serio.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\n¡Ese gesto! ¡¿Va a hacer una reverencia\npara pedir perdón como en la frontera?!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\n¡Lobo, lo siento mucho!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nSé que mi disculpa solo te enfurecerá más...\n¡Hasta el punto de que quizá me devores!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nSi acabo en tu barriga, mis aliados malgastarían\ndías buscándome... pero ¡debo persistir!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nPor favor, aunque no tengo derecho a pedírtelo,\n¡te ruego que vuelvas a casa!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nEl lobo ha dado media vuelta... Increíble.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nAllá va.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nGracias al cielo estáis bien, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nGracias a ti, Alcryst. Me alivia verte de una pieza\ntambién. Eso ha sido muy arriesgado.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nNo es nada. Vuestra vida vale mucho más\nque la mía. He hecho lo que tenía que hacer.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nNi hablar. Mi vida, tu vida, la de todo el mundo...\nNadie está por encima de nadie.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nTenéis razón, Divinidad.\nDe nuevo he mostrado mis carencias.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nLa luz del Dragón Divino debería alegrarme,\npero solo consigo sentirme peor...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nAceptad mis más sinceras disculpas.\nDebo marcharme.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\n¿Qué? ¡Alcryst! ¡Espera!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リュール\nCaramba. Qué rápido...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Alcryst? ¿Tienes un momento?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\nSí, Divinidad. ¿De qué se trata?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\n¿A qué viene esa pose? ¿Estás bien?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nMe preparo para arrodillarme.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n¿Por qué quieres hacer eso?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nQuiero estar preparado por si debo\ndisculparme por algo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nPor el amor de... ¡No hay necesidad!\nSolo quería hablar de lo que pasó con ese lobo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\n¿Eh? Pues vos diréis.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nQuiero que te quede claro esto sobre nosotros:\nyo no estoy por encima, ni tú por debajo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nEstamos en pie de igualdad.\nNo lo olvides, ¿entendido?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nMe gustaría obedeceros, pero...\nsoy incapaz de verlo así.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nVenga... ¿Por qué te niegas a entenderlo?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nSiento decepcionaros, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nVeo que no tiene arreglo... aunque luego rindes.\nDe acuerdo, haz las cosas a tu modo.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\n¿A mi modo? ¿Estáis \x0E\x0A\x00\x1C\x0Cseguro\x0Csegura?\x0E\x04\x00\x00
