MID_WU_C_1_IN_#001	¡Aquí estoy!
MID_WU_C_1_IN_#002	¡Lista para sacaros de la cama!
MID_WU_C_1_SOON_#001	Impresionante...
MID_WU_C_1_SOON_#002	Veo que, al sentir mi sutil presencia,\nhabéis despertado de inmediato.
MID_WU_C_1_SOON_#003	¿Eh? ¿Que mi presencia no tiene nada de sutil?
MID_WU_C_1_SOON_#004	Qué feo está decir algo así...
MID_WU_C_1_WAKEUP_#001	¡Mmm! Por fin me toca a mí.
MID_WU_C_1_WAKEUP_#002	¡Ahora sí que me siento parte del grupo!
MID_WU_C_1_WAKEUP_#003	Vamos allá...
MID_WU_C_1_WAKEUP_#004	¡Divinidad!
MID_WU_C_1_HELLO_#001	¡Habéis despertado!\nHa funcionado a la perfección.
MID_WU_C_1_HELLO_#002	¡Y encima ha sido divertido!
MID_WU_C_1_HELLO_#003	¿Cómo? ¿Que estáis pensando a quién\nencargarle esta tarea a partir de ahora?...
MID_WU_C_2_IN_#001	¡Se requiere vuestra presencia!
MID_WU_C_2_IN_#002	Ah... que seguís durmiendo...
MID_WU_C_2_SOON_#001	Lo siento.
MID_WU_C_2_SOON_#002	No debería haberos despertado\ncon tanta brusquedad.
MID_WU_C_2_SOON_#003	Procuraré controlarme más la próxima vez\nque venga a buscaros.
MID_WU_C_2_WAKEUP_#001	Uy... Pensaba que ya estaríais \x0E\x0A\x00(\x12despierto\x12despierta.
MID_WU_C_2_WAKEUP_#002	Prepararé vuestra ropa.
MID_WU_C_2_WAKEUP_#003	Aquí tenéis...
MID_WU_C_2_WAKEUP_#004	¡Oh! ¡Ah!
MID_WU_C_2_HELLO_#001	Qué desastre...
MID_WU_C_2_HELLO_#002	Me he resbalado en la alfombra\nque hay junto a vuestra cama.
MID_WU_C_2_HELLO_#003	Tened cuidado al levantaros, Divinidad...
MID_WU_C_2_HELLO_#004	Ja, ja, ja... Ja, ja...
MID_WU_B_1_IN_#001	¡Tenéis que probar...
MID_WU_B_1_IN_#002	esta sopa!
MID_WU_B_1_IN_#003	Ah, estáis durmiendo.
MID_WU_B_1_SOON_#001	Quería compartir esta sopa de ajo\ncon vos, pero...
MID_WU_B_1_SOON_#002	ya veo que no es el mejor momento, ¿verdad?
MID_WU_B_1_SOON_#003	Volveré más tarde, Divinidad.
MID_WU_B_1_WAKEUP_#001	Me encanta comer con vos, así que...
MID_WU_B_1_WAKEUP_#002	se me ocurrió que compartiésemos esto.
MID_WU_B_1_WAKEUP_#003	Ja, ja. Será mejor que vuelva en otro momento.
MID_WU_B_1_HELLO_#001	Mmm... Mmm...
MID_WU_B_1_HELLO_#002	¡Ah, Divinidad!
MID_WU_B_1_HELLO_#003	Os he traído sopa, pero olía tan bien...
MID_WU_B_1_HELLO_#004	En fin...
MID_WU_B_1_HELLO_#005	Me temo que me la he comido toda\nmientras dormíais.
MID_WU_B_2_IN_#001	Despertar al Dragón Divino
MID_WU_B_2_IN_#002	es mi tarea favorita.
MID_WU_B_2_SOON_#001	Ah, parece que hoy no necesitáis mi visita...
MID_WU_B_2_SOON_#002	Aunque me encanta despertaros.
MID_WU_B_2_SOON_#003	La próxima vez, ¿podríais haceros \x0E\x0A\x00,\x14el dormido\x14la dormida?
MID_WU_B_2_WAKEUP_#001	Bien, despertaros es mi responsabilidad,
MID_WU_B_2_WAKEUP_#002	pero procuraré hacerlo con la mayor delicadeza.
MID_WU_B_2_WAKEUP_#003	¿Divinidad? ¿Me oís, Divinidad?\nEs hora de levantarse.
MID_WU_B_2_HELLO_#001	Buenos días.
MID_WU_B_2_HELLO_#002	Estaba dispuesta a tararear algo\nsi no conseguía despertaros.
MID_WU_B_2_HELLO_#003	¿Cómo? ¿Que lo habríais preferido así?
MID_WU_A_1_IN_#001	Cuánto lo siento...
MID_WU_A_1_IN_#002	No me acordé de reservar algo de tiempo\npara sentarnos y almorzar como es debido.
MID_WU_A_1_SOON_#001	Venía a avisaros, pero...
MID_WU_A_1_SOON_#002	ya veo que seguís \x0E\x0A\x00 \x0Edormido\x0Edormida.
MID_WU_A_1_SOON_#003	¡Voy a comer algo y vuelvo enseguida!
MID_WU_A_1_WAKEUP_#001	Como todavía no he comido, pensé\nque estaría bien hacerlo \x0E\x0A\x00\x1C\x0Cjuntos\x0Cjuntas.
