MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nCaray, ¿qué tenemos por aquí?\n¡Nada menos que la princesa Céline de Firene!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nEspero que el día te esté siendo propicio.\n¿Te apetecería tomar un té conmigo?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\n¿Siempre derrochas tanta energía?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\n¡Desde luego!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nMis ánimos nunca decaen, ¡y comparto\nmi buen humor con todo el mundo!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セリーヌ\nLo lamento, pero ya he merendado.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nAunque aceptaría tu oferta de buen grado\nen otra ocasión.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nQué decepción... ¿Acaso podría tentarte\ncon un combate de práctica, entonces?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\n¡Ejercitarse después del yantar siempre es sano!\nVamos, demuéstrame lo que sabes hacer.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nJi, ji, ji.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\n¿Mmm? ¿Qué te resulta tan divertido?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\n¡Primero me invitas a tomar té y, acto seguido,\npropones batirte en duelo singular conmigo!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nPocos se atreverían a tratar así a una princesa.\nEres muy peculiar.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\n¡Tus lisonjas no te servirán de nada!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nHe de declinar tanto el té como el duelo,\npero me encantaría que volviéramos a hablar.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\n¡Dalo por hecho! Para algo están los amigos...\x0E\x04\x00\x00
