MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNo hay nada mejor que hacer punto\npara relajarse.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x02\x0C\nザフィーア\n¡Oh, Vander! No sabía que...\nte gustase... ¿trabajar con las agujas?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nヴァンドレ\nHola, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nHabla más bajo, por favor. Es un proyecto\ndelicado. Un sobresalto podría estropearlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nザフィーア\nClaro, perdona.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\nMe ha sorprendido verte con las agujas\nen la mano. ¿Es una de tus aficiones?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\nAsí es. ¿Qué tiene de sorprendente?\n¿Acaso tú no tienes aficiones?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nザフィーア\nEstoy entregada a la caballería en cuerpo\ny alma. Lo único que hago es entrenar.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nヴァンドレ\nPracticar para el combate es importante, claro,\npero tejer también puede ser útil en una batalla.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\n¿Sí? ¿En qué sentido?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nEl ganchillo se aprende a base de repetir\nunos movimientos muy precisos.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nヴァンドレ\nSi intentas apresurarte,\nobtienes un resultado mediocre.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nLo mismo se puede aplicar a nuestras\nhabilidades de combate, ¿no crees?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nザフィーア\nPuede que tengas razón.\nNo lo había visto de ese modo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\n¿Te interesaría aprender a hacer ganchillo?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nVenga. ¿Por qué no?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nヴァンドレ\nBien, será un placer enseñarte lo que sé.\nSeguro que te resultará gratificante.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nTe has saltado un nudo, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nUf, normal... Estos estúpidos nudos\nno paran quietos...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nRelájate. Ve despacio o\nse te va a enredar todo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nDemasiado tarde. Está más liado\nque el hilo de un carrete de pesca.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nヴァンドレ\nA ver... Tienes que deshacer los últimos\npuntos y retomarlo desde ahí.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nザフィーア\n¿En serio? ¿Tú crees?\nUf, no me veo capaz.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nNo pasa nada, estás practicando.\nCada fallo lamentable es una enseñanza.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\n¡Lamentable! Claro, lamentable como yo... Arg.\nLo siento, Vander, el ganchillo no es para mí.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nAgradezco el tiempo que me has dedicado,\npero este tipo de cosas no se me dan bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nVaya, me sorprende que una guerrera\nde Brodia se rinda tan fácilmente.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nSois famosos por vuestra determinación.\nSupongo que es una reputación infundada.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nAjá...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nIntentas picarme, ¿eh? No te pega.\nMejor dedícate a tu ganchillo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nザフィーア\nPero tienes razón: los caballeros brodianos\nnunca nos rendimos y no seré yo la primera.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nQuizá me haya mostrado muy duro. A partir\nde ahora seré un instructor más amable.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nザフィーア\nNo, ya has hecho suficiente.\nAprenderé el resto por mi cuenta.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\nVoy a tejer algo que hará que se te caiga\nla armadura. Tú espera y verás.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nMuy bien, estoy ansioso por comprobarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\n¡Vander! ¡He terminado mi proyecto\nde ganchillo!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nYa era hora.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nNo es más que una bolsita, pero...\nha quedado bastante bien, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nMmm... Las puntadas parecen rectas\ny consistentes... Sí, un trabajo excelente.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nSe nota todo tu esfuerzo y determinación.\nEnhorabuena.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nザフィーア\nEn cuanto le pillé el ritmo, me resultó\nmuy relajante, como la meditación.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nザフィーア\nYa entiendo a qué te referías cuando dijiste\nque era parecido a entrenar.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nGracias por enseñarme, Vander.\nTe he hecho esto como muestra de gratitud.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nザフィーア\nNo es nada del otro mundo. Una cosita\nque he ido tejiendo en los ratos libres.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\n¡Una bufanda!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nMe impresiona que pudieras hacer\nlas dos cosas tan rápido y tan bien...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nLos brodianos nunca nos rendimos porque\nnos gusta aprender y ser los mejores.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nEntiendo. Pero, por mucho que hayas mejorado,\n¡no dejaré que me superes tan fácilmente!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nザフィーア\nClaro, sé que me queda mucho que aprender.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nHablando en serio... Quizá no sea mala\nidea que tú y yo entrenemos juntos.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\n¿Entrenar?\x0E\x04\x00\x00
