MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0C\nミスティラ\n¡Me lo he pasado genial!\nHacía tanto que no cabalgábamos juntas...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パネトネ\nSí, patrona. No hay nada mejor\nque montar a lomos de un lobo.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nAntes hacíamos esto casi todas las noches.\n¿Qué ha pasado?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nEs por la guerra. Por desgracia,\nel mundo ya no es el mismo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nEs verdad... Y, bueno, tú te has tranquilizado\nmucho desde entonces.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パネトネ\n¿A qué os referís?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\n¡Venga ya! ¿Recuerdas cuando nos conocimos?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\n¡Ataste a unos bandoleros a unos árboles\ne ibas a dejar que los lobos los devorasen!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\n¡Solo pretendía darles un escarmiento!\nEn realidad no iba a...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nPor no hablar de cómo te expresabas...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\n"¿Tenéis hambre, imbéciles?\n¡Os vais a tragar una ración de guantazos!"\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\n¡Os ruego que no rememoréis\nesos episodios tan chabacanos!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\n¡Ja, ja!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nNo te preocupes, Panette.\nMe encantabas entonces y me encantas ahora.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nEl sentimiento es mutuo, patrona.\nAy, qué bien se os da abochornarme...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nPatrona, cuando dijisteis que he cambiado...\nestabais completamente en lo cierto.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nPero es a causa de vos.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\n¿De mí?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nSí. Cuando nos conocimos,\nyo era asaz agreste.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nMi infancia fue... tumultuosa, por decirlo\nde un modo suave, lo que me llenó de rencor.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パネトネ\nPor eso, cada día iba al pueblo y buscaba\nbrega con la persona más insospechada.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パネトネ\nEn retrospectiva, ahora comprendo\nque aquello era un enorme sinsentido.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nPero no tenía otro modo de canalizar mi ira...\nhasta que os conocí.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パネトネ\nEn un principio, claro está, os creí\ntan barbárica como yo misma.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nNo tardamos en hacer buenas migas, ¿eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nApaleando bandidos durante el día\ny cabalgando nuestros lobos de noche.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nEn efecto, éramos uña y carne.\x0E\x04\x00\x00
