MID_TUT_BMAP_EVIL_RULE_TITLE	Despliegue en la Epopeya del Caído
MID_TUT_BMAP_EVIL_RULE_0	En las batallas de la Epopeya del Caído,\ntus aliados tienen clases y niveles por defecto.
MID_TUT_BMAP_EVIL_RULE_1	También llevan objetos predeterminados en el\ninventario, aunque puedes intercambiarlos,\ncomo de costumbre.
MID_TUT_BMAP_EVIL_RULE_2	Los aliados que causan baja en combate\nvuelven posteriormente, sea cual sea\nla dificultad que tengas seleccionada.
MID_TUT_BMAP_EVIL_GUEST_TITLE	Aliados invitados
MID_TUT_BMAP_EVIL_GUEST_0	En la Epopeya del Caído cuentas con el apoyo\nde unos aliados especiales que engrosarán\ntus filas en cada batalla a modo de invitados.
MID_TUT_BMAP_EVIL_GUEST_1	Nel es una poderosa unidad dragón y Nil ayuda\nal grupo en colaboración con los Emblemas,\naunque no es apto para luchar en la vanguardia.
MID_TUT_BMAP_EVIL_GUEST_2	Perder a Nel o Nil en combate conlleva\nla derrota de forma automática. Por tanto,\nmanéjalos con sumo cuidado.
MID_TUT_BMAP_EVIL_FANG_CURSE_TITLE	Colmillos maléficos
MID_TUT_BMAP_EVIL_FANG_CURSE_0	La mordedura de un lobo aberrante provoca\nel estado alterado "colmillos maléficos".
MID_TUT_BMAP_EVIL_FANG_CURSE_1	Cada ataque de colmillos maléficos reduce\nen 5 los PV máximos de la unidad que lo sufre.
MID_TUT_BMAP_EVIL_FANG_CURSE_2	El efecto se acumula con cada golpe y perdura\ndurante toda la batalla si no se elimina con\nun bastón de restauración.
MID_TUT_BMAP_EVIL_MELEE_TITLE	Batalla campal
MID_TUT_BMAP_EVIL_MELEE_0	En este combate, ciertas unidades\nestán marcadas con un círculo amarillo.
MID_TUT_BMAP_EVIL_MELEE_1	Se trata de unidades enemigas, aunque\ntambién rivalizan con las de color rojo.
MID_TUT_BMAP_EVIL_MELEE_2	Intenta aprovechar la situación cuando\nambos grupos se enzarcen entre ellos.
MID_TUT_BMAP_EVIL_POW_TITLE	\x0E\x06\x03\x00 \x0E\x0A\x00$\x10atrapado\x10atrapada
MID_TUT_BMAP_EVIL_POW_0	Mientras \x0E\x06\x03\x00 permanezca \x0E\x0A\x00$\x10atrapado\x10atrapada,\nno podrá usar armas ni atacar.
MID_TUT_BMAP_EVIL_POW_1	Recurre a la sanación cuando sea necesario\npara evitar la derrota.
MID_TUT_BMAP_EVIL_SUMMON_TITLE	Vórtices aberrantes
MID_TUT_BMAP_EVIL_SUMMON_0	De estos vórtices saldrán refuerzos enemigos\nal inicio del próximo turno del jugador.
MID_TUT_BMAP_EVIL_SUMMON_1	Puedes impedirlo si colocas alguna unidad\nen el espacio que ocupa el vórtice.
MID_TUT_BMAP_EVIL_RUSHMOVE_TITLE	Devastación
MID_TUT_BMAP_EVIL_RUSHMOVE_0	Cuando un sello caído empieza a brillar, indica\nque Nil Caído se va a desplazar hasta él tras\ndestruir la zona donde se halle en ese momento.
MID_TUT_BMAP_EVIL_RUSHMOVE_1	La devastación se produce en el siguiente\nturno del enemigo y fulmina a las unidades\naliadas o enemigas a las que alcanza.
MID_TUT_BMAP_EVIL_RUSHMOVE_2	Cuantas más unidades elimina de esa manera\nNil Caído, más aumenta su poder.
MID_TUT_DLG_E006_ADVICE	Los aliados derrotados en la Epopeya del Caído\nvuelven tras las batallas, ¡así que ve con todo\na por la victoria sin temor a perderlos!
MID_TUT_BMAP_EVIL_ENCHANT_TITLE	Nueva clase: Taumaturgo
MID_TUT_BMAP_EVIL_ENCHANT_0	Los taumaturgos se potencian a ellos mismos\ny a los aliados a costa de objetos y armas. Hace\nfalta un morral místico para pasar a esta clase.
MID_TUT_BMAP_EVIL_ENCHANT_1	A costa de un objeto, Empuje objeto confiere\nefectos especiales a los aliados. Dichos efectos\ndependen del objeto empleado.
MID_TUT_BMAP_EVIL_ENCHANT_2	A costa de un arma del inventario, Empuje arma\nrefuerza todas las del mismo nombre, aliadas\ny enemigas, durante el resto de la batalla.
MID_TUT_BMAP_EVIL_MAGECANON_TITLE	Nueva clase: Mago artillero
MID_TUT_BMAP_EVIL_MAGECANON_0	Los magos artilleros bombardean a los rivales\nsituados a distancia. Para pasar a esta clase,\nse necesita un cañón mágico.
MID_TUT_BMAP_EVIL_MAGECANON_1	El poder ofensivo de estas unidades va unido\na su Hab. Su porcentaje de acierto depende\nde la Fue, Con y distancia al objetivo.
MID_TUT_BMAP_EVIL_MAGECANON_2	A costa de los proyectiles equipados, Cañonazo\npermite efectuar un potente ataque que afecta\na una zona amplia en el turno siguiente.
MID_TUT_BMAP_EVIL_MAGECANON_3	La zona de peligro de los magos artilleros\ntiene un aspecto distinto al habitual.
MID_TUT_GMAP_EVIL_TITLE	Mapa (Epopeya del Caído)
MID_TUT_GMAP_EVIL_0	La Epopeya del Caído cuenta con su mapa\npropio. Recórrelo para avanzar en la historia.
MID_TUT_GMAP_EVIL_1	Mediante el menú del mapa, puedes volver\nal Somniel o al mapa de la historia principal.
MID_TUT_GMAP_EVIL_2	También puedes afrontar las escaramuzas\nque aparezcan en las zonas que ya hayas\ncompletado.
MID_TUT_HUB_EVIL_START_TITLE	Epopeya del Caído
MID_TUT_HUB_EVIL_START_0	Puedes acceder a la Epopeya del Caído\na través del pozo antiguo.
MID_TUT_HUB_EVIL_START_1	No es necesario que la completes de una vez.\nEntre capítulo y capítulo, tienes la opción\nde volver a la historia principal.
MID_TUT_HUB_EVIL_START_2	En la Epopeya del Caído, también puedes\nseleccionar un nivel de dificultad independiente\ndel de la historia principal.
MID_TUT_HUB_EVIL_START_NOTICE	Algo extraño pasa en el pozo antiguo.
MID_TUT_NAVI_E004_ADVICE_START	Dada la abundancia de enemigos con bastones\nque hay en este mapa, las animaciones de baile\ny sanación se mostrarán, por defecto, solamente\npara las unidades aliadas. Puedes cambiar\nesta configuración en el menú de ajustes.
MID_TUT_NAVI_E004_ADVICE_END	Se va a deshacer el cambio de la configuración\nrelativa a las animaciones de baile y sanación\nque se ha llevado a cabo al inicio de la batalla.
MID_TIPS_JOB_02	Empuje arma también refuerza las armas del mismo nombre\nalmacenadas en el carro.
MID_TIPS_JOB_03	El efecto vigente de Empuje arma desaparece al usarlo de nuevo con un arma distinta.
MID_TIPS_ITEM_21	La habilidad Cañonazo de los magos artilleros siempre provoca un estado alterado\na todos los enemigos, salvo los más fuertes.
