MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\n¿Has viajado de un mundo a otro para ayudar\na unos extraños? Eres ciertamente peculiar...\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nMe juzgas con severidad, Emblema Soren.\nVine para socorrer al Dragón Divino.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x06\x04エル\nPor más que me esfuerzo, no logro tratar al\nDragón Divino con la amabilidad que merece...\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x0A\x08セネリオ\n¿Cómo es posible que repitas el mismo error\nuna y otra vez?\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nSi aspiras a mantener una estrecha relación con\nel Dragón Divino, debes medir más tus palabras.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nSoy plenamente consciente de ello, pero aun así\nfracaso en el intento ocasión tras ocasión.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nDudo que sepas qué se siente cuando\ntus palabras no reflejan lo que deseas.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nPues no, no lo sé. Pero, si te sirve mi opinión,\ncreo que no deberías guardarte tus emociones.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\nPensaba que a estas alturas Nel y yo habríamos\nacabado con todo esto. Pero aquí seguimos...\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nSí, pero no me cabe duda de que vuestra\npresencia mejora el rendimiento del ejército.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\nSiempre te veo solo. Supongo que es\nconsecuencia de tus toscos modales.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nSi tanto tiempo tienes para fijarte en los demás,\n¿por qué no te centras en tus aliados?\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\n¿Por qué me miras fijamente?\n¿Tanto anhelas mi atención?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nConocí a alguien como tú... Recuerdo sus alas\nnegras. Tampoco lo habría querido como amigo.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\n¡Qué raro que te dignes a hablar de ti mismo!\nContinúa; me pica la curiosidad...\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nOlvídalo... Carece de importancia.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nEs un placer volver a encontrarte. Siempre sentí\ncierta afinidad contigo. ¿A qué se deberá?\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0A\x08セネリオ\n¿Quién sabe? Puede que solo sea cosa tuya...\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nTu poder sigue siendo formidable, Soren. Mi\nmagia dragontina no es rival para ti. Te envidio.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0A\x08セネリオ\n¿De veras? No hay motivo para ello:\nnunca he deseado este poder.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSoren. Acerca de nuestra última conversación...\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nDecir que envidiaba tu poder sin apenas\nconocerte fue insensible por mi parte. Lo siento.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nNo tiene importancia. Yo también retiro\nlo que dije sobre no desearlo.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nSin él, no habría encontrado mi lugar en\nel mundo. Y aquel deseo no se habría cumplido.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nEres un estratega, ¿verdad? Te ruego que me\nconsideres un mero refuerzo; un último resorte.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nSi lo que pretendes es huir, te destinaré\na algún lugar del que no puedas escapar.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\n¿Por qué no piensas en otra cosa que en huir?\n¿Tienes deudas pendientes o algo parecido?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\n¿Qué? Ni hablar... Pago lo que debo\nreligiosamente. ¿A qué viene eso?\x0E\x04\x00\x00
