MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x02\x08\x06カゲツ\nUgh...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nQué torpe... ¿Cómo se me ha podido caer\nel onigiri, mi única comida? ¿Qué hago ahora?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06カゲツ\nHoy tenía tanto que hacer...\nAhora temo desmayarme por el hambre.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nTienes cara de hambriento.\n¿Te gustan los dulces? Puedo darte algunos.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\n¿Merrin?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\n¿Me ayudarías en un momento de necesidad?\nNo sabes cuánto te lo agradezco...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nGracias de todo corazón...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nDe nada. Disfrútalos.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nÑam... Qué dulce... Ñam, ñam... ¡Qué rico!\nYa estoy lleno de energía.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nVaya, los has devorado.\nDebías de tener mucha hambre.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\n¡Sí, lo necesitaba! ¡Muchas gracias!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nYa puedo desafiar a la princesa Timerra\na un combate singular.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\n¡¿Perdona?!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\n¿Vas a desafiar a mi princesa?\n¡No, de eso nada!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\n¿Por qué no? Luchar contra rivales\nfuertes es muy divertido.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nNo se me da mal del todo luchar, seguro\nque para la princesa será todo un desafío.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06メリン\nComo su vasalla, no permitiré\nque le toques ni un pelo.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\nTe preocupas demasiado.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06メリン\nPensar que he ayudado a alguien\nque quiere atacar a mi señora... Menudo error.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nSi insistes en batirte con ella,\nprimero tendrás que vencerme a mí.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06カゲツ\n¡Será un placer!\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06カゲツ\nEso diría, si no fuera porque no me parece\nbien devolverte el favor de esa forma.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06カゲツ\nMuy bien, Merrin. Voy a dejarlo por esta vez.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06メリン\nEh...\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06カゲツ\n¡Lo digo en serio, no miento!\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x08\x06カゲツ\nParece que mi duelo con la princesa Timerra\ntendrá que esperar.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06カゲツ\nMerrin, ¿tengo ya tu permiso para retar\na un duelo a la princesa Timerra?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nPor favor, déjalo. Nunca lo tendrás.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\n¿En serio? Eso me enoja.\x0E\x04\x00\x00
