MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n¡Espera, príncipe Alfred!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nBuenas, princesa Timerra. ¿Necesitas algo?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nNo exactamente. Simplemente había intuido\nque ibas a por un tentempié.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nQué va. Justo ahora pensaba entrenar.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\n¡¿Cómo?! ¿Y por qué traías, entonces,\nesa sonrisita burlona?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Porque la hora de entrenar es el mejor\nmomento de la jornada!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\nAh, tiene sentido. Lo habré malinterpretado.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nEn fin, qué lástima. Iba a preguntarte\nsi podía acompañarte a comer.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nLamento defraudarte.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nEn todo caso, lo de entrenar suena entretenido.\n¡Igual me apunto!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Quieres hacer ejercicio conmigo?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\n¡Claro que sí! Ya que insistes...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nY luego podemos almorzar juntos.\n¡Tú invitas!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Acabáramos! Ya veo por dónde vas.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Trato hecho! No iba a desperdiciar la ocasión\nde conversar con la futura reina de Solm.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nPero nada de hablar de trabajo, ¿de acuerdo?\nNo me agües el almuerzo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nOído cocina. Prometo que será una comida\ndistendida. Todo liviano, ¡salvo la nata!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nPrincesa Timerra, he oído que montas en lobo.\n¿Es eso cierto?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\nPues sí.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nDe pequeña me paseaba por el palacio de Solm\na lomos de una loba. ¡Lo poníamos patas arriba!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Impresionante! En mi familia no hay nadie\ntan asilvestrado, que yo sepa.\x0E\x04\x00\x00
