MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nPercibo cierto resentimiento hacia el Dragón\nDivino por tu parte, Nel...\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nSi es la impresión que transmito, reflexionaré\ny procuraré cambiar. Gracias por advertírmelo.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x06\x04エル\nTe rodea un aura misteriosa, Byleth. Seguro que\neso te lleva a ser malinterpretado en ocasiones.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06ベレト\nCon frecuencia. Pero, cuando algo así sucede,\nla solución consiste en hablar y ser honesto.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x06\x04エル\nIntento refrenarme, pero a veces me resulta\ndifícil no tratar con aspereza al Dragón Divino.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ベレト\nMe consta, por experiencia propia, que no\nsiempre resulta fácil expresar lo que uno siente.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06ベレト\nEn mi caso, hablar a menudo con los alumnos\nme sirvió para desenvolverme con más soltura.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nEn tal caso, tendré que esforzarme en socializar\nalgo más. Gracias por el consejo, Byleth.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nラファール\n¿Qué sabes de este mundo? Me recuerda\nal mío, pero su cultura es muy distinta.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06ベレト\nReconozco que no lo conozco demasiado bien,\npero compartiré contigo todo lo que sé de él.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nラファール\n¿Sabes? No hay nada más dulce en este mundo\nque cierta golosina de Solm cubierta de miel.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06ベレト\n¡Interesante! Lamento no poder disfrutar de\nsu sabor junto a ti, pero me encantaría verla.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nNo sé qué estás comiendo, pero tiene\nun aspecto delicioso.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nSon chucherías que me dio un aliado. Decía que\neran demasiado dulces, pero no me lo parecen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06ベレト\n¡Me alegro! Cada vez que te veo comer\ngolosinas, pienso en un viejo amigo...\x0E\x04\x00\x00
