MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nQué aroma tan delicioso.\nHuele tan fresco... tan verde...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パンドロ\nSí, ¡me encanta el olor de la hierba\nrecién cortada!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nCon esto, ya no quedan más malas hierbas\nen el Somniel.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nLo que significa que hemos cumplido\nnuestras obligaciones como centinelas por hoy.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\n¿Quitar la mala hierba cuenta como tarea\nde los Centinelas?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パンドロ\nClaro, ¿por qué no? ¡Si lo hacemos, lo es!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nAunque no vengan los bandidos por estos lares,\nel Somniel necesita protección.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nCierto. Debemos protegerlo de la terrible\namenaza de los... hierbajos.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パンドロ\nBunet, mi viejo amigo, no olvides que cuento\ncontigo para hacer la comida de la fiesta.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nYo me encargo. Como siempre,\nprepararé un banquete impecable.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nAsí me gusta. Eres el mejor, ¿sabes?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nLo hago con gusto. Cualquier ocasión es buena\npara perfeccionar mis dotes culinarias.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パンドロ\nPor cierto, he oído que va a asistir\nuna conocida crítica gastronómica.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ボネ\n¡¿De veras?!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\n¡Sí! Será la ocasión perfecta de mostrar\ntu habilidad con los fogones.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nInteresante... En ese caso, prepararé\nun plato especial e innovador.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ボネ\nAlgo que la deje asombrada.\nPermanece atento a cómo reacciona.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08パンドロ\n¿Por qué no vienes y lo ves por ti mismo?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ボネ\nNo me gustan las fiestas. Demasiado ruido...\nComo un plato con muchos sabores intensos.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08パンドロ\nQué lástima. Supongo que es el precio\nque hay que pagar por tus sentidos tan agudos.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x06\x04ボネ\nSolo te pido que después me cuentes\nqué tal ha ido.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08パンドロ\n¡Dalo por hecho, colega! ¡No puedo esperar\na hincarle el diente a tu comida!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nPandreo... ¿Qué tal fue la fiesta?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ボネ\n¿Le gustó mi comida a la crítica?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nOh, pues sí. Quedó muy impresionada, pero...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\n¿Pero?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パンドロ\nSi te digo la verdad, no convenció a nadie más.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\n¿Cómo? Si la probé yo mismo.\nEl sabor era sublime.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パンドロ\nNo me malinterpretes. Estaba muy rica.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\nEs que era demasiado... refinada. La comida\nde una fiesta tiene que ser algo más simple.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\n¡¿Qué?! ¡¿Por qué?!\x0E\x04\x00\x00
