MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\n¡Jia! ¡Ah!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nAh...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nシトリニカ\nUn poco mejor que ayer...\nPero todavía me queda mucho.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x02\x08\x06ラピス\n¿Citrinne? ¿Qué haces despierta tan tarde?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\n¡Aaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\nOh, Lapis. Me has asustado.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nSi insistes en saberlo, estaba...\nensayando unos pasos de baile.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nMmm... Se te da muy mal mentir.\nEstabas usando magia. ¿Entrenas en secreto?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nMe has pillado.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ラピス\nEntrenar hasta tan tarde no es bueno\npara la salud. Deberías irte a la cama ya...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nGracias por preocuparte, Lapis,\npero... no puedo descansar.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\n¿Que no puedes?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nSi fuese tan fuerte como tú, no tendría\nque entrenar hasta las tantas.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nPero no es el caso; he de fortalecerme sí o sí.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nOh, Citrinne...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nシトリニカ\nNo te quedes levantada por mí. Te prometo\nque me iré a la cama cuando acabe por hoy.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ラピス\nDe acuerdo, pero no te pases, ¿vale?\nBuenas noches.\x0E\x04\x00\x00
