MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リンデン\n¡Ah, Mauvier! ¿Tienes un momento?\nNecesito ayuda con un experimento.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nLindon, claro, lo que haga falta.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nQuiero que lances al aire\nesta mazorca de maíz.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\n¿Qué clase de experimento es ese?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nVoy a lanzarle un Elthunder\ny hacer que explote.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nSegún mis cálculos, eso hará que los granos\nrevienten, creando así un rico tentempié.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nEso parece... peligroso.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リンデン\nYa sabes lo que dicen:\n"Quién no arriesga, no gana... ni merienda."\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nEl único peligro es que acabes explotando\ntú en vez del maíz...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06モーヴ\nEn tal caso, voy a negarme.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リンデン\n¿Qué? ¡No, venga! ¿Acaso no aprendiste\nque debes ayudar a tus mayores?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\n¿No aprendiste que no se debe lanzar Elthunder\nfuera de las batallas donde hay personas?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nArgumentas como un anciano.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nEstaré encantado de ayudarte\ncon otros experimentos.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nPero, no arriesgaré mi vida\npor un puñado de maíz. Lo siento, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nEstá bien, supongo que la hora\nde la merienda queda pospuesta.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nLindon, se te ha caído algo.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nAy, qué torpe soy. Gracias, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nEs el retrato de una mujer joven.\nEs muy hermosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nSí, totalmente de acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nEs el retrato de mi difunta esposa.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nAh, era tu esposa.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リンデン\nNo solo era hermosa, también era amable,\ncariñosa... y la mejor amiga que tuve.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nYa hace tiempo que falleció y, aun así,\nmi amor por ella sigue creciendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nOjalá pudiera volver a ver su sonrisa\ny probar su comida una vez más...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nMe duele verte tan triste.\nSi hay algo que yo pueda hacer...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\n¿De veras? ¡Qué amable por tu parte!\nGracias, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nAhora, toma esta mazorca y lánzala bien alto.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\n¿¡Cómo!?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\n¿Otra vez con esas?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nMi difunta esposa adoraba el maíz...\nElla querría que disfrutáramos de la merienda.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\n¡Venga, lánzala cuando estés listo!\nYo estaré atento para disparar.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リンデン\nSé lo que piensas y no debes preocuparte.\nPosiblemente... No, ¡casi seguro que no fallaré!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nNo. Adiós, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x02\x0A\x08リンデン\n¿Mauvier? Mauvier, ¡espera!\n¡Que te llevas mi maíz!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x02\x0A\x08リンデン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\n¿Lindon? ¿Va todo bien?\n¿Ese es el retrato de tu esposa?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nMe has pillado en un momento embarazoso.\nQué vergüenza...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nA mi edad ya debería saber que no hay\nque aferrarse al pasado. Es impropio de mí...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06モーヴ\nNo tienes que avergonzarte por sentir\nun amor tan profundo hacia tu esposa.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nSí, tienes razón.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\nCriamos a tres hijos, ¿sabes?\nAhora ya son mayores y viven sus vidas.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リンデン\nTienen sus casas, sus propias familias...\nCada vez resulta más difícil reunirnos a todos.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nCuanto más nos alejamos,\nmás vívidos son los recuerdos.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nMe hallo a mí mismo pensando cada vez\nmás en el pasado y menos en el futuro.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リンデン\nNo sé cómo cambiar eso,\no si debería hacerlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nTener recuerdos felices es la prueba\nde que has tenido una buena vida.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\nLa mía, en cambio, está más llena\nde remordimiento que de felicidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nPero ahora eres libre de iniciar una nueva vida.\nUna más gratificante que la mía, incluso.\x0E\x04\x00\x00
