MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x02\x0A\x08アンバー\nBuah, tengo que inspeccionar ese sitio,\npero es demasiado peligroso para ir solo...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nPerdón, pero no he podido evitar escucharte.\n¿Planeas algún viaje?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nAh, Panette, al loro: he oído rumores de que\nen un bosque cercano hay una vieja mansión...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\n¿De veras? Jamás había oído hablar\nde un sitio así.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\n¡Ni yo! ¡Me acabo de enterar! Pero cuenta\nla leyenda que allí vivía un famoso caballero...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nDicen que era un audaz guerrero que luchaba\ncomo si fuera inmortal... hasta que murió.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nDesde entonces, la gente asegura\nque su espíritu vaga por la mansión...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\n¡Qué insólito!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\n¡El pobre no sabe que la ha diñado! Y deambula\nde acá para allá como una sombra de sí mismo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\n¿Entonces no es... un fantasma?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アンバー\nOh. Bueno... Si nos vamos a poner puntillosos,\nsupongo que es el término correcto...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nAy, me encantan los fantasmas.\n¡Tengo que ver el lugar con mis propios ojos!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\n¿En serio? ¡Pues genial! ¡Iremos los dos juntos!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nSerá muchísimo más fácil que inspeccionar\nel lugar a solas, desde luego.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nHasta mi señor Diamant se negó a ir conmigo.\n¡Y eso que él no le teme a nada!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パネトネ\nEn tal caso, ¡te ruego que me permitas ir a mí!\nNada me haría más feliz, te lo aseguro.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\n¡Está decidido! Pero luego no me eches\nlas culpas si te llevas un buen susto, ¿eh?\x0E\x04\x00\x00
