MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\x0E\x03\x02\x08\x06セピア\n¿Cómo planeas demostrar tu arrojo en este\ncampo de batalla alejado de cuanto conoces?\x0E\x04\x02\x00
MID_OP1_#002	¿Quién verá llegar su hora\nen este cruel jardín de sangre y acero?\x0E\x04\x02\x00
MID_OP1_#003	Que el fuego consuma los cuatro reinos\ny siete llamas reposen en la cuna.\x0E\x04\x02\x00
MID_OP1_#004	Hay alguien que sabe la verdad:\x0E\x04\x02\x00
MID_OP1_#005	en este mundo no existe el futuro.\nMi corazón solitario no late aquí.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_イル\x022\n\x0E\x03\x00\x14\x0EE002_エル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nHemos llegado, Divinidad.\n¡\x0E\x0A\x00,\x14Bienvenido\x14Bienvenida al Reino de Firene!\x0E\x04\x02\x00
MID_OP2_#002	Alguien tenía que decirlo, aunque no sé si me\ncorrespondía a mí, al ser un mero visitante...\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nQué extraño... Al igual que el castillo de Lythos,\neste lugar me resulta engañosamente familiar.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x10\x0EE002_エル\nSi no hay más comentarios acerca de las vistas,\nsugiero que nos centremos en nuestra tarea.\x0E\x04\x02\x00
MID_OP2_#005	Debemos acceder al castillo de Firene y obtener\nde algún modo el Brazalete del General Audaz.\x0E\x04\x02\x00
MID_OP2_#006	El tiempo es oro. Es imperativo hacerse\ncon los siete brazaletes antes que el enemigo.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x10\x0EE002_イル\nEspero que la familia real esté dispuesta\na renunciar al suyo... aunque dudo que lo haga.\x0E\x04\x02\x00
MID_OP2_#008	Los fireneses son de sangre caliente.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\n¿Cómo?... La gente de Firene que yo conozco\nes pacífica y amable...\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x10\x0EE002_イル\n¿De veras? Pues aquí recurren a la violencia\ncon facilidad. Sobre todo, los de sangre azul.\x0E\x04\x02\x00
MID_OP2_#011	Eso los convirtió en aliados valiosos... a pesar\nde despreciarnos por ser Dragones Caídos.\x0E\x04\x02\x00
MID_OP2_#012	No en vano, desde la muerte del Dragón Divino,\nni se han dignado a visitarnos en Lythos.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0A\x08リュール\n¿Quién gobierna aquí? ¿La reina Ève?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x10\x0EE002_エル\nNo. Falleció al comienzo de la última guerra.\x0E\x04\x02\x00
MID_OP2_#015	El trono permaneció vacío hasta que el conflicto\nacabó, y luego el rey Alfred recogió el testigo.\x0E\x04\x02\x00
MID_OP2_#016	Como decía Nil, ha cortado lazos con nosotros;\npor eso, hemos tenido que tomar medidas.\x0E\x04\x02\x00
MID_OP2_#017	Le pedimos a una amiga de confianza\nque nos informase de lo que sucede en Firene.\x0E\x04\x02\x00
MID_OP2_#018	Se reunirá con nosotros en breve.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x06\x002\x16E002_セレスティア\x18MPID_Unknown\n\x0E\x03\x02\x18\x16E002_セレスティア\n¡Lady Nel, lord Nil! ¡Qué alegría veros!\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x10\x0EE002_エル\nHola, Zelestia. Precisamente hablábamos de ti.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x06\x004\x16E002_セレスティア\x1AMPID_Selestia\n\x0E\x03\x02\x18\x16E002_セレスティア\nEsperaba impaciente vuestra llegada.\nDebéis de estar agotados tras el largo viaje.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x10\x0EE002_エル\nNada comparado con los rigores que tu labor\nde espionaje habrá conllevado, a buen seguro.\x0E\x04\x00\x00
