MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nVos... sois Boucheron, ¿verdad? Me llamo Lapis.\nDebo encargarme de la comida a partir de hoy.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nSí, soy Boucheron. Parece que nos toca\ntrabajar juntos. Es un placer.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nブシュロン\nPongámonos manos a la obra.\nSeguro que están todos hambrientos.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nVeamos... Sí, creo que así va bien de leche.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ラピス\n¿Que va bien?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\n¡Habéis puesto demasiada!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nブシュロン\n¿Tú crees? Pues a mí me parece\nque es una cantidad moderada.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nPues deberíais graduaros la vista.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nHay leche para beber 10 días.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nPero ¿qué dices? No va a dar ni para\nacabar esta comida.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\n¿Habéis perdido el juicio? Mirad, por cada\ncucharada de leche que añadáis a la taza...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\ndebéis sumar diez de agua.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nブシュロン\n¡Un momento! ¿¡Para qué echas agua!?\n¿¡Y por qué tanta!?\x0E\x04\x00\x00
