MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08リュール\nHoy has estado increíble, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\n¿Oh? ¡¿Un elogio de vuestra Divinidad?!\n¡No doy crédito a mis oídos! ¡Estoy soñando!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nLo digo de verdad. Tu habilidad es excepcional.\nCualquiera diría que has sido mercenaria.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nEh... ¡Mercenaria! ¡Claro!\n¿Cómo lo habéis adivinado? Quiero decir...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ユナカ\nHe hecho un par de trabajillos\nen el pasado. Nada de relevancia.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nEso pensé. Con tus dotes, debes de ser\nbastante conocida entre la profesión.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\n¡¿De veras?! Esto... ¡Sí! Hay gente...\nHay gente que me conoce.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nSeguro que algunos de nuestros aliados\nestán muy al tanto de tu reputación.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nTendré que preguntar por ahí.\nAlguien conocerá alguna historia.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\n¡Aaah! ¡No! Esto... ¿Podría rogaros\nque os abstuvierais de hacer tal cosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\n¿Cómo? ¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\nPorque he mentido. Otra vez.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nNunca he sido mercenaria. Sonaba muy bien,\nasí que os he seguido la corriente... Lo siento.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nNo entiendo.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\nMe habéis puesto nerviosa al preguntarme\npor mi pasado y he vuelto a mentiros...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nLo siento, Divinidad.\nNo debería haberos llevado a engaño.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nSolo queríais dedicarme un halago,\ny lo he echado todo a perder.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nCon vuestro permiso.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nYunaka...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\n¿Qué puede hacer esta humilde embustera\npor vos, Divinidad?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nMe gustaría hablar contigo, eso es todo.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nEntiendo. Estoy dispuesta a aceptar\ncualquier penitencia que deseéis imponerme.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\n¿Penitencia? No. Solo quería expresarte\nmi gratitud por combatir a mi lado.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nEs lo que siento.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nLuchas con todo para proteger a tus aliados.\nNo hay ningún motivo para castigarte.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nAhora que lo pienso, creo que me has mentido\nsolo porque no nos conocemos muy bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nVamos a cambiar eso. Para empezar...\n¿por qué no me hablas de ti, Yunaka?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nVaya... Pues así, de sopetón...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nSi no quieres, no insistiré. Sin problema.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nDe acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nAntes de unirme a vos, iba dando tumbos\npor la vida... Estaba buscando mi lugar.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nHabía dejado atrás mi vida anterior.\nO, al menos, eso pensaba yo.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nNo pareces muy contenta con la persona\nque eras antes.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ユナカ\nEn realidad, yo no tenía problema con ella.\nPero otra gente, sí. Por eso debió desaparecer.\x0E\x04\x00\x00
