MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nPor fin, Clanne... Te he *localizado*.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\n¡Aaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クラン\n¡Qué susto! Eres Zelkov, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nAsí es. Interesante... ¿Hay algo en mí\nque te haya *asustado* particularmente?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クラン\nDiría que tu cara, principalmente...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Quieres decir que mi *rostro* es inquietante?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nEsto... ¿Querías algo?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nSí. Deseaba hacerte una pregunta\nque has de contestar *inmediatamente*.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\n¡Ah!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\n¿He hecho algo?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nTodavía no. Pero eso va a *cambiar*.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\n¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nTengo un problema que solo tú puedes\nresolver con tus habilidades *especiales*.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\n¿Qué habilidades? No tengo habilidades...\npara el crimen y tal.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Qué has dicho? Habla más alto; que tu voz\nrasgue el silencio como un *cuchillo*.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nDe lo contrario, empezaré a pensar\nque no *deseas* ayudarme...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\n¡No, no! ¡Estoy encantado de ayudar!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06クラン\nPero, por favor, deja de poner esa cara.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nExcelente, gracias. Y te ruego que este diálogo\nquede *estrictamente* entre nosotros.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x08\x06クラン\nAy, madre... ¿Qué cosa horrible querrá\nobligarme a hacer?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\n¿Y si me pide que sea su cómplice\nen un crimen? ¡No puedo! ¡Me niego!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nHa llegado el momento, Clanne...\nEnséñame el arte de preparar *encurtidos*.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n*Encurtidos*, Clanne. Quiero aprender.\nMuéstrame cómo se elaboran.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nHan llegado a mis oídos rumores de que\nse te dan bien los *encurtidos*. ¿No es así?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クラン\nSí, es cierto. Me gusta hacerlos.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\n¿Es esa la habilidad a la que te referías?...\n¿Hacer encurtidos?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\n¡Qué alivio! Pensaba que me ibas a obligar\na hacer algo... no sé... siniestro.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nTe aseguro que mi interés en los *encurtidos*\nno tiene nada de malvado.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nAhora sé tan amable de dejar de lado\nlas *chanzas*. Este es un asunto serio.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nHace poco me he *propuesto*\niniciarme en el arte de la cocina.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\n¿Sí? ¡Qué bien! Me parece genial.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nYa domino varios platos, pero se me resiste\ncierta salmuera para preparar *encurtidos*.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nNecesito *perfeccionar* mi técnica.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\n¿Y no podrías comprarlos en el mercado,\npor decir algo?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Y alcanzar la gloria gracias al trabajo ajeno?\nMe niego en redondo. Serán mis *encurtidos*.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nAh... Y por eso necesitas mi ayuda.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nDe acuerdo. Será un placer enseñarte cuanto\ndesees sobre la preparación de encurtidos.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ゼルコバ\n*Maravilloso*.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クラン\nComo voy a ser tu maestro,\nespero que te portes como es debido...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nPor supuesto. De ello depende mi *éxito*.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\n¿Zelkov? ¿Qué ocurre?\nEstás poniendo de nuevo esa cara espeluznante.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\n¿No ha salido bien la salmuera?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nAh... Se ve que no. Lo siento mucho.\nMe gustaría haberte ayudado más...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\n*Prueba* esto.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\n¿Eh? Creí que se había echado a perder...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\n*Pruébalo*.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クラン\nDe acuerdo...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nA ver...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クラン\nEspera... ¡Si está delicioso!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nEste encurtido tiene el equilibrio justo\nentre ácido y dulce. ¡Ha quedado perfecto!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n*Justamente*.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クラン\n¿Por qué pones esa cara, entonces?\nTe ha salido bien, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nSí. La *salmuera* ha quedado perfecta,\npero eso plantea un problema mayor...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nNo conozco ningún plato *digno*\nde acompañarla.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nOh... Y por eso pones esa cara que da miedo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nPensé que la salmuera sería mi *triunfo*...\nAhora veo que pequé de arrogante.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nCreo que mis encurtidos casan con todo,\naunque quizá más con la carne roja.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\n¿*Carne*, dices?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\n¡Aaah! ¡Has vuelto a poner esa cara!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nEres un verdadero *genio* culinario, Clanne.\nDe nuevo quedo en deuda contigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nSi existe algún plato de carne roja *digno*\nde esta guarnición, tú y yo lo degustaremos.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\nBien... Bien... Creo que estoy empezando\na acostumbrarme a esa cara...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クラン\n¡Te acompañaré en tu incursión en el mundo\nde la cocina y prepararemos *platos deliciosos*!\x0E\x04\x00\x00
