MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06フラン\nQuiero comprarles algo a mis padres,\npero no tengo claro qué...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06アンナ\n¡Buenas, Framme!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nAh, hola, Anna. ¿Qué tal?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06アンナ\nArg, "Anna" suena demasiado formal.\n¡Llámame lady Anna a secas!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nAh, vale, perdón. Hola, lady Anna.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06アンナ\nSí, mucho mejor.\nBueno, dime: ¿qué andas buscando?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nQuiero comprarles un regalo de aniversario\na mis padres.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\n¡Ah, tú eres mercadera!\n¿No tienes a la venta algo que pueda servirme?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06アンナ\nFramme, Framme, Framme. Eso ni se pregunta.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\n¡Deleita tus ojos con este surtido de souvenirs\na precio de saldo! No encontrarás nada mejor.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\n¡Ay, qué cachivaches tan chulos!\nEsta figurita quedaría de lujo en su casa.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nPor ser mi amiga, te dejaré gratis\nla inscripción de sus nombres en la base.\x0E\x04\x00\x00
