MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nNo me creas débil solo por ser noble.\nSoy más fuerte de lo que parezco.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nJamás se me ha pasado por la mente tal idea.\nNo sé qué haría sin ti, Lyn.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nEste mundo es bonito, pero echo de menos\nlas verdes llanuras de mi hogar.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nSeguro que son muy hermosas.\nMe encantaría poder verlas algún día.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nPareces cansad\x0E\x0A\x00\x08\x02o\x02a. Si hay algo que te preocupa,\npuedes contármelo. Sé escuchar.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nAún me asaltan a veces las dudas\nen batalla porque me falta experiencia.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nCuando acaba todo, siempre pienso que podría\nhaber hecho las cosas de otro modo.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x06\x04リン\nQue no te dé miedo cometer errores.\nMe tienes a mí y a tus amigos para subsanarlos.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nMe alegra verte tan llena de energía, aunque\nme preocupa que te resfríes con esa ropa.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04リン\nEstoy bien, Vander. Siempre he... Ahora que\nlo dices, ¿los Emblemas podemos resfriarnos?\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\n¿No te cansas de estar siempre tan serio?\nDeberías relajarte y sonreír de vez en cuando.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nDe acuerdo, si insistes... Sonreiré.\n¿Qué tal? ¿Es mejor de lo que esperabas?\x0E\x04\x00\x00
