MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nSiempre logras animarme, Micaiah.\nCreo que se debe a tu sonrisa.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nSonrío más cuando estoy contigo.\nHay algo en ti que me reconforta.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nPor curiosidad, ¿hay dragones en tu mundo?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nSí. Hay wyverns y humanos que se transforman\nen dragones, aunque no son divinos como tú.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nA veces temo que mi poder no sea suficiente.\n¿Te importaría leerme el futuro?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nVeo un porvenir brillante, que forjarás\njunto a los amigos que te acompañan.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nAunque no hace falta ser vidente para saberlo...\nTe sobra fuerza para cambiar tu destino.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nGracias; supongo que no debería dudar tanto\nde mí mism\x0E\x0A\x00\x08\x02o\x02a. Con tu ayuda, sé que lo lograré.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n¿Qué hago? El Dragón Divino siempre antepone\nel bienestar de los demás al suyo propio.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nNo sé... Esa es precisamente\nuna de sus mejores cualidades.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n¿Te gustan las manzanas, Micaiah?\nEs uno de mis bocados favoritos.\x0E\x04\x00\x00
