MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06カゲツ\nAh, qué hambre...\nEs el momento ideal para comer onigiri.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nKagetsu.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06カゲツ\n¡Oh, Bunet! ¿¡De dónde has salido!?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nEsos triangulitos...\nOnigiri, creo que los has llamado.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nNunca los había visto.\n¿Podrías decirme de qué están hechos?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\nPruébalo tú mismo. Toma este.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\n¿Seguro? Bien, veamos.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nMmm... Qué delicia.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ボネ\nBolitas de arroz saladas y envueltas en algas.\nY llevan pescado a la brasa, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\n¡Correcto! ¡Salmón curado!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nComprendo. Un alimento aparentemente simple,\npero que encierra capas y capas de sabor.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nTe ruego que me enseñes a prepararlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nSería un placer, pero me lo impiden\nmis obligaciones para con la princesa Ivy.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nSi aparco mis tareas para enseñarte\na preparar onigiri, me lo reprochará.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nAh, qué lástima. Aunque te comprendo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nEn tal caso, no me queda más opción\nque aprender por mis propios medios.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\n¡Qué admirable tesón! Cuando lo consigas,\nme gustaría ser el primero en probar tu receta.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nPor supuesto. Tu criterio será fundamental\npara dilucidar si he hecho justicia a tal manjar.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\n¡Kagetsu! El día ha llegado.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\n¿El día de qué?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\n¿Ya lo has olvidado?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nDesde que hablamos, me he sumergido de lleno\nen el noble arte de preparar onigiri.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ボネ\nHe probado distintos ingredientes y arroces.\nNo he pensado en otra cosa durante días.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nY, tras arduas jornadas culinarias,\nel resultado es este.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nOooh... Tiene una pinta magnífica.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\nAunque lo importante no es la presentación,\nsino lo que lleva. ¿Qué ingredientes has usado?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nDátiles, recién recogidos de la palmera.\nUno de los productos típicos de Solm.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\n¿Dátiles? Qué curioso...\nNunca se me habría ocurrido.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ボネ\nPruébalo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\n¡Faltaría más!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06カゲツ\nMmm. Mmm. Mmmmmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nEl dulzor sorprende... pero ¡queda perfecto!\nVa de maravilla con el arroz.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\n¿Verdad? Hice todo tipo de pruebas\nantes de intentarlo con los dátiles.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\n¡Es una auténtica delicia! Sin embargo...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nSu sabor lo asemeja más al ohagi.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ボネ\n¿¡Al qué!?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\n¿Quieres decir que esta receta ya existía?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\n¡En efecto! El ohagi se prepara con arroz dulce\nrebozado en pasta de habichuelas.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ボネ\nVaya...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nEs decir... que no he cocinado onigiri.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06カゲツ\n¡No lo mires así! La forma es muy parecida\na la del onigiri.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x06\x04ボネ\nPero sabe a ohagi.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x06\x04ボネ\nGracias por tus ánimos, pero no me conformo\ncon alcanzar el objetivo a medias.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x06\x04ボネ\nAdolezco de serias lagunas culinarias...\n¿Quién sabe cuántos platos más ignoro?\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x06\x04ボネ\nDisculpa, pero tengo mucho que estudiar.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06カゲツ\nEl onigiri te ha quedado riquísimo,\npero está claro que eso no te basta...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06カゲツ\nBunet, siento curiosidad: ¿qué te atrae tanto\nde aprender a preparar nuevos platos?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nQuiero convertirme en un poeta culinario.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nAspiro a expresar mi creatividad a través\nde un sinfín de sabores diferentes.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nPensaba que empezaba a dominar la métrica\nde la cocina, pero, por desgracia...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nni siquiera conocía la existencia del ohagi.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\n(...)\x0E\x04\x00\x00
