MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\n¡Hola, princesa Timerra!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nミスティラ\n¡Hola, lady Anna! ¿Qué tal?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06アンナ\nAtención, pregunta: ¿Qué es lo que más falta\nle hace al Reginato de Solm?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\n¿Es una adivinanza? ¡Me encantan!\nDeja que me lo piense...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\n¡No es una adivinanza ni ningún juego!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\n¿Ah, no? ¿Pues por qué preguntas?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\nSaber qué necesita Solm me ayudará a entender\nqué productos puedo vender allí, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nPensé que si alguien lo sabría todo\nsobre el reginato, serías tú.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nAsí que quieres que te aconseje\nqué productos vender. Tiene sentido.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nYa que no puedo estar con mi familia,\ndebo aprender a ganarme la vida.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\n¡Comerciar es mi única esperanza!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nEn Solm ya hay muchos mercaderes.\nTe costará abrir un nuevo negocio.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06アンナ\n¿Así que ya hay canales de distribución\nestablecidos para los productos más comunes?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nEn ese caso, ofreceré productos especializados.\nSeguro que así podré competir.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\n¡Es una buena idea, lady Anna!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nSi puedo contribuir a que la gente de Solm\ntenga acceso a nuevos productos, avísame.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06アンナ\nGracias, princesa Timerra. ¡No hay tiempo\nque perder! Empezaré a estudiar el mercado.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\n¡Hola, princesa Timerra! ¿Sabes qué?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\n¡Mi nuevo producto está listo\npara salir al mercado! Ya verás cuando lo veas.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\n¡Oh! Tenía muchas ganas de que llegara\neste momento. ¡Muéstramelo!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\nPrimero, me pregunté: ¿qué problemas\ntiene la gente de Solm a diario?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nEl calor abrasador, escasez de agua, insectos...\nNi te imaginas qué bichos hay por aquí.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nCasi, pero no.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\n¿Cuántas veces se te ha caído algo\nen la arena y lo has perdido para siempre?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nAh, pues... Unas cuantas, supongo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\n¡Entonces necesitas esto!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nAh, un rastrillo...\n¿Esto no se usa para apilar hojas?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06アンナ\n¡Este rastrillo no! Este sirve para encontrar\ncosas perdidas en la arena.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nNo te sigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nImagina que se te cae algo y la arena se lo traga.\n¡Este rastrillo de arena es la solución!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\n¿Qué? ¿Es útil o no?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nPues... No mucho.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nYa, me he dado cuenta mientras\nlo estaba diciendo.\x0E\x04\x00\x00
