MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nGracias por darme esperanzas de nuevo.\nDe no ser por ti, ya me habría rendido.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06ルキナ\nSolo te di un pequeño empujón.\nTe corresponde a ti crear tu propio futuro.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nA veces me preocupa que no seamos\ncapaces de ganar esta guerra.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ルキナ\nPor muy negras que se vean las cosas,\ntodo saldrá bien si no pierdes la esperanza.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nHace tiempo, tuve que huir de mi hogar.\nLo hice para sobrevivir y evitar la derrota total.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nYa veo. A veces es necesario retirarse...\n¿Ganasteis al final?\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ルキナ\nSí, cambié el futuro, y tú también puedes.\nNunca te rindas, lucha hasta el último aliento.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nLo haré. Mantendré una actitud positiva\npor muy mal que vayan las cosas.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nDicen que se te da muy bien hacer punto.\nA mí se me dan fatal los trabajos delicados.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nMuchos se sorprenden de que alguien\ntan corpulento haga cosas tan... delicadas.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nPuedes tejer jerséis, ¿no?\nPor ejemplo, con un gran dibujo de tu cara.\x0E\x04\x00\x00
