MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nLa guerra está lejos de acabar. Si te ves\nabrumad\x0E\x0A\x00\x08\x02o\x02a en algún momento, cuenta conmigo.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nGracias. Me considero afortunad\x0E\x0A\x00\x08\x02o\x02a de tener\ntantos amigos velando por mí.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0A\x08リュール\n¡Oh, profesor! Perdón, ya sé que no soy alumn\x0E\x0A\x00\x08\x02o\x02a\ntuy\x0E\x0A\x00\x08\x02o\x02a. Tenía curiosidad por saber qué se sentía.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ベレト\nNo importa. A fin de cuentas, me llamaba así\nprácticamente todo el mundo.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0A\x08リュール\nAntes de hacerte profesor, eras... ¿mercenario?\n¿A qué se dedican los mercenarios?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06ベレト\nLuchar por dinero. Combatí al servicio\nde naciones a las que no pertenecía.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ベレト\nQuienes eran tus aliados en una batalla\nbien podían ser tus enemigos en la siguiente.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nAunque, si se dan las circunstancias, siempre\npuede pasar. Gracias por la lección, profesor.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nSiempre te veo atareado, Vander.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nHay mucho que hacer; me quedo más tranquilo\nsi despacho todas las tareas a la vez.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nVander, ¿necesitas ayuda?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNo, déjale las tareas a este anciano.\nTú ocúpate de instruir a los jóvenes, profesor.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nTrabajas demasiado, Vander.\n¿No podrías delegar alguna de tus labores?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nMe ocupo de mis quehaceres diarios desde\nla infancia. Jamás me ha supuesto un problema.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nEn cualquier caso, te agradezco el interés.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06ベレト\nEntiendo, pero no fuerces más de lo necesario.\nTe necesitamos en combate, no convaleciente.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\n¿Se te ofrece algo, Clanne?\nLlevas un buen rato con la vista clavada en mí.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nNo. Solo te estaba admirando, profesor.\n¡Espera! ¡¿Cómo me has descubierto?!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nClanne, ¿por qué no me cuentas algo\nde tu vida? Apenas sé nada sobre ti.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nSé más sobre el Dragón Divino, pero vale.\n¿Qué quieres saber?\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06クラン\nComo nunca sonríes ni nada, cuesta saber\ncómo te sientes, pero luego eres muy majo.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06ベレト\n¿En qué te basas para afirmarlo?\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nEn que estás pendiente de mí, me saludas\ny me tratas de igual a igual. Me pone contento.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06ベレト\nMe alegro y espero que podamos\nseguir trabajando juntos.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06フラン\n¡Profesor! ¡Qué alegría tenerte entre nosotros!\n¡Me muero por estrecharte la mano!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06ベレト\nLo haría con gusto, pero, dada mi condición,\nnos conformaremos con un saludo a distancia.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06フラン\nJo, profe, otra vez he vuelto a las andadas.\nJuro que pretendía ayudar, pero la he liado.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06ベレト\nTranquila. Si los errores te sirven para aprender,\nno son tan terribles.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06フラン\nQué amable, profesor. Seguro que tus alumnos\nestaban encantados contigo.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06ベレト\nMe gustaba ser profesor, aunque he de admitir\nque yo también aprendí mucho de ellos.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06ベレト\nY también de ti, Framme. Me has enseñado\nmuchas cosas, y te lo agradezco.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nCalla, que me sonrojo.\nSoy yo quien debería darte las gracias a ti.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nTanto entrenamiento para luchar por mi país,\ny ahora no me gusta verme obligado a hacerlo.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06ベレト\nPues démonos brío y pongamos fin a la guerra\npara guardar las armas de una vez por todas.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Uf! Si te parece, podemos ir dejando\nel ejercicio por hoy.\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06ベレト\nParece que nunca te cansas de entrenar.\n¿Acaso tu energía no conoce límites?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nAlfred, parece que quieres decirme algo.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nMe preguntaba si a ti también te costaba\ndesarrollar la masa muscular. Igual es genético.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x08\x06ベレト\nEn realidad, mi padre era un hombre fornido.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡¿Qué?! Pues a lo mejor te pones cuadrado\ntú también. ¡Qué envidia! Avísame si llega el día.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nHola, Boucheron. Alfred te está buscando.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nAh, gracias. Aunque... ¿podrías indicarme\npor dónde debería ir exactamente?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nPor esa forma de sudar, deduzco que vienes\nde entrenar. Siempre lo das todo.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nOjalá fuera eso. Me perdí y he pasado la noche\nde acá para allá buscando mi habitación.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nVeo que también pescas...\nYo llevo una eternidad sin hacerlo.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\n¿A ti también te gusta la pesca? ¡Perfecto!\nLa próxima vez te puedes venir al lago conmigo.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nA menos que te aburra quedarte mirando, claro.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x08\x06ベレト\nEn absoluto. Será un placer.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nエーティエ\nPerdona, ¿podemos hablar después?\nAhora estoy con mis ejercicios de musculación.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x08\x06ベレト\nPero ¿no habías entrenado ya esta mañana?\nEsa constancia me recuerda a mis alumnos.\x0E\x04\x00\x00
