MID_WU_C_1_IN_#001	Ah, qué nervios...\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	¡Oh! ¡Estáis despiert\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	¡Estoy entrando en terreno sagrado!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Así que este es el altar sagrado, ¿eh?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Hala. Aquí todo parece tan caro...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	¡Cuánto lujo! Creo que me va a dar algo...\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	¡Buenos días! Uf.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Me... me marcho de aquí...\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Dormir es lo mejor...\nMientras duermes no pasas hambre.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	¿Buenos días?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	¡Hoy debía despertaros!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	Pues vaya... Me marcharé.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	¿No hay almohadas?\nNo parece muy cómodo...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Creo que me acostumbraría, pero...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Debería fabricar algo blandito.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	¡Ah! ¡Perdón!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Vine a despertaros, pero me he puesto\na musitar sobre almohadas...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	¡Buenos días, supongo!\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	¡Oh, no! ¡He llegado pronto!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Siento haber venido tan pronto...\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Podéis volver a dormiros, ¿vale?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Haré algo mientras espero...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Uno estos dos trozos de madera...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Le pongo una piedra con el martillo,\nañado un toque de pintura...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	¡Buenos días!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Os he fabricado un reloj despertador, Divinidad.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Si elegís una hora, explotará en...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	¿Eh? ¿No lo queréis?\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	Ojalá no fuera tan incómodo\ntransportar líquidos.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	¡Buenos días!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	¿Os apetece un poco de leche diluida en agua?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Estuvo bien entrenar junt\x0E\x0A\x00\x08\x02o\x02as.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Además, os gustó la alforja...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	¿Qué debería haceros ahora?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	¡Buenos días!\n¿Os apetece un poco de leche diluida en agua?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	¡Así la leche dura más\ny sigue estando bastante rica!\x0E\x04\x00\x00
