MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHola, Rosado. Si tienes un momento,\nme gustaría preguntarte una cosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nYa sé, quieres saber mi secreto, ¿no?\nCómo lo hago para ser tan adorable.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nLo siento, pero no tengo una respuesta.\nSiempre he sido así, será cosa del destino.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nNo, no era eso.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nHe oído que puedes trabajar toda la noche\ny seguir tan fresco al día siguiente.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nCierto. Aunque me pase la noche en vela,\npor la mañana estoy fresco como una rosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nQué envidia... Yo también querría hacer eso.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ジェーデ\nSi pudiera trabajar por la noche,\nescribiría muchas más novelas.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\n¿Podrías darme algún consejo?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nLa verdad es que nunca\nhe pensado en ello.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nPero, creo que es gracias a ser adorable.\n¡Tú también podrías serlo!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ジェーデ\n¿Dices que ser adorable te da energía?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ジェーデ\nAunque es un poco raro...\nvale la pena probarlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nNunca he intentado ser adorable, me vendría\nbien algún consejo de un profesional.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nJade, estás hablando con la persona adecuada.\n¡Saquemos a relucir tu belleza interior!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\n¿Lista, Jade? Hoy sacaremos\na relucir tu mejor versión.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nNo es que me esté reprimiendo ni nada\nde eso, pero no sé qué hacer.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nActúa de forma natural: haz una pose,\ndi una frase, ¡todo vale! Sé tú misma.\x0E\x04\x00\x00
