MID_WU_C_1_IN_#001	Es de día, Divinidad.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Despertáis tan fácilmente.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Os envidio.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	Para mí, dormir...\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	y levantarme es tedioso.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Sé que no soy la persona ideal para despertaros.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	No soy precisamente alegre.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Pero, cuanto antes os levantéis,\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	antes terminamos.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Hoy hace buen tiempo.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Tomad un poco el sol.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	No querréis estar tan pálid\x0E\x0A\x00\x08\x02o\x02a como yo, ¿no?\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Desearía poder visitaros cada mañana.\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	Pero no sería apropiado.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Habéis despertado.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Entonces me marcho.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	Espero que mañana os visite alguien más alegre.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	Adiós.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Jamás imaginé que vendría aquí.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	A despertar al Dragón Divino...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	No tengo experiencia con este tipo de cosas.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	Estoy tremendamente nerviosa.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	No me siento muy cómoda aquí.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Pero la oportunidad de saludaros a primera\nhora de la mañana...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	No podía dejarla pasar.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Llevo tanto tiempo deseando esto.\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	Venir al Somniel...\x0E\x04\x00\x00
MID_WU_B_1_IN_#003	a rezar ante el altar más sagrado.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	 \x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Siento haberos despertado.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	Solo he venido aquí a rezar.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	Pero ya he terminado.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#005	Permitidme desearle una agradable mañana\na mi divinidad.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Padre me habló...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	sobre la reina Lumera.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Me dijo que invitó a la familia real de Elusia,\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	pero ellos nunca aceptaron.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#005	Hasta ahora, supongo...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	He venido a rezar, si no es molestia.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Me gustaría decirle algo a la reina Lumera.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	Que acepto la invitación,\naunque sea un poco tarde.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	Espero que se me permita estar\nen este lugar sagrado...\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Gracias por permitirme estar aquí\nen vuestra presencia.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Vuestra amabilidad sigue asombrándome.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Puede que a Elusia no le guste...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Pero venero al Dragón Divino.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Como princesa heredera,\nme he visto obligada a ocultarlo.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	Al menos hasta ahora.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Me pregunto...\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	¿Cómo fue para vos levantaros...\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	tras mil años?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	Ojalá hubiera estado aquí para presenciarlo.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	En este lugar...\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	Me siento aceptada. Perdonada.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Parecéis tan pur\x0E\x0A\x00\x08\x02o\x02a mientras dormís.\nTan confiad\x0E\x0A\x00\x08\x02o\x02a...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	Si eso significa que confiáis en mí...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	Me hace feliz.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Muchas cosas en el mundo son tediosas...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	pero nunca me canso de estar aquí.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Cuando estoy cerca de vos...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	siento que puedo relajarme y ser yo misma.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Oh, habéis despertado.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	¿Por qué creéis que me ha ocurrido\nalgo gracioso?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	¿Porque estoy sonriendo, decís?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	Ahora que lo mencionáis, parece que sí.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Es un alivio veros, Divinidad.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Siento despertaros.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	He tenido una pesadilla.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Supongo que he venido buscando consuelo.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	He sido infantil, lo sé.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	He soñado con...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	una Elusia en ruinas.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Cuando desperté, lo primero en lo que pensé\nfue en venir aquí inmediatamente.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	Sabía que, al veros, no habría nada que temer.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	¿Habéis oído todo eso?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Mi debilidad debe de horrorizaros.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Y aun así me miráis con tal afecto...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	Siempre me salváis.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	He venido a veros, Divinidad.\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	Este apelativo parece estar más lleno\nde significado ahora mismo.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Ah, estáis despiert\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Siento haber venido tan temprano.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	No podía esperar ni un instante más para veros.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	El tiempo que pasamos junt\x0E\x0A\x00\x08\x02o\x02as\nlo es todo para mí.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Tengo algo que confesar.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Me siento un poco celosa...\x0E\x04\x00\x00
