MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nEn las tinieblas de la soledad, ¿no desearías\nque la luz obedeciera tus designios?\x0E\x04\x02\x00
MID_OP1_#002	¿Responderías a la llamada de un extraño\nque se oculta tras una puerta cerrada?\x0E\x04\x02\x00
MID_OP1_#003	Su voz es vil. Sus palabras ominosas mencionan\nun metal otrora fulgente, hoy oscuro cual noche.\x0E\x04\x02\x00
MID_OP1_#004	Pero ¿acaso importa?\nHay quien conoce la verdad:\x0E\x04\x02\x00
MID_OP1_#005	en este mundo no hay lugar para la compasión.\nMi dolor no tiene cabida aquí.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE003_イル\x022\n\x0E\x03\x00\x14\x0EE003_エル\x023\n\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x10\x0EE003_イル\nHemos caminado un largo trecho.\n¿Os encontráis todos bien?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x18\x16E003_セレスティア\nPor supuesto. Aunque el trayecto resultaría\nmás cómodo a lomos de mi wyvern.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nSi nos dirigimos a Brodia, ¿por qué no hemos\nseguido el camino que lleva directamente allí?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x10\x0EE003_エル\nBrodia es una nación que odia la guerra.\nNo nos habrían permitido cruzar la frontera.\x0E\x04\x02\x00
MID_OP2_#005	Sus medidas de seguridad son más severas\nque en otros países. Debemos ser sigilosos.\x0E\x04\x02\x00
MID_OP2_#006	Por no mencionar que no nos "dirigimos"\na Brodia. Ya hemos llegado.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x10\x0EE003_エル\nHace tiempo que nos adentramos\nen su territorio.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\n¿Y no se te ha ocurrido mencionarlo\nhasta ahora?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x10\x0EE003_エル\nDesconocía que te pareciese tan importante.\nSi planeabas un desfile, podemos postergarlo.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nSolo digo que, como aliados, no deberíamos\nocultarnos información.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x18\x16E003_セレスティア\nCallaos de una vez. Alguien se aproxima.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x10\x0EE003_エル\nNo es posible que nos hayan descubierto ya...\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\n¡Ahí está!\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x10\x0EE003_イル\n¡Divinidad, espera!\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x06\x000\x14E003_グレゴリー\x18MPID_Unknown\n\x0E\x03\x02\x16\x14E003_グレゴリー\n¡Deteneos! ¡No me hagáis daño!\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\n¡Gregory!\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08リュール\n¿Os conocéis?...\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x18\x16E003_セレスティア\nDesde luego. Gregory forma parte\nde los Cuatro Vientos, como yo.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08リュール\nEl nombre no me resulta familiar.\x0E\x04\x00\x00
