MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nEres muy poderoso, Roy. No me extraña\nque le confiaran tu anillo a Brodia.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x06\x04ロイ\nMe halagas. Estoy feliz de poder ayudaros\na devolver la paz a este mundo.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nHas mejorado muchísimo. Tienes lo que\nhay que tener para ser \x0E\x0A\x00\x0E\x04un\x06una gran guerrer\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nPues la verdad es que tenía mis dudas\nhasta que he oído esas palabras.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Sabes qué me gusta de ti? Que nunca te\nrindes por difíciles que se pongan las cosas.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x06\x04ロイ\nCuando alguien necesita ayuda, siento\nque debo hacer todo lo posible para ayudar.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nNo todo el mundo piensa así.\nEres un modelo a seguir.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x06\x04ロイ\nLo cierto es que somos muy parecidos,\npor eso me alegra que seamos aliados.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nRoy, quisiera aprovechar la ocasión\npara aprender más sobre los Emblemas.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04ロイ\nClaro, a mí también me gustaría\nconocerte mejor, Vander.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nHe terminado un encaje\nque podría ser de tu agrado.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x06\x04ロイ\nEs precioso. ¡Me gusta! Podríamos usarlo\npara decorar la Sala de Emblemas.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nVeo que haces punto. ¿Así es como hiciste\nese encaje que me enseñaste la otra vez?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nSí. Tejer hermosos patrones requiere\nuna técnica sutil y un toque delicado.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nY, lo que es más importante, relaja.\nEs la actividad perfecta tras una batalla.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x06\x04ロイ\nEs muy interesante. Espero que sigas\nmostrándome más de tus creaciones.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nHas pasado mucho tiempo en el Somniel,\nClanne. ¿Podrías contarme más de este sitio?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\n¿El Somniel? ¡Claro, por supuesto!\nAy... ¡Roy me ha hecho una pregunta!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06クラン\n¿Roy? Me preguntaba si querrías\nunirte al Club de Fans del Dragón Divino.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x06\x04ロイ\nSi me explicas qué es un "club de fans",\nme lo pensaré.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06クラン\nRoy... ¿Crees que soy lo bastante fuerte\npara proteger al Dragón Divino?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x06\x04ロイ\nClaro. Cada vez que luchamos juntos,\nmejoras un poquito más.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\n¡Roy cree que soy fuerte! Madre mía...\n¡Soy tan feliz que podría desmayarme!\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x06\x04ロイ\nPersevera y te fortalecerás. Podría ser el lema\ndel Club de Fans del Dragón Divino.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06フラン\nSi combinamos nuestras fuerzas, Roy,\nnadie podrá vencernos. ¡Adelante!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x06\x04ロイ\nMe gusta tu confianza, Framme,\npero nunca bajes la guardia, ¿entendido?\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nFramme, ¿qué es esa comida\nque llevas a todas partes?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\n¡Remolacha! Es muy nutritiva,\nademás de ser mi comida favorita.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06フラン\nHay tanta gente más fuerte que yo, Roy...\n¿Y si no puedo proteger al Dragón Divino?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x06\x04ロイ\nEres fuerte, Framme, y muy capaz\nde proteger al Dragón Divino.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x06\x04ロイ\nAdemás, hay cosas que solo tú puedes hacer,\ncomo animarnos con tu gran entusiasmo.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nEstá bien, ¡me esforzaré al máximo para\nque nada malo le ocurra a su Divinidad!\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nSerá un honor luchar junto al poderoso\nEmblema de nuestros aliados de Brodia.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x06\x04ロイ\nTú también pareces muy capaz.\nEstoy ansioso por luchar a tu lado.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\n¿Necesitas algo, Alfred?\nNoto cómo me miras fijamente.\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo puedo evitarlo, ¡menudos músculos tienes!\nNecesito saber qué entrenamiento haces.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Arriba, Roy! Ya está amaneciendo.\nEs el momento perfecto para entrenar.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x06\x04ロイ\n¿No crees que es demasiado temprano?\nAunque admiro tu entusiasmo...\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nBah... A quien madruga, su Divinidad le ayuda.\nEn este caso, nos ayuda a ganar músculo.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x06\x04ロイ\nBueno, tú eres el experto.\n¡A entrenar se ha dicho!\x0E\x04\x00\x00
