MID_MENU_YES	Vale
MID_MENU_START	Empezar
MID_MENU_NO	No
MID_MENU_CANCEL	Volver
MID_MENU_CANCEL_NO	Cancelar
MID_MONETARY_UNIT	M
MID_MENU_UNIT_LIST	Unidades
MID_MENU_UNIT_LIST_HELP	Detalles sobre cada aliado.
MID_MENU_UNIT_LIST_TITLEHELP	Detalles sobre cada aliado.
MID_MENU_ORDER	Automático
MID_MENU_ORDER_HELP	Decide una estrategia para que las\nunidades combatan por su cuenta.
MID_MENU_REWIND	Cronogema
MID_MENU_REWIND_HELP	Vuelve atrás en el tiempo\ny cambia de estrategia.
MID_MENU_SYSTEM	Sistema
MID_MENU_H_SYSTEM	Consulta la guía y los ajustes del juego.
MID_MENU_TUTORIAL	Guía
MID_MENU_TUTORIAL_HELP	Selecciona una categoría.
MID_MENU_H_TUTORIAL	Consulta diversos tutoriales.
MID_MENU_CONFIG	Ajustes
MID_MENU_CONFIG_HELP	Modifica los ajustes.
MID_MENU_H_CONFIG	Configura los ajustes del juego.
MID_MENU_RESTART	Reintentar
MID_MENU_RESTART_HELP	Empieza la batalla desde el principio.
MID_MENU_RESTART_CONFIRM	¿Quieres empezar la batalla desde el principio?\nSi lo haces, se reiniciará todo, incluyendo\nla experiencia que hayas acumulado.
MID_MENU_RESTART_CONFIRM_YES	Reintentar
MID_MENU_CONTINUEBATTLE_RESTART	Reintentar serie
MID_MENU_CONTINUEBATTLE_RESTART_HELP	Empieza esta serie de\nbatallas desde la primera.
MID_MENU_CONTINUEBATTLE_CONFIRM	¿Quieres empezar esta serie desde el principio?\n(Si lo haces, se reiniciará todo, incluyendo\nla experiencia que hayas acumulado.)
MID_MENU_RESET	Salir
MID_MENU_RESET_HELP	Vuelve a la pantalla del título.
MID_MENU_RESET_CONFIRM	¿Quieres volver a la pantalla del título?\nEl progreso no guardado se perderá.
MID_MENU_RESET_CONFIRM_YES	Sí
MID_MENU_TEMPORARY_SAVE	Suspender
MID_MENU_TEMPORARY_SAVE_HELP	Guardar y suspender temporalmente la partida.
MID_MENU_END_TURN	Acabar turno
MID_MENU_END_TURN_HELP	Termina el turno\nde tu ejército.
MID_MENU_MVP	As:
MID_MENU_TURN_COUNT	Turno:
MID_MENU_TURNS_COUNT	Turnos:
MID_MENU_WAIT_UNIT_COUNT	Activas:
MID_STATUS_STYLE	Tipo
MID_STATUS_ATTACK_DEFENSE	At fís/Def
MID_STATUS_MAGIC_ATTACK_DEFENSE	At mág/Res
MID_STATUS_HIT_AVOIDANCE	Gol/Esq
MID_STATUS_CRITICAL_SECURE	Crí/Evit
MID_STATUS_TECHNIQUE_SPEED	Hab/Vel
MID_STATUS_MOVE_PHYSIQUE	Mov/Con
MID_STATUS_NONE	Ocultar
MID_STATUS_MINIMAP	Minimapa
MID_STATUS_MINIMAP_SMALL	Pequeño
MID_STATUS_MINIMAP_BIG	Grande
MID_CONFIG_INITIALIZE	¿Volver a la configuración por defecto?
MID_CONFIG_GRID	Cuadrícula
MID_CONFIG_H_GRID	Ajusta el grosor de la cuadrícula o la oculta.
MID_CONFIG_OVERALLINFORMATION	Zona de peligro
MID_CONFIG_OVERALLINFORMATION_TOGGLE	Pulsar
MID_CONFIG_H_OVERALLINFORMATION_TOGGLE	Muestra u oculta la zona de peligro pulsando \x0E\x08\x02\x06\x04ZL.
MID_CONFIG_OVERALLINFORMATION_PUSH	Mantener
MID_CONFIG_H_OVERALLINFORMATION_PUSH	Muestra la zona de peligro solo al mantener pulsado \x0E\x08\x02\x06\x04ZL.
MID_CONFIG_COMBATANIME	Animaciones de combate
MID_CONFIG_COMBATANIME_ON	Sí
MID_CONFIG_H_COMBATANIME_ON	Muestra siempre las animaciones de combate.
MID_CONFIG_COMBATANIME_OFF	No
MID_CONFIG_H_COMBATANIME_OFF	Omite todas las animaciones de combate.
MID_CONFIG_COMBATANIME_MYUNIT	Unidades aliadas
MID_CONFIG_H_COMBATANIME_MYUNIT	Solo muestra las animaciones de combate de las unidades aliadas.
MID_CONFIG_COMBATANIME_MYTURN	Tu turno
MID_CONFIG_H_COMBATANIME_MYTURN	Solo muestra las animaciones de combate en tu turno.
MID_CONFIG_ROD_DANCE	Animaciones de baile/sanación
MID_CONFIG_ROD_DANCE_ON	Sí
MID_CONFIG_H_ROD_DANCE_ON	Muestra las animaciones de baile y sanación.
MID_CONFIG_ROD_DANCE_OFF	No
MID_CONFIG_H_ROD_DANCE_OFF	Omite las animaciones de baile y sanación.
MID_CONFIG_ROD_DANCE_MYUNIT	Unidades aliadas
MID_CONFIG_H_ROD_DANCE_MYUNIT	Solo muestra las animaciones de baile y sanación de los aliados.
MID_CONFIG_ROD_DANCE_MYTURN	Tu turno
MID_CONFIG_H_ROD_DANCE_MYTURN	Solo muestra las animaciones de baile y sanación en tu turno.
MID_CONFIG_ENGAGE	Animaciones de fusión
MID_CONFIG_ENGAGE_ON	Sí
MID_CONFIG_H_ENGAGE_ON	Muestra las animaciones de fusión.
MID_CONFIG_ENGAGE_OFF	No
MID_CONFIG_H_ENGAGE_OFF	Omite las animaciones de fusión.
MID_CONFIG_ENGAGE_ONCE	Primera vez
MID_CONFIG_H_ENGAGE_ONCE	Solo se muestra la primera animación de fusión de cada turno.
MID_CONFIG_AI_SKIP	Omitir acciones
MID_CONFIG_AI_SKIP_ON	Sí
MID_CONFIG_H_AI_SKIP_ON	Omite las acciones durante la batalla automática.
MID_CONFIG_AI_SKIP_OFF	No
MID_CONFIG_H_AI_SKIP_OFF	Muestra las acciones durante la batalla automática.
MID_CONFIG_UNITHELP_PAGE	Config. info. adicional
MID_CONFIG_UNITHELP_PAGE_H_STYLE	Indica el tipo de unidad en la información adicional.
MID_CONFIG_UNITHELP_PAGE_H_ATTACK_DEFENSE	Indica At fís y Def en la información adicional.
MID_CONFIG_UNITHELP_PAGE_H_MAGIC_ATTACK_DEFENSE	Indica At mág y Res en la información adicional.
MID_CONFIG_UNITHELP_PAGE_H_HIT_AVOIDANCE	Indica Gol y Esq en la información adicional.
MID_CONFIG_UNITHELP_PAGE_H_CRITICAL_SECURE	Indica Crí y Evit en la información adicional.
MID_CONFIG_UNITHELP_PAGE_H_TECHNIQUE_SPEED	Indica Hab y Vel en la información adicional.
MID_CONFIG_UNITHELP_PAGE_H_MOVE_PHYSIQUE	Indica Mov y Con en la información adicional.
MID_CONFIG_BATTLE_MINIMAP	Minimapa
MID_CONFIG_H_BATTLE_MINIMAP_BIG	Minimapa grande
MID_CONFIG_H_BATTLE_MINIMAP_SMALL	Minimapa pequeño
MID_CONFIG_H_BATTLE_MINIMAP_OFF	Sin minimapa
MID_CONFIG_MAPUNIT	Control de las unidades
MID_CONFIG_MAPUNIT_DIRECT	Directo
MID_CONFIG_H_MAPUNIT_DIRECT	Controla las unidades seleccionándolas directamente.
MID_CONFIG_MAPUNIT_INDIRECT	Cursor
MID_CONFIG_H_MAPUNIT_INDIRECT	Controla las unidades seleccionando una casilla con el cursor.
MID_CONFIG_MINIMAP_ROTATION	Rotación del minimapa
MID_CONFIG_MINIMAP_ROTATION_ON	Sí
MID_CONFIG_H_MINIMAP_ROTATION_ON	El minimapa rota al mover la cámara durante la exploración.
MID_CONFIG_MINIMAP_ROTATION_OFF	No
MID_CONFIG_H_MINIMAP_ROTATION_OFF	El minimapa no rota durante la exploración.
MID_CONFIG_CAMERA_SPEED	Sensibilidad de cámara
MID_CONFIG_H_CAMERA_SPEED	Ajusta la sensibilidad de la cámara para la exploración y el Somniel.
MID_CONFIG_COMBATCAMERA_HORIZON	Eje horizontal cámara (batalla)
MID_CONFIG_COMBATCAMERA_HORIZON_NOMAL	Normal
MID_CONFIG_H_COMBATCAMERA_HORIZON_NOMAL	Eje horizontal por defecto de la cámara durante las batallas.
MID_CONFIG_COMBATCAMERA_HORIZON_REVERSE	Invertido
MID_CONFIG_H_COMBATCAMERA_HORIZON_REVERSE	Invierte el eje horizontal de la cámara durante las batallas.
MID_CONFIG_COMBATCAMERA_VERTICAL	Eje vertical cámara (batalla)
MID_CONFIG_COMBATCAMERA_VERTICAL_NOMAL	Normal
MID_CONFIG_H_COMBATCAMERA_VERTICAL_NOMAL	Eje vertical por defecto de la cámara durante las batallas.
MID_CONFIG_COMBATCAMERA_VERTICAL_REVERSE	Invertido
MID_CONFIG_H_COMBATCAMERA_VERTICAL_REVERSE	Invierte el eje vertical de la cámara durante las batallas.
MID_CONFIG_HABCAMERA_HORIZON	Eje horizontal cámara (exploración)
MID_CONFIG_HABCAMERA_HORIZON_NOMAL	Normal
MID_CONFIG_H_HABCAMERA_HORIZON_NOMAL	Eje horizontal por defecto de la cámara durante la exploración.
MID_CONFIG_HABCAMERA_HORIZON_REVERSE	Invertido
MID_CONFIG_H_HABCAMERA_HORIZON_REVERSE	Invierte el eje horizontal de la cámara durante la exploración.
MID_CONFIG_HABCAMERA_VERTICAL	Eje vertical cámara (exploración)
MID_CONFIG_HABCAMERA_VERTICAL_NOMAL	Normal
MID_CONFIG_H_HABCAMERA_VERTICAL_NOMAL	Eje vertical por defecto de la cámara durante la exploración.
MID_CONFIG_HABCAMERA_VERTICAL_REVERSE	Invertido
MID_CONFIG_H_HABCAMERA_VERTICAL_REVERSE	Invierte el eje vertical de la cámara durante la exploración.
MID_CONFIG_GAMESPEED	Velocidad del juego
MID_CONFIG_GAMESPEED_FAST	Rápida
MID_CONFIG_H_GAMESPEED_FAST	El juego se desarrolla a una velocidad más rápida.
MID_CONFIG_GAMESPEED_NOMAL	Normal
MID_CONFIG_H_GAMESPEED_NOMAL	El juego se desarrolla a velocidad normal.
MID_CONFIG_GAMESPEED_SLOW	Lenta
MID_CONFIG_H_GAMESPEED_SLOW	El juego se desarrolla a una velocidad más baja.
MID_CONFIG_HPGAGE	Barras de PV
MID_CONFIG_HPGAGE_ON	Sí
MID_CONFIG_H_HPGAGE_ON	Muestra las barras de PV.
MID_CONFIG_HPGAGE_OFF	No
MID_CONFIG_H_HPGAGE_OFF	Oculta las barras de PV.
MID_CONFIG_SPEAKMODE	Avance de conversación
MID_CONFIG_SPEAKMODE_MANUAL	Manual
MID_CONFIG_H_SPEAKMODE_MANUAL	La conversación avanza manualmente.
MID_CONFIG_SPEAKMODE_AUTOMATIC	Automático
MID_CONFIG_H_SPEAKMODE_AUTOMATIC	La conversación avanza automáticamente.
MID_CONFIG_BGM	Volumen de la música
MID_CONFIG_H_BGM	Regula el volumen de la música.
MID_CONFIG_SE	Volumen de efectos de sonido
MID_CONFIG_H_SE	Regula el volumen de los efectos de sonido.
MID_CONFIG_VOICE	Volumen de las voces
MID_CONFIG_H_VOICE	Regula el volumen de las voces.
MID_CONFIG_BGM_CHANGE_MYTURN	Música (turno del jugador)
MID_CONFIG_H_BGM_CHANGE_MYTURN	"\x0E\x01\x00\x00" sonará en los turnos del jugador fuera de la historia.
MID_CONFIG_H_BGM_CHANGE_MYTURN_NONE	La música no cambiará durante los turnos del jugador.
MID_CONFIG_BGM_CHANGE_ENEMYTURN	Música (turno del enemigo)
MID_CONFIG_H_BGM_CHANGE_ENEMYTURN	"\x0E\x01\x00\x00" sonará en los turnos del enemigo fuera de la historia.
MID_CONFIG_H_BGM_CHANGE_ENEMYTURN_NONE	La música no cambiará durante los turnos del enemigo.
MID_CONFIG_BGM_CHANGE_DECIDE	Cambiar
MID_CONFIG_BGM_CHANGE_NOSELECT	Nada seleccionado
MID_CONFIG_TUTORIAL	Mostrar guía
MID_CONFIG_TUTORIAL_ON	Sí
MID_CONFIG_H_TUTORIAL_ON	Aparecerán tutoriales durante el juego.
MID_CONFIG_TUTORIAL_OFF	No
MID_CONFIG_H_TUTORIAL_OFF	No habrá tutoriales durante el juego (con algunas excepciones).
MID_CONFIG_NETWORK	Funciones de red
MID_CONFIG_NETWORK_ON	Activar
MID_CONFIG_H_NETWORK_ON	Permite las funciones de juego en línea.
MID_CONFIG_NETWORK_OFF	Desactivar
