MJID_DragonLord	Vástago divino
MJID_H_DragonLord	Descendiente de una antiquísima\nestirpe de dragones. Puede blandir\nhojas exclusivas del Dragón Divino.
MJID_DragonKing	Dragón Divino
MJID_H_DragonKing	Dragón que atesora un gran poder\ncapaz de gobernar el mundo.\nUsa espadas y artes marciales.
MJID_ShadowLord	Vástago caído
MJID_H_ShadowLord	Sirviente del Dragón Caído que ha\nperdido el control sobre sus actos.\nUsa poderosas técnicas de espada.
MJID_ShadowPrincess	Vástago caído
MJID_H_ShadowPrincess	La sangre del Dragón Caído corre\npor sus venas. Domina las poderosas\nartes malignas y la magia oscura.
MJID_ShadowKing	Rey caído
MJID_H_ShadowKing	Su obsesión es dominar\nel mundo con mano de hierro.\nUsa magia negra muy destructiva.
MJID_ShadowDragon	Gran Caído
MJID_H_ShadowDragon	Dragón Caído con el poder de los\nanillos Emblema. Ahora es capaz\nde abrir una puerta a otro mundo.
MJID_AvenirLC	Noble
MJID_H_AvenirLC	De sangre real. Jinete diestro\nque destaca en el uso de la lanza.
MJID_Avenir	Venidero
MJID_H_Avenir	Príncipe que se lanza a la batalla\na lomos de su caballo. Diestro con la\nlanza, también sabe usar la espada.
MJID_FleurageLC	Noble
MJID_H_FleurageLC	De sangre real. Maga diestra\nque también maneja la espada.
MJID_Fleurage	Vídama
MJID_H_Fleurage	Espadachina que domina la magia.\nEs eficaz contra magos enemigos\ny también sabe usar bastones.
MJID_SuccesseurLC	Lord
MJID_H_SuccesseurLC	Miembro de la familia real que\ndirige los destinos de la nación\ny diestro espadachín.
MJID_Successeur	Sucesor
MJID_H_Successeur	Posee la voluntad y la fuerza\npara liderar su reino. Destaca\ncon la espada y el hacha.
MJID_TirailleurLC	Lord
MJID_H_TirailleurLC	Miembro de la familia real que\ndirige los destinos de la nación\ny arquero diestro.
MJID_Tirailleur	Tirador diestro
MJID_H_Tirailleur	Arquero dotado de puntería\npasmosa. Puede acabar con\nun enemigo de un solo disparo.
MJID_LindwurmLC	Domabestias
MJID_H_LindwurmLC	Capaz de comunicarse con bestias.\nCabalga a lomos de un wyvern\ny sabe usar magia y bastones.
MJID_Lindwurm	Lindwurm
MJID_H_Lindwurm	Jinete wyvern capaz de destruir\na sus enemigos desde las alturas.\nUsa magia muy poderosa y bastones.
MJID_SleipnirLC	Domabestias
MJID_H_SleipnirLC	Capaz de comunicarse con bestias.\nCombate a lomos de un pegaso\ny ataca con grimorios y bastones.
MJID_Sleipnir	Jinete Sleipnir
MJID_H_Sleipnir	Cabalga a lomos del pegaso Sleipnir.\nUsa bastones muy poderosos y\ndestaca por su dominio de la magia.
MJID_PitchforkLC	Centinela
MJID_H_PitchforkLC	Princesa que no duda en tomar\nlas armas para defender su nación.\nDestaca por su dominio de la lanza.
MJID_Pitchfork	Piquera
MJID_H_Pitchfork	Lancera que acomete las líneas\nenemigas con paso decidido\ny asestando ataques letales.
MJID_CupidoLC	Centinela
MJID_H_CupidoLC	Príncipe que no duda en tomar\nlas armas para defender su nación.\nDestaca como jinete y arquero.
MJID_Cupido	Cupido
MJID_H_Cupido	Fascinante caballero que lucha con\ngran desenvoltura. Hábil con el arco\ny la espada, juega con sus enemigos.
MJID_SwordFighter	Luchador espada
